"                        ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"                        ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Exports",
"  Volume (million cubic feet)           ",
"    Pipeline                            ",
"      Mexico                            ","2.54","  ","2.93","  ","4.74","  ","3.17","  ","3.07","  ","2.93","  ","2.80","R","2.46","  ","2.07","  ","2.03","  ","1.88","  ","2.20","  ","2.45","  ","2.81","  ","2.30","  ","2.26","  ","2.61","  ","2.77","  ","3.00","  ","3.01","  ","2.94","  ","2.86","  ","2.77","  ","3.03","  ","3.10","  ","3.38","  ","4.65","  ","4.19","  ","4.23","  ","4.20","  ","4.25","  ","4.19","  ","4.57","  ","4.81","  ","4.86","  ","4.81","  ","5.16","  ","6.16","  ","4.76","  ",
"    Total Pipeline Exports              ","2.50","  ","3.08","  ","5.62","  ","3.04","  ","2.99","  ","2.84","R","2.78","  ","2.39","  ","2.04","  ","2.05","  ","1.93","  ","2.26","  ","2.54","  ","2.95","  ","2.30","  ","2.36","  ","2.66","  ","2.84","  ","2.99","  ","2.96","  ","2.91","  ","2.85","  ","2.83","  ","3.40","  ","3.81","  ","3.51","  ","5.40","  ","4.24","  ","4.44","  ","4.09","  ","4.13","  ","4.09","  ","4.48","  ","4.81","  ","4.82","  ","4.93","  ","8.20","  ","9.44","  ","5.81","  ",
"    LNG                                 ",
"       Exports",
"          By Vessel",
"             Argentina","4.47","  ","0.00","--","0.00","--","0.00","--","0.00","--","4.51","  ","0.00","--","4.71","  ","0.00","--","4.16","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             Barbados","10.20","  ","0.00","--","0.00","--","10.00","  ","10.00","  ","10.00","  ","10.00","  ","10.00","  ","10.00","  ","10.00","  ","15.19","  ","10.00","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             Brazil","4.39","  ","0.00","--","0.00","--","0.00","--","0.00","--","5.29","  ","0.00","--","0.00","--","0.00","--","0.00","--","3.83","  ","3.54","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             Chile","5.26","  ","0.00","--","0.00","--","0.00","--","0.00","--","5.53","  ","5.82","  ","4.69","  ","4.72","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             China","5.66","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","5.66","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
