"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Massachusetts","337192","  ","366380","  ","338488","  ","25381","  ","23440","  ","30199","  ","30090","  ","26938","  ","29865","  ","34422","  ","39445","  ","46939","  ","50473","  ","433907","  ","36397","  ","31129","  ","29657","  ","25693","  ","31624","  ","31449","  ","24430","  ","26713","  ","33166","  ","48863","  ","57377","  ","57408","  ","413860","  ","40965","  ","34407","  ","28321","  ","23092","  ","25776","  ","27305","  ","22385","  ","27292","  ","38084","  ","44694","  ","47769","  ","53771","  ",
"Michigan","693190","  ","671262","  ","650759","  ","53832","  ","42523","  ","53008","  ","47563","  ","44731","  ","55832","  ","80371","  ","88231","  ","108686","  ","118412","  ","826917","  ","85543","  ","70111","  ","54392","  ","37523","  ","37227","  ","39331","  ","37128","  ","41913","  ","60901","  ","98836","  ","133963","  ","130049","  ","834217","  ","97179","  ","86279","  ","52451","  ","34192","  ","31913","  ","29027","  ","31716","  ","41608","  ","61749","  ","106270","  ","121808","  ","140025","  ",
"Minnesota","0","NA","334867","  ","354362","  ","26273","  ","0","NA","27532","  ","25887","  ","23189","  ","25690","  ","0","NA","44935","  ","0","NA","0","NA","422112","  ","51546","  ","35699","  ","27050","  ","22875","  ","22081","  ","22421","  ","20431","  ","21217","  ","32533","  ","46520","  ","60554","  ","59185","  ","461598","  ","58085","  ","49151","  ","31291","  ","20911","  ","21266","  ","18862","  ","20872","  ","25242","  ","35166","  ","51164","  ","59267","  ","70320","  ",
"Mississippi","0","NA","416403","  ","334271","  ","37497","  ","46590","  ","48962","  ","50745","  ","0","NA","43626","  ","0","NA","38807","  ","45335","  ","49951","  ","496388","  ","40342","  ","39644","  ","37359","  ","38613","  ","43495","  ","46155","  ","43778","  ","37675","  ","31901","  ","41991","  ","48766","  ","46670","  ","404969","  ","38450","  ","32249","  ","32501","  ","31511","  ","35920","  ","32022","  ","32438","  ","32608","  ","25047","  ","32890","  ","34934","  ","44401","  ",
"Missouri","0","NA","212440","  ","227209","  ","0","NA","13316","  ","15137","  ","15619","  ","15584","  ","14844","  ","18382","  ","22697","  ","33852","  ","42578","  ","262812","  ","29364","  ","21008","  ","13199","  ","11960","  ","13981","  ","14752","  ","12603","  ","11404","  ","18106","  ","33925","  ","42379","  ","40131","  ","290783","  ","34886","  ","28688","  ","17035","  ","12126","  ","13058","  ","12571","  ","11031","  ","13753","  ","20201","  ","33722","  ","43811","  ","49901","  ",
"Montana","0","NA","50209","  ","52982","  ","0","NA","0","NA","0","NA","0","NA","0","NA","4443","  ","0","NA","0","NA","7307","  ","9295","  ","67159","  ","9224","  ","7727","  ","4718","  ","3600","  ","3660","  ","3282","  ","3185","  ","3979","  ","4952","  ","6256","  ","7389","  ","9188","  ","70675","  ","9064","  ","8630","  ","4581","  ","3184","  ","2958","  ","2657","  ","3188","  ","3823","  ","5654","  ","8401","  ","9570","  ","8965","  ",
"Nebraska","120820","  ","123728","  ","129618","  ","10429","  ","10051","R","11552","R","10918","R","10204","  ","9472","R","10904","R","12625","R","15590","R","19075","R","154420","  ","17040","  ","13653","  ","10155","  ","8664","  ","9740","  ","11073","  ","9402","  ","9805","  ","10966","  ","13910","  ","19668","  ","20344","  ","165672","  ","18924","  ","17129","  ","11132","  ","9353","  ","9329","  ","9629","  ","8871","  ","10831","  ","12191","  ","16814","  ","19709","  ","21761","  ",
"Nevada","0","NA","237565","  ","203823","  ","20892","  ","0","NA","0","NA","0","NA","26088","  ","22788","  ","21360","  ","23087","  ","25038","  ","32328","  ","292860","  ","31083","  ","24211","  ","23070","  ","24570","  ","27370","  ","24970","  ","26056","  ","20870","  ","22395","  ","21001","  ","21764","  ","25499","  ","248375","  ","24322","  ","20230","  ","21065","  ","22615","  ","22959","  ","24130","  ","18783","  ","17493","  ","17186","  ","16540","  ","19644","  ","23407","  ",
"New Hampshire","0","NA","57180","  ","46237","  ","3599","  ","4901","  ","5482","  ","5053","  ","0","NA","0","NA","0","NA","0","NA","0","NA","5947","  ","68609","  ","5390","  ","6040","  ","4641","  ","4926","  ","5573","  ","5203","  ","4694","  ","5020","  ","5348","  ","6982","  ","6674","  ","8119","  ","56933","  ","6177","  ","4519","  ","4953","  ","4409","  ","4217","  ","4897","  ","4007","  ","4669","  ","5291","  ","5348","  ","3831","  ","4615","  ",
"New Jersey","0","NA","627004","  ","607340","  ","0","NA","49369","  ","58971","  ","59536","  ","50622","  ","48734","  ","58979","  ","68583","  ","82039","  ","97065","  ","746777","  ","63365","  ","56408","  ","46188","  ","45403","  ","45176","  ","47812","  ","41731","  ","44949","  ","59327","  ","92127","  ","102840","  ","101451","  ","761327","  ","83091","  ","70897","  ","46040","  ","43077","  ","43696","  ","48824","  ","43606","  ","45820","  ","52255","  ","87759","  ","94211","  ","102052","  ",
