"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","44167","  ","48520","  ","51453","  ","4656","  ","2608","  ","2113","  ","2083","  ","2045","  ","2078","  ","2465","  ","3237","  ","4427","  ","7996","  ","10458","  ","53712","  ","5192","  ","4701","  ","3163","  ","2420","  ","2275","  ","2161","  ","2093","  ","2624","  ","3296","  ","5476","  ","10128","  ","10181","  ","59052","  ","7600","  ","7295","  ","3022","  ","2220","  ","2234","  ","2350","  ","2223","  ","2519","  ","3545","  ","6380","  ","7646","  ","12019","  ",
"Hawaii","1756","  ","1742","  ","1765","  ","165","  ","162","  ","171","  ","163","  ","155","  ","154","  ","151","  ","162","  ","157","  ","155","  ","159","  ","1908","  ","167","  ","148","  ","152","  ","153","  ","156","  ","159","  ","154","  ","151","  ","168","  ","165","  ","157","  ","179","  ","1931","  ","165","  ","150","  ","158","  ","154","  ","153","  ","164","  ","162","  ","158","  ","168","  ","159","  ","161","  ","177","  ",
"Idaho","14095","  ","13896","  ","14491","  ","1632","  ","1245","  ","798","  ","701","  ","657","  ","653","  ","851","  ","993","  ","1706","  ","2077","  ","2782","  ","16708","  ","2812","  ","2140","  ","1102","  ","718","  ","603","  ","627","  ","685","  ","850","  ","1235","  ","1477","  ","1770","  ","2687","  ","16963","  ","2472","  ","2107","  ","1038","  ","777","  ","660","  ","627","  ","661","  ","766","  ","1216","  ","1715","  ","2185","  ","2739","  ",
"Illinois","175099","  ","190795","  ","217015","  ","17156","  ","12531","  ","8174","  ","7896","  ","7882","  ","7251","  ","10496","  ","15803","  ","21382","  ","30584","  ","35945","  ","215218","  ","24423","  ","18019","  ","12469","  ","7827","  ","7840","  ","7358","  ","7293","  ","9179","  ","15102","  ","27346","  ","39507","  ","38856","  ","246273","  ","29259","  ","27746","  ","14788","  ","8922","  ","7632","  ","7789","  ","7965","  ","10946","  ","16462","  ","30968","  ","38151","  ","45646","  ",
"Indiana","61568","  ","69203","  ","79442","  ","6439","  ","4377","  ","2748","  ","2515","  ","2116","  ","2215","  ","3327","  ","5228","  ","6579","  ","11543","  ","14481","  ","77526","  ","8323","  ","6374","  ","4687","  ","2765","  ","2171","  ","2356","  ","2308","  ","2725","  ","5093","  ","9951","  ","15388","  ","15385","  ","90915","  ","11472","  ","10520","  ","5183","  ","3216","  ","2449","  ","2514","  ","2360","  ","3368","  ","5827","  ","10893","  ","15117","  ","17995","  ",
"Iowa","40351","  ","42891","  ","50322","  ","4136","  ","2937","  ","1790","  ","1806","  ","1738","  ","1586","  ","2110","  ","3493","  ","4879","  ","7054","  ","8822","  ","49269","  ","6378","  ","4268","  ","3109","  ","1752","  ","1499","  ","1600","  ","1807","  ","2113","  ","3165","  ","5812","  ","9123","  ","8643","  ","57439","  ","7117","  ","7303","  ","3450","  ","1724","  ","1475","  ","1580","  ","1700","  ","2396","  ","3851","  ","7134","  ","9232","  ","10477","  ",
"Kansas","0","NA","26901","  ","31222","  ","2432","  ","1786","  ","1402","  ","1429","  ","1371","  ","1476","  ","0","NA","1970","  ","2653","  ","4212","  ","5732","  ","30959","  ","4058","  ","2487","  ","2132","  ","1610","  ","1796","  ","1428","  ","1076","  ","1439","  ","1588","  ","3180","  ","4868","  ","5296","  ","36154","  ","4932","  ","4127","  ","2052","  ","1494","  ","1395","  ","1364","  ","1177","  ","1432","  ","2276","  ","4217","  ","5471","  ","6217","  ",
"Kentucky","28065","  ","31700","  ","34556","  ","3045","  ","1720","  ","1187","  ","1137","  ","1069","  ","1023","  ","1545","  ","1827","  ","3238","  ","5517","  ","6758","  ","35435","  ","3735","  ","3061","  ","1788","  ","1208","  ","1205","  ","1192","  ","1125","  ","1202","  ","1739","  ","4345","  ","7562","  ","7275","  ","39967","  ","5410","  ","4502","  ","1965","  ","1340","  ","1120","  ","1077","  ","1079","  ","1390","  ","2219","  ","5051","  ","6516","  ","8298","  ",
"Louisiana","26798","  ","26933","  ","27970","  ","2572","  ","2192","  ","1964","  ","2071","  ","1882","  ","1909","  ","2219","  ","2247","  ","2364","  ","2921","  ","4457","  ","29805","  ","2872","  ","2697","  ","2213","  ","2141","  ","1839","  ","1745","  ","1840","  ","2037","  ","2001","  ","2514","  ","3680","  ","4226","  ","31277","  ","3307","  ","3308","  ","2232","  ","1848","  ","1849","  ","1731","  ","1709","  ","2145","  ","2113","  ","3201","  ","3295","  ","4539","  ",
"Maine","0","NA","9066","  ","7885","  ","776","  ","526","  ","0","NA","279","  ","294","  ","324","  ","493","  ","789","  ","1048","  ","1199","  ","1367","  ","10072","  ","1006","  ","816","  ","597","  ","435","  ","428","  ","417","  ","407","  ","389","  ","833","  ","1405","  ","1665","  ","1676","  ","9030","  ","1144","  ","930","  ","492","  ","314","  ","264","  ","335","  ","357","  ","466","  ","715","  ","1296","  ","1247","  ","1468","  ",
"Maryland","59792","  ","63561","  ","65744","  ","6787","  ","4106","  ","3179","  ","2896","  ","2823","  ","3188","  ","4081","  ","5411","  ","6392","  ","9509","  ","11422","  ","70199","  ","6638","  ","5903","  ","4720","  ","2962","  ","2986","  ","2943","  ","2840","  ","2956","  ","4954","  ","9783","  ","11814","  ","11699","  ","74843","  ","9099","  ","7736","  ","4436","  ","3228","  ","3303","  ","3043","  ","2862","  ","3690","  ","5278","  ","9792","  ","10237","  ","12140","  ",
"Massachusetts","84506","  ","95387","  ","93344","  ","9770","  ","6940","  ","4187","  ","3980","  ","3715","  ","3621","  ","5404","  ","8350","  ","10080","  ","13214","  ","15244","  ","105397","  ","10010","  ","9181","  ","7315","  ","3981","  ","3877","  ","3892","  ","4042","  ","4417","  ","7679","  ","14537","  ","18252","  ","18214","  ","105801","  ","12458","  ","11187","  ","6331","  ","4179","  ","3790","  ","3600","  ","3456","  ","6139","  ","9986","  ","13503","  ","14772","  ","16401","  ",
"Michigan","136480","  ","150553","  ","163285","  ","13434","  ","8386","  ","5464","  ","5284","  ","5093","  ","5515","  ","8703","  ","14623","  ","18781","  ","24800","  ","26396","  ","168360","  ","17807","  ","13062","  ","9169","  ","5182","  ","5372","  ","5034","  ","5423","  ","7299","  ","13744","  ","23965","  ","31717","  ","30587","  ","186413","  ","23128","  ","19200","  ","9681","  ","5871","  ","4894","  ","5589","  ","5304","  ","8664","  ","14841","  ","26042","  ","30115","  ","33083","  ",
"Minnesota","77917","  ","80570","  ","95684","  ","8568","  ","5445","  ","3077","  ","2870","  ","2742","  ","2736","  ","4040","  ","7146","  ","10266","  ","14790","  ","16235","  ","93004","  ","12435","  ","8304","  ","5158","  ","2760","  ","2884","  ","2516","  ","2609","  ","3970","  ","6599","  ","11399","  ","17900","  ","16471","  ","110884","  ","15199","  ","12705","  ","5816","  ","3102","  ","2755","  ","2349","  ","2862","  ","4546","  ","9085","  ","14952","  ","18236","  ","19277","  ",
"Mississippi","16056","  ","17897","  ","19621","  ","1664","  ","1194","  ","1001","  ","985","  ","930","  ","1173","  ","1207","  ","1032","  ","1453","  ","2237","  ","3179","  ","19697","  ","1800","  ","1741","  ","1302","  ","1167","  ","1045","  ","960","  ","1013","  ","1066","  ","1129","  ","2144","  ","3003","  ","3327","  ","22195","  ","2574","  ","2033","  ","1488","  ","1033","  ","956","  ","972","  ","950","  ","1065","  ","1571","  ","2572","  ","3174","  ","3807","  ",
"Missouri","48803","  ","54031","  ","63720","  ","5766","  ","3055","  ","2096","  ","2248","  ","2159","  ","2066","  ","2735","  ","3314","  ","5327","  ","8887","  ","11150","  ","61388","  ","7357","  ","5298","  ","3331","  ","2112","  ","2161","  ","1881","  ","1840","  ","2368","  ","4330","  ","8620","  ","11594","  ","10496","  ","72919","  ","9199","  ","7349","  ","3835","  ","2556","  ","2268","  ","2267","  ","2190","  ","2733","  ","5112","  ","9208","  ","13070","  ","13133","  ",
"Montana","17547","  ","16281","  ","18405","  ","2136","  ","1585","  ","951","  ","756","  ","745","  ","778","  ","1158","  ","1488","  ","2272","  ","2434","  ","3244","  ","19364","  ","3082","  ","2486","  ","1149","  ","682","  ","577","  ","590","  ","579","  ","981","  ","1394","  ","2045","  ","2568","  ","3229","  ","21549","  ","3145","  ","2849","  ","1154","  ","793","  ","580","  ","542","  ","671","  ","959","  ","1562","  ","2715","  ","3468","  ","3113","  ",
"Nebraska","21752","  ","25347","  ","27989","  ","2320","  ","1224","  ","1004","  ","913","  ","942","  ","1029","  ","1243","  ","1783","  ","2518","  ","3775","  ","5001","  ","29464","  ","4117","  ","2718","  ","1616","  ","964","  ","1044","  ","1264","  ","1281","  ","1460","  ","1957","  ","3127","  ","4904","  ","5012","  ","32407","  ","4419","  ","3608","  ","1773","  ","1222","  ","1166","  ","1161","  ","1101","  ","1557","  ","2280","  ","3859","  ","4818","  ","5443","  ",
"Nevada","26778","  ","25827","  ","25646","  ","2606","  ","2126","  ","1813","  ","1701","  ","1748","  ","1760","  ","2155","  ","2390","  ","2766","  ","3365","  ","4348","  ","29873","  ","4045","  ","3114","  ","1977","  ","1674","  ","1722","  ","1610","  ","1839","  ","2119","  ","2411","  ","2642","  ","2902","  ","3817","  ","29105","  ","3459","  ","2598","  ","2009","  ","1714","  ","1611","  ","1722","  ","1753","  ","2061","  ","2375","  ","2674","  ","3169","  ","3961","  ",
"New Hampshire","7236","  ","8580","  ","8179","  ","918","  ","376","  ","241","  ","209","  ","206","  ","255","  ","398","  ","738","  ","991","  ","1320","  ","1584","  ","9630","  ","1050","  ","850","  ","389","  ","240","  ","233","  ","229","  ","274","  ","308","  ","673","  ","1455","  ","1955","  ","1975","  ","9412","  ","1233","  ","996","  ","481","  ","260","  ","224","  ","215","  ","292","  ","582","  ","658","  ","1409","  ","1372","  ","1691","  ",
"New Jersey","133142","  ","149619","  ","177696","  ","12040","  ","8115","  ","7542","R","8440","R","8390","R","8184","  ","9176","  ","11773","  ","15436","  ","20511","  ","23535","  ","163223","  ","13604","  ","11164","  ","8406","  ","7123","  ","7173","  ","7475","  ","6556","  ","7304","  ","15286","  ","22572","  ","28279","  ","28280","  ","202201","  ","24505","  ","19687","  ","11427","  ","9818","  ","9136","  ","9596","  ","9819","  ","12207","  ","14060","  ","24277","  ","27541","  ","30128","  ",
"New Mexico","21638","  ","20922","  ","21703","  ","3440","  ","1583","  ","1208","  ","1086","  ","1041","  ","1152","  ","1288","  ","1607","  ","2265","  ","2902","  ","4065","  ","25038","  ","4115","  ","3137","  ","1608","  ","1053","  ","1068","  ","980","  ","1240","  ","1356","  ","1488","  ","2093","  ","3063","  ","3836","  ","25693","  ","3990","  ","3555","  ","1652","  ","1060","  ","1224","  ","1200","  ","1118","  ","1324","  ","1703","  ","2429","  ","2702","  ","3737","  ",
"New York","269360","  ","282217","  ","282337","  ","27805","  ","21085","  ","15423","  ","16633","  ","16016","  ","15142","  ","17114","  ","23655","  ","29003","  ","40326","  ","47157","  ","311203","  ","28986","  ","24516","  ","19000","  ","14007","  ","14826","  ","14458","  ","13026","  ","15674","  ","22349","  ","41823","  ","50725","  ","51813","  ","320168","  ","37830","  ","31373","  ","17824","  ","14941","  ","13881","  ","12988","  ","14274","  ","18591","  ","25033","  ","41932","  ","43304","  ","48196","  ",
"North Carolina","49028","  ","50712","  ","52753","  ","5369","  ","3403","  ","2826","  ","2826","  ","2617","  ","2615","  ","2915","  ","3791","  ","4335","  ","8013","  ","10316","  ","55114","  ","4403","  ","5334","  ","4116","  ","2889","  ","2452","  ","2487","  ","2867","  ","2488","  ","3421","  ","5408","  ","10110","  ","9139","  ","59945","  ","7192","  ","6594","  ","3474","  ","2779","  ","2602","  ","2785","  ","2826","  ","3196","  ","3247","  ","7155","  ","7128","  ","10966","  ",
"North Dakota","9636","  ","10518","  ","12067","  ","1051","  ","810","  ","363","  ","305","  ","308","  ","302","  ","430","  ","1044","  ","1211","  ","1659","  ","2153","  ","12317","  ","1799","  ","1208","  ","664","  ","320","  ","310","  ","307","  ","313","  ","580","  ","833","  ","1491","  ","2229","  ","2264","  ","13999","  ","1932","  ","1832","  ","763","  ","419","  ","296","  ","319","  ","354","  ","685","  ","970","  ","1826","  ","2258","  ","2345","  ",
"Ohio","128714","  ","150400","  ","159346","  ","14644","  ","8588","  ","4917","  ","4931","  ","4220","  ","4182","  ","6674","  ","12115","  ","14966","  ","23559","  ","29917","  ","166602","  ","16202","  ","12682","  ","9078","  ","4465","  ","4716","  ","4679","  ","5217","  ","6476","  ","12865","  ","24200","  ","33326","  ","32696","  ","183105","  ","23759","  ","17953","  ","9491","  ","5640","  ","4697","  ","4799","  ","5269","  ","6482","  ","10918","  ","26332","  ","30959","  ","36807","  ",
"Oklahoma","31647","  ","36347","  ","41663","  ","3002","  ","1991","  ","1684","  ","1646","  ","1495","  ","1565","  ","2092","  ","2215","  ","3442","  ","5075","  ","7439","  ","41977","  ","5631","  ","3757","  ","2030","  ","1599","  ","1565","  ","1530","  ","1541","  ","1940","  ","2349","  ","4767","  ","7445","  ","7823","  ","47041","  ","5378","  ","2265","  ","1605","  ","1476","  ","1546","  ","1509","  ","1744","  ","2464","  ","5343","  ","7102","  ","8380","  ","8230","  ",
"Oregon","22635","  ","21606","  ","24331","  ","2577","  ","1998","  ","1197","  ","980","  ","1026","  ","1093","  ","1438","  ","1839","  ","2973","  ","3194","  ","4319","  ","25797","  ","4191","  ","3351","  ","1510","  ","1184","  ","923","  ","942","  ","981","  ","1551","  ","2209","  ","2391","  ","2791","  ","3774","  ","28377","  ","4047","  ","3343","  ","1538","  ","1083","  ","1066","  ","956","  ","1201","  ","1237","  ","2177","  ","2920","  ","4098","  ","4711","  ",
"Pennsylvania","124922","  ","137240","  ","138280","  ","14846","  ","8847","  ","5067","  ","4814","  ","4553","  ","4967","  ","7146","  ","11041","  ","13699","  ","22320","  ","27622","  ","152079","  ","14838","  ","12872","  ","9859","  ","5196","  ","4641","  ","4390","  ","5154","  ","5766","  ","10552","  ","21189","  ","29766","  ","27856","  ","159636","  ","21355","  ","17723","  ","8889","  ","5044","  ","4753","  ","4492","  ","4759","  ","5684","  ","9996","  ","21946","  ","24813","  ","30181","  ",
"Rhode Island","9005","  ","10885","  ","11488","  ","1031","  ","578","  ","236","  ","169","  ","176","  ","237","  ","555","  ","988","  ","1261","  ","1767","  ","2006","  ","12016","  ","1132","  ","1030","  ","638","  ","247","  ","253","  ","262","  ","309","  ","385","  ","872","  ","1949","  ","2477","  ","2463","  ","13178","  ","1690","  ","1336","  ","484","  ","328","  ","281","  ","265","  ","442","  ","485","  ","1622","  ","1914","  ","1967","  ","2364","  ",
"South Carolina","21415","  ","21620","  ","22609","  ","2470","  ","1619","  ","1309","  ","1325","  ","1157","  ","1279","  ","1422","  ","2004","  ","1881","  ","3039","  ","3910","  ","23494","  ","1873","  ","2099","  ","1795","  ","1356","  ","1365","  ","1301","  ","1285","  ","1500","  ","1568","  ","2129","  ","3650","  ","3572","  ","25398","  ","2789","  ","3001","  ","1687","  ","1285","  ","1267","  ","1255","  ","1286","  ","1412","  ","1620","  ","2931","  ","2784","  ","4082","  ",
"South Dakota","8528","  ","8888","  ","10680","  ","970","  ","594","  ","351","  ","300","  ","301","  ","304","  ","485","  ","826","  ","1061","  ","1405","  ","1931","  ","10434","  ","1546","  ","1114","  ","565","  ","312","  ","310","  ","305","  ","323","  ","498","  ","672","  ","1103","  ","1771","  ","1916","  ","12310","  ","1630","  ","1649","  ","633","  ","420","  ","328","  ","312","  ","361","  ","519","  ","881","  ","1521","  ","1916","  ","2139","  ",
"Tennessee","43691","  ","47850","  ","49843","  ","4929","  ","2663","  ","2141","  ","2052","  ","2035","  ","2032","  ","2652","  ","2983","  ","4369","  ","7608","  ","10226","  ","53041","  ","5191","  ","4634","  ","3032","  ","2225","  ","2057","  ","2039","  ","2141","  ","2453","  ","2928","  ","5637","  ","10805","  ","9900","  ","57435","  ","7591","  ","6111","  ","3370","  ","2244","  ","2145","  ","2106","  ","2029","  ","2175","  ","3201","  ","6578","  ","8314","  ","11570","  ",
"Texas","0","NA","158495","  ","164543","  ","13383","  ","10592","  ","10102","  ","10092","  ","10294","  ","0","NA","10611","  ","13184","  ","14740","  ","19038","  ","23837","  ","177594","  ","19098","  ","13847","  ","10634","  ","9727","  ","9512","  ","10752","  ","10723","  ","10314","  ","12752","  ","20618","  ","21963","  ","27654","  ","184908","  ","20365","  ","14388","  ","11298","  ","10330","  ","10099","  ","10743","  ","10733","  ","11280","  ","14780","  ","19205","  ","24160","  ","27526","  ",
"Utah","31783","  ","28814","  ","32545","  ","4188","  ","1955","  ","1347","  ","1028","  ","1235","  ","1075","  ","2010","  ","2773","  ","3970","  ","5319","  ","6883","  ","35772","  ","6958","  ","4785","  ","1491","  ","1003","  ","1170","  ","1181","  ","1387","  ","2168","  ","3027","  ","3004","  ","3979","  ","5620","  ","38156","  ","5611","  ","4741","  ","2117","  ","1227","  ","940","  ","1257","  ","1586","  ","2538","  ","2532","  ","4397","  ","4485","  ","6726","  ",
"Vermont","0","NA","5336","  ","4164","  ","567","  ","489","  ","348","  ","350","  ","345","  ","306","  ","286","  ","0","NA","516","  ","714","  ","899","  ","5918","  ","583","  ","554","  ","520","  ","334","  ","316","  ","340","  ","323","  ","204","  ","370","  ","675","  ","810","  ","889","  ","4830","  ","666","  ","479","  ","300","  ","239","  ","223","  ","218","  ","199","  ","259","  ","393","  ","575","  ","551","  ","727","  ",
"Virginia","59014","  ","62906","  ","62980","  ","7385","  ","4444","  ","2936","  ","2664","  ","2646","  ","3132","  ","3556","  ","5145","  ","6289","  ","9234","  ","11584","  ","69107","  ","6201","  ","6155","  ","4889","  ","3592","  ","2646","  ","2716","  ","2644","  ","2813","  ","4015","  ","8607","  ","12727","  ","12102","  ","72165","  ","9184","  ","8722","  ","4212","  ","3178","  ","2802","  ","2578","  ","2806","  ","2904","  ","4270","  ","9259","  ","9723","  ","12526","  ",
"Washington","42523","  ","42282","  ","47435","  ","4767","  ","3790","  ","2494","  ","2176","  ","2268","  ","2441","  ","2828","  ","3094","  ","5496","  ","5807","  ","7362","  ","49967","  ","7685","  ","6044","  ","3220","  ","2521","  ","1995","  ","2068","  ","2407","  ","2942","  ","4172","  ","4779","  ","5305","  ","6829","  ","54457","  ","7023","  ","6923","  ","3523","  ","2385","  ","2112","  ","2162","  ","2427","  ","2774","  ","3942","  ","5900","  ","7396","  ","7891","  ",
"West Virginia","19282","  ","20583","  ","21322","  ","2051","  ","1336","  ","994","  ","1001","  ","1059","  ","984","  ","1208","  ","1633","  ","2302","  ","3018","  ","3696","  ","22598","  ","2014","  ","1928","  ","1551","  ","1110","  ","853","  ","984","  ","798","  ","1107","  ","1707","  ","3122","  ","3798","  ","3624","  ","24101","  ","2778","  ","2447","  ","1470","  ","1086","  ","1035","  ","1015","  ","786","  ","1269","  ","1643","  ","3199","  ","3585","  ","3787","  ",
"Wisconsin","73324","  ","79827","  ","93521","  ","7348","  ","4834","  ","3110","  ","3029","  ","2838","  ","3132","  ","4532","  ","7133","  ","9172","  ","13078","  ","15118","  ","90175","  ","10348","  ","7772","  ","4983","  ","2866","  ","2963","  ","2781","  ","2840","  ","3791","  ","6601","  ","11827","  ","16777","  ","16627","  ","107003","  ","13482","  ","12402","  ","5795","  ","3398","  ","2979","  ","3117","  ","3333","  ","4324","  ","7965","  ","13915","  ","16512","  ","19782","  ",
"Wyoming","9996","  ","10543","  ","10456","  ","1124","  ","758","  ","488","  ","430","  ","385","  ","359","  ","727","  ","941","  ","1333","  ","1524","  ","1927","  ","12937","  ","2395","  ","1637","  ","604","  ","503","  ","298","  ","422","  ","461","  ","919","  ","986","  ","1196","  ","1603","  ","1913","  ","12188","  ","1732","  ","1581","  ","789","  ","477","  ","389","  ","349","  ","365","  ","670","  ","1001","  ","1337","  ","1737","  ","1762","  ",
" Total","2664665","  ","2846767","  ","3039557","  ","283536","  ","192740","  ","143388","R","141803","R","136383","R","138828","  ","171756","  ","233576","  ","299480","  ","416487","  ","506689","  ","3198797","  ","352031","  ","282990","  ","194764","  ","138010","  ","135142","  ","133678","  ","135477","  ","160452","  ","232156","  ","385467","  ","516680","  ","531951","  ","3466308","  ","426751","  ","361530","  ","202359","  ","148913","  ","137122","  ","137609","  ","141451","  ","176753","  ","251038","  ","420934","  ","490105","  ","571744","  ",
