"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Mississippi","105330","  ","111353","  ","107166","  ","9927","  ","8328","  ","8686","  ","9565","  ","9583","  ","9833","  ","9766","  ","9641","  ","9093","  ","10101","  ","10807","  ","121866","  ","10513","  ","10323","  ","11293","  ","9900","  ","9648","  ","9720","  ","9896","  ","9645","  ","9620","  ","9986","  ","10330","  ","10994","  ","117908","  ","10741","  ","10530","  ","10187","  ","9738","  ","9895","  ","9765","  ","9815","  ","9735","  ","9724","  ","9399","  ","8976","  ","9404","  ",
"Missouri","0","NA","59533","  ","60520","  ","5017","  ","0","NA","4699","  ","4248","  ","4413","  ","4574","  ","5146","  ","5272","  ","6041","  ","7176","  ","6914","  ","65691","  ","6158","  ","5560","  ","4912","  ","4551","  ","4399","  ","4742","  ","4629","  ","4657","  ","5116","  ","6733","  ","7055","  ","7179","  ","67115","  ","6596","  ","6185","  ","5043","  ","4605","  ","4569","  ","4573","  ","4412","  ","4848","  ","5350","  ","6564","  ","6959","  ","7413","  ",
"Montana","0","NA","19050","  ","19793","  ","2624","  ","0","NA","0","NA","0","NA","0","NA","0","NA","1723","  ","0","NA","0","NA","1918","  ","2136","  ","21152","  ","2102","  ","1939","  ","1812","  ","1654","  ","1901","  ","1391","  ","1500","  ","1613","  ","1612","  ","1729","  ","1796","  ","2105","  ","22084","  ","2291","  ","2198","  ","1962","  ","1637","  ","1486","  ","1565","  ","1600","  ","1817","  ","1678","  ","2001","  ","1765","  ","2086","  ",
"Nebraska","80357","  ","78443","  ","79241","  ","7988","  ","7717","  ","8022","  ","8856","  ","8163","  ","6885","  ","6557","  ","6363","  ","6496","  ","6311","  ","6998","  ","85604","  ","7161","  ","7848","  ","7320","  ","6508","  ","7106","  ","7738","  ","6459","  ","6797","  ","6626","  ","6395","  ","7715","  ","7930","  ","86878","  ","7637","  ","8652","  ","7581","  ","7105","  ","6786","  ","7145","  ","6523","  ","6736","  ","6431","  ","7210","  ","7185","  ","7888","  ",
"Nevada","0","NA","16257","  ","14834","  ","1523","  ","1635","  ","0","NA","0","NA","0","NA","1433","  ","1483","  ","1518","  ","1562","  ","1448","  ","1609","  ","17724","  ","1467","  ","1507","  ","1463","  ","1470","  ","1463","  ","1425","  ","1386","  ","1438","  ","1558","  ","1546","  ","1376","  ","1625","  ","16432","  ","1598","  ","1557","  ","1506","  ","1396","  ","1329","  ","1225","  ","1312","  ","1272","  ","1280","  ","1361","  ","1209","  ","1387","  ",
"New Hampshire","0","NA","7643","  ","7630","  ","685","  ","616","  ","586","  ","551","  ","558","  ","0","NA","0","NA","0","NA","0","NA","0","NA","826","  ","8386","  ","743","  ","709","  ","619","  ","605","  ","566","  ","606","  ","611","  ","598","  ","764","  ","930","  ","812","  ","823","  ","8456","  ","826","  ","741","  ","628","  ","626","  ","563","  ","564","  ","648","  ","655","  ","743","  ","765","  ","838","  ","861","  ",
"New Jersey","0","NA","51157","  ","56407","  ","0","NA","5614","  ","5377","  ","5733","  ","6005","  ","5472","  ","4533","  ","5007","  ","4351","  ","4929","  ","6294","  ","55368","  ","4211","  ","4575","  ","4156","  ","4079","  ","4039","  ","4218","  ","4134","  ","4154","  ","4589","  ","5316","  ","5557","  ","6341","  ","61494","  ","5087","  ","5914","  ","4781","  ","4593","  ","4544","  ","5000","  ","4625","  ","4760","  ","4614","  ","6037","  ","5448","  ","6090","  ",
"New Mexico","14636","  ","16366","  ","17292","  ","1398","  ","1325","  ","1237","  ","1214","  ","1257","  ","1225","  ","1302","  ","1234","  ","1443","  ","1454","  ","1547","  ","17937","  ","1571","  ","1613","  ","1476","  ","1345","  ","1434","  ","1379","  ","1230","  ","1550","  ","1597","  ","1643","  ","1523","  ","1575","  ","19091","  ","1799","  ","1707","  ","1469","  ","1320","  ","1433","  ","1444","  ","1442","  ","1529","  ","1580","  ","1781","  ","1658","  ","1929","  ",
"New York","72870","  ","76371","  ","76189","  ","7179","  ","6491","  ","5650","  ","5897","  ","5510","  ","5441","  ","5215","  ","7067","  ","7901","  ","8332","  ","8187","  ","83055","  ","6684","  ","6657","  ","6256","  ","5594","  ","5803","  ","5278","  ","5363","  ","5775","  ","7332","  ","9508","  ","9426","  ","9378","  ","84255","  ","8066","  ","6942","  ","6048","  ","5652","  ","5393","  ","5448","  ","5395","  ","5892","  ","7366","  ","9260","  ","9286","  ","9507","  ",
"North Carolina","95995","  ","96053","  ","98110","  ","8950","  ","8636","  ","7710","  ","8381","  ","7751","  ","7678","  ","8450","  ","8646","  ","9211","  ","10069","  ","10515","  ","105103","  ","9050","  ","8912","  ","9045","  ","7975","  ","8155","  ","7855","  ","7794","  ","8132","  ","8546","  ","9856","  ","9375","  ","10411","  ","107904","  ","9794","  ","9441","  ","8957","  ","8149","  ","8256","  ","7936","  ","7913","  ","8344","  ","8893","  ","10339","  ","9703","  ","10179","  ",
"North Dakota","28716","  ","29283","  ","25560","  ","3068","  ","3185","  ","2853","  ","2040","  ","2197","  ","2773","  ","2800","  ","2094","  ","2668","  ","2278","  ","2759","  ","31660","  ","2377","  ","2951","  ","2948","  ","2706","  ","2519","  ","1999","  ","2452","  ","2835","  ","2510","  ","2940","  ","2687","  ","2736","  ","27762","  ","2202","  ","1998","  ","2091","  ","1442","  ","1877","  ","2605","  ","2538","  ","2354","  ","2736","  ","2811","  ","2444","  ","2662","  ",
"Ohio","249995","  ","252631","  ","275756","  ","23646","  ","21566","  ","19514","R","19074","  ","19309","  ","19851","  ","21570","  ","23038","  ","25038","  ","27438","  ","29952","  ","276004","  ","23373","  ","22474","  ","20128","  ","18521","  ","19080","  ","19463","  ","19413","  ","20431","  ","22803","  ","28217","  ","30802","  ","31300","  ","303366","  ","27609","  ","24717","  ","23090","  ","22786","  ","22950","  ","22888","  ","22033","  ","21392","  ","24434","  ","29069","  ","30125","  ","32272","  ",
"Oklahoma","174769","  ","166688","  ","168216","  ","15453","  ","14985","  ","13805","  ","15640","  ","15809","  ","15702","  ","17335","  ","16366","  ","16456","  ","15430","  ","17788","  ","184627","  ","17940","  ","17208","  ","15900","  ","14979","  ","13433","  ","12256","  ","12777","  ","15918","  ","15178","  ","15925","  ","15213","  ","17901","  ","183874","  ","15658","  ","14127","  ","12644","  ","14694","  ","15350","  ","13397","  ","14108","  ","14683","  ","18764","  ","17110","  ","16753","  ","16585","  ",
"Oregon","51036","  ","49670","  ","51387","  ","4706","  ","4846","  ","4368","  ","4279","  ","4198","  ","4216","  ","4518","  ","4545","  ","4996","  ","4859","  ","5506","  ","54931","  ","5261","  ","4834","  ","4377","  ","4087","  ","4163","  ","4014","  ","4194","  ","4411","  ","4784","  ","4824","  ","4648","  ","5335","  ","56522","  ","5135","  ","4993","  ","4655","  ","4163","  ","4107","  ","3998","  ","4387","  ","4492","  ","4752","  ","5164","  ","5094","  ","5581","  ",
"Pennsylvania","190645","  ","220442","  ","214275","  ","18049","  ","17129","  ","14675","R","16036","R","14622","R","16155","R","16327","R","17350","R","19256","R","20231","R","20816","R","241287","  ","20844","  ","19346","  ","19056","  ","17342","  ","17482","  ","18103","  ","18132","  ","19273","  ","20078","  ","24188","  ","23656","  ","23787","  ","237013","  ","22738","  ","21493","  ","17768","  ","16950","  ","16936","  ","18036","  ","17806","  ","18532","  ","20145","  ","22444","  ","21872","  ","22293","  ",
"Rhode Island","7740","  ","7882","  ","7282","  ","677","  ","694","  ","742","  ","662","  ","605","  ","652","  ","691","  ","728","  ","760","  ","799","  ","730","  ","8624","  ","742","  ","669","  ","675","  ","686","  ","673","  ","650","  ","666","  ","701","  ","848","  ","760","  ","826","  ","728","  ","8008","  ","727","  ","660","  ","610","  ","545","  ","786","  ","664","  ","557","  ","499","  ","787","  ","673","  ","782","  ","717","  ",
"South Carolina","79033","  ","76514","  ","75901","  ","7759","  ","7074","  ","6780","  ","6820","  ","6691","  ","6927","  ","7360","  ","7168","  ","7449","  ","7198","  ","7808","  ","84405","  ","7892","  ","7360","  ","7255","  ","6632","  ","6762","  ","6658","  ","6661","  ","6852","  ","7080","  ","7602","  ","6083","  ","7567","  ","83443","  ","7542","  ","7331","  ","7155","  ","6562","  ","6711","  ","6681","  ","6574","  ","6878","  ","6961","  ","7457","  ","6771","  ","6820","  ",
"South Dakota","40452","  ","40222","  ","40192","  ","3952","  ","3564","  ","3535","  ","3660","  ","3400","  ","3385","  ","3479","  ","3644","  ","3785","  ","3932","  ","4116","  ","44094","  ","3872","  ","3815","  ","3422","  ","3438","  ","3534","  ","3499","  ","3571","  ","3524","  ","3706","  ","3722","  ","3967","  ","4025","  ","44205","  ","4014","  ","3942","  ","3525","  ","3421","  ","3463","  ","3359","  ","3417","  ","3503","  ","3600","  ","3725","  ","4079","  ","4158","  ",
"Tennessee","110413","  ","104831","  ","106291","  ","10505","  ","9963","  ","9315","  ","9598","  ","9264","  ","9467","  ","9340","  ","9521","  ","10126","  ","11145","  ","12169","  ","114673","  ","9842","  ","9275","  ","9189","  ","8715","  ","8767","  ","8573","  ","8800","  ","8581","  ","9194","  ","10716","  ","11509","  ","11512","  ","116882","  ","10591","  ","10235","  ","9441","  ","8952","  ","8985","  ","9000","  ","8705","  ","9014","  ","9241","  ","10346","  ","10749","  ","11624","  ",
"Texas","0","NA","1454574","  ","1448357","  ","0","NA","139331","  ","139062","  ","0","NA","0","NA","130406","  ","130670","  ","128883","  ","139966","  ","133542","  ","144468","  ","1599279","  ","144705","  ","137006","  ","131492","  ","127538","  ","135406","  ","133141","  ","129478","  ","134316","  ","129221","  ","132504","  ","124812","  ","139660","  ","1585742","  ","137385","  ","131090","  ","122863","  ","127100","  ","134723","  ","135899","  ","129458","  ","133904","  ","129422","  ","135561","  ","127448","  ","140888","  ",
"Utah","35108","  ","33620","  ","34914","  ","3201","  ","3130","  ","2995","  ","2735","  ","2822","  ","3036","  ","3073","  ","3569","  ","3376","  ","3600","  ","3571","  ","37189","  ","3568","  ","3083","  ","2933","  ","2724","  ","2755","  ","2744","  ","2994","  ","3073","  ","3092","  ","3152","  ","3483","  ","3586","  ","38330","  ","3416","  ","3065","  ","2587","  ","3012","  ","2835","  ","3030","  ","3184","  ","3243","  ","3302","  ","3209","  ","3701","  ","3745","  ",
"Vermont","1954","  ","1853","  ","1673","  ","199","  ","185","  ","153","  ","140","  ","140","  ","151","  ","167","  ","192","  ","204","  ","204","  ","220","  ","2040","  ","188","  ","178","  ","188","  ","150","  ","153","  ","156","  ","137","  ","134","  ","158","  ","207","  ","176","  ","217","  ","1858","  ","185","  ","174","  ","154","  ","137","  ","131","  ","129","  ","132","  ","138","  ","141","  ","188","  ","174","  ","176","  ",
"Virginia","0","NA","79632","  ","74007","  ","7555","  ","0","NA","7536","  ","7461","  ","7398","  ","7196","  ","7382","  ","7181","  ","7482","  ","7185","  ","8633","  ","86817","  ","7186","  ","7338","  ","7260","  ","6752","  ","7360","  ","7286","  ","7320","  ","7646","  ","7711","  ","6605","  ","6805","  ","7550","  ","81040","  ","7033","  ","7063","  ","6686","  ","6240","  ","6820","  ","6056","  ","6467","  ","6540","  ","6788","  ","7062","  ","6908","  ","7376","  ",
"Washington","71369","  ","69073","  ","72057","  ","6688","  ","7137","  ","6413","  ","5965","  ","6014","  ","5732","  ","5760","  ","6305","  ","6605","  ","6792","  ","7958","  ","76600","  ","7527","  ","6991","  ","6754","  ","6029","  ","5638","  ","5375","  ","5703","  ","6000","  ","6193","  ","6880","  ","6255","  ","7253","  ","79439","  ","7382","  ","7192","  ","6877","  ","6219","  ","6003","  ","6003","  ","5945","  ","5847","  ","6377","  ","6937","  ","7061","  ","7595","  ",
"West Virginia","30190","  ","23471","  ","25380","  ","3406","  ","3159","  ","2847","  ","2706","  ","2832","  ","2530","  ","2205","  ","2306","  ","2677","  ","2718","  ","2804","  ","25901","  ","2430","  ","2061","  ","1893","  ","1717","  ","1877","  ","1787","  ","1948","  ","1905","  ","2282","  ","2716","  ","2713","  ","2572","  ","27796","  ","2416","  ","2419","  ","2311","  ","1991","  ","2062","  ","1860","  ","2105","  ","2181","  ","2486","  ","2625","  ","2548","  ","2793","  ",
"Wisconsin","127373","  ","123808","  ","127300","  ","12337","  ","11267","  ","9824","  ","9963","  ","9224","  ","9691","  ","10100","  ","11833","  ","12944","  ","14219","  ","15970","  ","136709","  ","12901","  ","12329","  ","10777","  ","9133","  ","9153","  ","8853","  ","8839","  ","9392","  ","10427","  ","13617","  ","15341","  ","15947","  ","141661","  ","14361","  ","14038","  ","11240","  ","9617","  ","8761","  ","8528","  ","8348","  ","9177","  ","11065","  ","14074","  ","15433","  ","17020","  ",
"Wyoming","0","NA","43041","  ","42823","  ","4850","  ","4478","  ","3975","  ","4136","  ","4064","  ","4262","  ","4595","  ","0","NA","0","NA","4438","  ","4671","  ","47667","  ","4626","  ","4196","  ","3906","  ","3644","  ","3765","  ","3826","  ","3817","  ","3673","  ","3919","  ","4092","  ","3733","  ","4470","  ","47153","  ","4330","  ","4168","  ","4153","  ","3661","  ","3712","  ","3409","  ","3576","  ","3726","  ","3900","  ","4159","  ","4046","  ","4313","  ",
" Total","6987628","  ","6859133","  ","6955927","  ","646306","  ","622443","R","603667","R","626299","R","616268","R","592433","R","613380","R","620097","R","665659","R","662483","R","718594","R","7534589","  ","675456","  ","639499","  ","613999","  ","579903","  ","600508","  ","592628","  ","575588","  ","603928","  ","609100","  ","663251","  ","661083","  ","719645","  ","7646039","  ","690112","  ","659624","  ","609917","  ","590989","  ","608533","  ","605051","  ","585811","  ","606067","  ","627785","  ","680634","  ","659190","  ","722327","  ",
