"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Illinois","130257","  ","68809","  ","36368","  ","11845","  ","13105","  ","20433","  ","23039","  ","13259","  ","9673","  ","9628","  ","12110","  ","8898","  ","8269","  ","83570","  ","7753","  ","7008","  ","6560","  ","8788","  ","7957","  ","11120","  ","7075","  ","4727","  ","5221","  ","5789","  ","5612","  ","5960","  ","42538","  ","3329","  ","2842","  ","4129","  ","3675","  ","5892","  ","3248","  ","4657","  ","5096","  ","1418","  ","1901","  ","1231","  ","5120","  ",
"Indiana","131320","  ","102621","  ","65469","  ","11302","  ","11938","  ","16126","  ","15793","  ","13958","  ","13693","  ","9428","  ","13879","  ","11811","  ","13392","  ","127365","  ","13305","  ","11439","  ","8711","  ","7942","  ","10138","  ","10486","  ","9343","  ","9238","  ","9110","  ","12997","  ","13294","  ","11362","  ","82361","  ","7923","  ","8969","  ","6445","  ","4604","  ","6195","  ","5666","  ","5188","  ","6189","  ","3991","  ","8008","  ","8477","  ","10707","  ",
"Iowa","18938","  ","15365","  ","8537","  ","943","  ","1250","  ","3632","  ","3173","  ","2136","  ","2441","  ","784","  ","1458","  ","1482","  ","1639","  ","17518","  ","1623","  ","530","  ","918","  ","1750","  ","2364","  ","3063","  ","1746","  ","875","  ","728","  ","1257","  ","1309","  ","1354","  ","10497","  ","1303","  ","656","  ","1118","  ","849","  ","1780","  ","862","  ","917","  ","1200","  ","477","  ","202","  ","366","  ","765","  ",
"Kansas","18194","  ","0","W ","16102","  ","1360","  ","2732","  ","2845","  ","3156","  ","3117","  ","1685","  ","1105","  ","1018","  ","510","  ","667","  ","16614","  ","804","  ","0","W ","0","W ","1662","  ","2353","  ","3425","  ","1970","  ","1189","  ","1027","  ","1124","  ","947","  ","483","  ","18443","  ","1014","  ","1327","  ","1064","  ","1311","  ","2365","  ","2077","  ","1748","  ","2396","  ","1385","  ","751","  ","1394","  ","1611","  ",
"Kentucky","57302","  ","43390","  ","23354","  ","4730","  ","5455","  ","7623","  ","8026","  ","6732","  ","4992","  ","4493","  ","6026","  ","3711","  ","5514","  ","52015","  ","3312","  ","5312","  ","6074","  ","4867","  ","4798","  ","6310","  ","3656","  ","3415","  ","3307","  ","3123","  ","5559","  ","2282","  ","26793","  ","1369","  ","2070","  ","469","  ","684","  ","1050","  ","1283","  ","1117","  ","1472","  ","3765","  ","4130","  ","3233","  ","6149","  ",
"Louisiana","292079","  ","282111","  ","229807","  ","22890","  ","28502","  ","31967","  ","38709","  ","33611","  ","30795","  ","25600","  ","27303","  ","24777","  ","27924","  ","342742","  ","31279","  ","29353","  ","29252","  ","27504","  ","33927","  ","36977","  ","33989","  ","27800","  ","24960","  ","23525","  ","22235","  ","21942","  ","264668","  ","16158","  ","18704","  ","21314","  ","23710","  ","31222","  ","25739","  ","25736","  ","26121","  ","20257","  ","14597","  ","17820","  ","23291","  ",
"Maine","20472","  ","14207","  ","20058","  ","1770","  ","1834","  ","3562","  ","3252","  ","1770","  ","1920","  ","1409","  ","607","  ","1896","  ","2451","  ","17447","  ","1427","  ","1813","  ","2483","  ","1538","  ","1839","  ","1132","  ","573","  ","745","  ","947","  ","1787","  ","1294","  ","1871","  ","23848","  ","1641","  ","2150","  ","1138","  ","1235","  ","1999","  ","3650","  ","3014","  ","1161","  ","1818","  ","1489","  ","1910","  ","2644","  ",
"Maryland","47704","  ","33987","  ","18197","  ","3309","  ","5415","  ","10341","  ","9671","  ","3730","  ","3879","  ","3569","  ","4203","  ","2295","  ","1292","  ","39632","  ","2457","  ","3188","  ","2959","  ","4162","  ","4947","  ","6571","  ","4315","  ","4383","  ","2652","  ","1497","  ","1389","  ","1114","  ","20403","  ","1127","  ","1080","  ","1607","  ","1957","  ","3302","  ","3204","  ","2496","  ","1776","  ","873","  ","1363","  ","706","  ","913","  ",
"Massachusetts","141141","  ","138499","  ","120193","  ","9492","  ","14211","  ","21413","  ","21351","  ","17569","  ","15482","  ","11546","  ","10627","  ","9811","  ","9641","  ","156492","  ","9618","  ","8375","  ","13391","  ","16586","  ","23001","  ","22583","  ","14822","  ","15056","  ","11249","  ","7951","  ","6635","  ","7223","  ","134858","  ","6710","  ","7955","  ","14158","  ","13601","  ","16923","  ","18972","  ","13430","  ","11372","  ","11199","  ","5715","  ","7518","  ","7304","  ",
"Michigan","211487","  ","143588","  ","94486","  ","16858","  ","18002","  ","31142","  ","26069","  ","21586","  ","22487","  ","23167","  ","18921","  ","16878","  ","16379","  ","174770","  ","16664","  ","14519","  ","15441","  ","14817","  ","14732","  ","17544","  ","14362","  ","12526","  ","10626","  ","14651","  ","14668","  ","14221","  ","111819","  ","9891","  ","7442","  ","8810","  ","8196","  ","10028","  ","6490","  ","9446","  ","9188","  ","8060","  ","9232","  ","11885","  ","13150","  ",
"Minnesota","59462","  ","45215","  ","24869","  ","3282","  ","3334","  ","10321","  ","8572","  ","6098","  ","6207","  ","5859","  ","5186","  ","5210","  ","5395","  ","54054","  ","5725","  ","3113","  ","3400","  ","6416","  ","6314","  ","7274","  ","4664","  ","2150","  ","4395","  ","4687","  ","3496","  ","2419","  ","30437","  ","3340","  ","2228","  ","4479","  ","1595","  ","3187","  ","1947","  ","2751","  ","3589","  ","1218","  ","1454","  ","1599","  ","3050","  ",
"Mississippi","318622","  ","280182","  ","198264","  ","27273","  ","36325","  ","37852","  ","39657","  ","36139","  ","31831","  ","22528","  ","26527","  ","29688","  ","30803","  ","331496","  ","25574","  ","25741","  ","23923","  ","26810","  ","32206","  ","34848","  ","32210","  ","26239","  ","20086","  ","26796","  ","30519","  ","26543","  ","236533","  ","21399","  ","16870","  ","19833","  ","20174","  ","24474","  ","20673","  ","21040","  ","20926","  ","11924","  ","17164","  ","17490","  ","24566","  ",
"Missouri","45424","  ","0","W ","29959","  ","3150","  ","4847","  ","6891","  ","7273","  ","6992","  ","4019","  ","4784","  ","2543","  ","2547","  ","2379","  ","40109","  ","2899","  ","2409","  ","1850","  ","3641","  ","5682","  ","6523","  ","4316","  ","1856","  ","2444","  ","0","W ","2992","  ","2715","  ","35127","  ","2531","  ","2638","  ","4282","  ","2850","  ","4483","  ","3831","  ","2414","  ","2943","  ","1547","  ","1816","  ","2363","  ","3430","  ",
"Montana","0","W ","0","W ","4638","  ","0","W ","618","  ","1053","  ","888","  ","672","  ","594","  ","0","W ","572","  ","577","  ","640","  ","7847","  ","777","  ","666","  ","714","  ","770","  ","803","  ","918","  ","705","  ","482","  ","498","  ","535","  ","0","W ","557","  ","5662","  ","361","  ","663","  ","361","  ","137","  ","530","  ","190","  ","374","  ","126","  ","771","  ","985","  ","705","  ","459","  ",
"Nebraska","5482","  ","0","W ","3691","  ","469","  ","291","  ","1121","  ","1103","  ","1391","  ","313","  ","458","  ","148","  ","101","  ","87","  ","4634","  ","137","  ","160","  ","0","W ","505","  ","890","  ","1257","  ","686","  ","201","  ","242","  ","164","  ","0","W ","185","  ","4189","  ","277","  ","222","  ","326","  ","212","  ","642","  ","527","  ","305","  ","821","  ","517","  ","152","  ","90","  ","99","  ",
"Nevada","177992","  ","173729","  ","140026","  ","15257","  ","17112","  ","21887","  ","22567","  ","21319","  ","17106","  ","14939","  ","15241","  ","14624","  ","17941","  ","207145","  ","18135","  ","15282","  ","18088","  ","20109","  ","22904","  ","20722","  ","21244","  ","15320","  ","15970","  ","13336","  ","13116","  ","12919","  ","166727","  ","13724","  ","12978","  ","15912","  ","18219","  ","18769","  ","19844","  ","14199","  ","12254","  ","10865","  ","8888","  ","9986","  ","11091","  ",
"New Hampshire","28563","  ","36172","  ","26217","  ","2362","  ","3909","  ","4582","  ","4147","  ","2854","  ","3009","  ","3609","  ","749","  ","1145","  ","2196","  ","42673","  ","2706","  ","3795","  ","3375","  ","3922","  ","4622","  ","4211","  ","3618","  ","3865","  ","3308","  ","3393","  ","2236","  ","3622","  ","31240","  ","3040","  ","1982","  ","3500","  ","3344","  ","3286","  ","3971","  ","2843","  ","2973","  ","3350","  ","1961","  ","406","  ","582","  ",
"New Jersey","286008","  ","242985","  ","207792","  ","27479","  ","30080","  ","41241","  ","39592","  ","30423","  ","24014","  ","23971","  ","24419","  ","21012","  ","23777","  ","290843","  ","23354","  ","24504","  ","24677","  ","29675","  ","29355","  ","30618","  ","24861","  ","24474","  ","18160","  ","22976","  ","18435","  ","19752","  ","249676","  ","21023","  ","20861","  ","21511","  ","23557","  ","25134","  ","28822","  ","23065","  ","19254","  ","15117","  ","18515","  ","17140","  ","15678","  ",
"New Mexico","71396","  ","65434","  ","64562","  ","7192","  ","7238","  ","8609","  ","9226","  ","7705","  ","6387","  ","6357","  ","6066","  ","5806","  ","6810","  ","77947","  ","6933","  ","5581","  ","6330","  ","6895","  ","8798","  ","8114","  ","6787","  ","4441","  ","5744","  ","6183","  ","5514","  ","6628","  ","76973","  ","6608","  ","5803","  ","5038","  ","5816","  ","8695","  ","7728","  ","7445","  ","6681","  ","6109","  ","6144","  ","4983","  ","5923","  ",
"New York","415746","  ","410652","  ","384537","  ","32497","  ","45087","  ","64388","  ","59588","  ","44619","  ","39743","  ","33274","  ","32185","  ","30295","  ","34072","  ","475658","  ","31355","  ","33652","  ","39937","  ","49022","  ","54763","  ","54290","  ","40290","  ","38846","  ","29269","  ","39410","  ","29469","  ","35355","  ","452796","  ","35477","  ","32781","  ","35619","  ","42923","  ","46926","  ","51020","  ","43321","  ","31762","  ","29045","  ","36044","  ","34274","  ","33604","  ",
"North Carolina","248152","  ","224252","  ","167684","  ","18622","  ","24204","  ","30092","  ","29131","  ","23889","  ","21936","  ","23986","  ","28159","  ","24825","  ","23308","  ","268925","  ","22474","  ","22200","  ","19195","  ","23579","  ","24881","  ","25946","  ","26406","  ","23825","  ","19201","  ","19153","  ","20073","  ","21994","  ","205740","  ","21159","  ","16897","  ","12550","  ","19600","  ","20536","  ","20999","  ","20914","  ","16523","  ","15341","  ","14737","  ","8679","  ","17808","  ",
"North Dakota","0","W ","0","W ","1569","  ","691","  ","828","  ","1316","  ","1159","  ","900","  ","717","  ","0","W ","683","  ","723","  ","733","  ","3671","  ","0","W ","0","W ","0","W ","433","  ","492","  ","497","  ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","1888","  ","175","  ","145","  ","227","  ","138","  ","242","  ","175","  ","150","  ","207","  ","87","  ","72","  ","103","  ","166","  ",
"Ohio","180590","  ","177342","  ","146411","  ","14278","  ","18192","  ","23137","  ","22704","  ","17398","  ","11353","  ","16438","  ","18110","  ","19207","  ","19773","  ","210460","  ","17199","  ","15918","  ","13838","  ","17928","  ","19618","  ","20417","  ","18226","  ","15180","  ","13132","  ","19948","  ","19594","  ","19461","  ","175221","  ","17339","  ","11471","  ","9195","  ","16891","  ","19286","  ","16219","  ","15108","  ","13816","  ","11354","  ","15733","  ","13408","  ","15401","  ",
"Oklahoma","237071","  ","211200","  ","178816","  ","18560","  ","25574","  ","29527","  ","33629","  ","31430","  ","22840","  ","20250","  ","17686","  ","16020","  ","21554","  ","254706","  ","23024","  ","20482","  ","16289","  ","20143","  ","27950","  ","30396","  ","22126","  ","17107","  ","16903","  ","18885","  ","20710","  ","20692","  ","207577","  ","15993","  ","12768","  ","14937","  ","15559","  ","25905","  ","21082","  ","16771","  ","14599","  ","15823","  ","13308","  ","20291","  ","20542","  ",
"Oregon","92323","  ","90997","  ","72176","  ","7767","  ","13139","  ","14264","  ","10466","  ","7951","  ","5247","  ","4821","  ","8641","  ","9596","  ","10432","  ","113988","  ","11609","  ","11382","  ","10746","  ","11754","  ","11616","  ","12013","  ","10573","  ","8295","  ","8202","  ","6047","  ","3597","  ","8155","  ","90098","  ","8616","  ","9306","  ","9801","  ","11064","  ","10633","  ","8115","  ","2521","  ","2766","  ","2313","  ","2874","  ","10414","  ","11675","  ",
"Pennsylvania","423151","  ","367556","  ","326618","  ","39496","  ","47279","  ","57627","  ","57177","  ","47122","  ","35691","  ","33444","  ","36647","  ","33433","  ","35235","  ","439248","  ","35621","  ","36071","  ","38145","  ","39738","  ","47480","  ","47934","  ","38101","  ","31222","  ","31691","  ","34488","  ","26179","  ","32578","  ","388056","  ","34137","  ","27301","  ","39288","  ","37837","  ","40206","  ","41086","  ","35815","  ","29362","  ","21770","  ","28277","  ","24912","  ","28065","  ",
"Rhode Island","41233","  ","42695","  ","39395","  ","2968","  ","4440","  ","5692","  ","5963","  ","4761","  ","5004","  ","2937","  ","4496","  ","2530","  ","2442","  ","50110","  ","3081","  ","4334","  ","3864","  ","3507","  ","7037","  ","6902","  ","6135","  ","5728","  ","2475","  ","3176","  ","1716","  ","2157","  ","44867","  ","2877","  ","2595","  ","4151","  ","5360","  ","5632","  ","5893","  ","4891","  ","3650","  ","3516","  ","1919","  ","1842","  ","2542","  ",
"South Carolina","112154","  ","109683","  ","75237","  ","10993","  ","13847","  ","14771","  ","15786","  ","12229","  ","10143","  ","6915","  ","9940","  ","7877","  ","9653","  ","135239","  ","11601","  ","13955","  ","12777","  ","11768","  ","13664","  ","14943","  ","14514","  ","9903","  ","9540","  ","8308","  ","7075","  ","7192","  ","87330","  ","6278","  ","5815","  ","6374","  ","6778","  ","9243","  ","10246","  ","8498","  ","8914","  ","7676","  ","6547","  ","4231","  ","6730","  ",
"South Dakota","6783","  ","0","W ","2812","  ","474","  ","556","  ","1141","  ","1037","  ","748","  ","598","  ","679","  ","539","  ","549","  ","461","  ","7083","  ","656","  ","521","  ","396","  ","519","  ","943","  ","1216","  ","769","  ","572","  ","332","  ","0","W ","495","  ","516","  ","3865","  ","687","  ","366","  ","186","  ","24","  ","704","  ","782","  ","74","  ","317","  ","207","  ","46","  ","146","  ","326","  ",
"Tennessee","76061","  ","58216","  ","37819","  ","6423","  ","8879","  ","10415","  ","10109","  ","9257","  ","6235","  ","5147","  ","6915","  ","6325","  ","6355","  ","69830","  ","6156","  ","5458","  ","4574","  ","6133","  ","6002","  ","7594","  ","7026","  ","6508","  ","4485","  ","4226","  ","6914","  ","4753","  ","45083","  ","3144","  ","4120","  ","2556","  ","3553","  ","5261","  ","4642","  ","5288","  ","4954","  ","2130","  ","1466","  ","1773","  ","6195","  ",
"Texas","1351323","  ","1413019","  ","1217143","  ","111654","  ","144548","  ","174918","  ","170989","  ","151685","  ","132544","  ","117577","  ","119895","  ","105021","  ","122490","  ","1646330","  ","123103","  ","110207","  ","131222","  ","151139","  ","185654","  ","181401","  ","147288","  ","124315","  ","118966","  ","128933","  ","115697","  ","128404","  ","1425134","  ","107524","  ","100467","  ","118033","  ","135001","  ","171985","  ","151814","  ","131526","  ","111872","  ","99834","  ","94692","  ","94715","  ","107671","  ",
"Utah","50477","  ","46220","  ","49103","  ","4013","  ","4418","  ","6023","  ","6320","  ","6069","  ","5071","  ","5258","  ","4401","  ","4108","  ","4796","  ","55797","  ","5002","  ","4575","  ","4387","  ","5171","  ","6238","  ","5768","  ","5443","  ","4572","  ","3905","  ","3298","  ","3411","  ","4026","  ","58780","  ","4665","  ","5012","  ","4970","  ","5262","  ","6378","  ","7018","  ","5848","  ","4050","  ","3310","  ","3829","  ","3888","  ","4552","  ",
"Vermont","11","  ","17","  ","28","  ","2","  ","3","  ","3","  ","1","  ","0","--","2","  ","0","*","1","  ","0","--","0","*","19","  ","1","  ","1","  ","0","*","1","  ","0","*","0","*","1","  ","6","  ","0","*","1","  ","2","  ","5","  ","36","  ","4","  ","3","  ","3","  ","3","  ","3","  ","3","  ","3","  ","2","  ","1","  ","4","  ","3","  ","4","  ",
"Virginia","249381","  ","203719","  ","136663","  ","18007","  ","27967","  ","36248","  ","36703","  ","29100","  ","21704","  ","13489","  ","20292","  ","22753","  ","23118","  ","243116","  ","22839","  ","16558","  ","11752","  ","22109","  ","26163","  ","29071","  ","26215","  ","22115","  ","12719","  ","18261","  ","17633","  ","17681","  ","159155","  ","12151","  ","10341","  ","7568","  ","15157","  ","15657","  ","17106","  ","16051","  ","15387","  ","10055","  ","12646","  ","13592","  ","13443","  ",
"Washington","73391","  ","77436","  ","71596","  ","5017","  ","10718","  ","12267","  ","9739","  ","6147","  ","5069","  ","2825","  ","4497","  ","7345","  ","9768","  ","97300","  ","9481","  ","10383","  ","11239","  ","10914","  ","10802","  ","12265","  ","9569","  ","6016","  ","4616","  ","4762","  ","2245","  ","5010","  ","84531","  ","6452","  ","6483","  ","9509","  ","12192","  ","12308","  ","8091","  ","2381","  ","2623","  ","2674","  ","4229","  ","8191","  ","9398","  ",
"West Virginia","9755","  ","11990","  ","6178","  ","1656","  ","1150","  ","686","  ","680","  ","1309","  ","1666","  ","1100","  ","1074","  ","226","  ","208","  ","13277","  ","522","  ","765","  ","1541","  ","1742","  ","1873","  ","2142","  ","1614","  ","1213","  ","806","  ","362","  ","436","  ","260","  ","6711","  ","215","  ","319","  ","1268","  ","732","  ","660","  ","598","  ","347","  ","246","  ","74","  ","479","  ","723","  ","1050","  ",
"Wisconsin","107146","  ","83631","  ","49148","  ","5219","  ","8029","  ","15109","  ","14078","  ","11530","  ","9679","  ","9685","  ","13288","  ","10291","  ","10238","  ","101211","  ","9879","  ","7700","  ","7455","  ","9104","  ","8982","  ","11015","  ","8205","  ","7133","  ","6523","  ","8768","  ","8652","  ","7795","  ","60285","  ","5251","  ","5885","  ","7245","  ","4192","  ","5929","  ","4401","  ","4586","  ","5973","  ","4097","  ","3596","  ","4203","  ","4926","  ",
"Wyoming","0","W ","0","W ","507","  ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","706","  ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","831","  ","128","  ","195","  ","95","  ","148","  ","22","  ","35","  ","30","  ","32","  ","29","  ","36","  ","39","  ","41","  ",
" Total","8656518","  ","8162430","  ","6906821","  ","741254","  ","914967","  ","1155039","  ","1141638","  ","971470","  ","807688","  ","722936","  ","744074","  ","686483","  ","770968","  ","9671095","  ","771355","  ","737310","  ","797631","  ","901839","  ","1034595","  ","1053747","  ","893343","  ","738628","  ","668471","  ","709358","  ","650586","  ","714235","  ","8145982","  ","638769","  ","600392","  ","703390","  ","770947","  ","897806","  ","843303","  ","720750","  ","646929","  ","548899","  ","560808","  ","551109","  ","662881","  ",
