"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Nevada","6.09","  ","8.23","  ","7.83","  ","5.06","  ","5.20","  ","5.87","  ","5.79","  ","6.51","  ","6.10","  ","5.99","  ","6.21","  ","6.73","  ","6.65","  ","6.49","  ","8.07","  ","6.61","  ","7.12","  ","7.72","  ","8.58","  ","8.16","  ","8.71","  ","9.18","  ","9.06","  ","8.71","  ","8.32","  ","8.27","  ","7.94","  ","7.83","  ","7.84","  ","8.31","  ","8.54","  ","8.48","  ","8.86","  ","8.60","  ","7.66","  ","7.52","  ","7.39","  ","7.64","  ","7.28","  ","6.89","  ",
"New Hampshire","8.42","  ","10.37","  ","9.57","  ","9.06","  ","7.58","  ","8.06","  ","8.21","  ","8.24","  ","7.14","  ","7.48","  ","7.90","  ","7.98","  ","8.96","  ","9.60","  ","10.33","  ","9.87","  ","7.53","  ","5.48","  ","5.10","  ","6.05","  ","6.14","  ","7.16","  ","8.31","  ","10.89","  ","12.09","  ","12.47","  ","14.13","  ","9.46","  ","8.74","  ","7.31","  ","6.25","  ","7.76","  ","8.62","  ","8.60","  ","9.90","  ","11.13","  ","12.00","  ","10.57","  ","10.26","  ","9.64","  ",
"New Jersey","0.00","NA","8.14","  ","10.52","  ","7.89","  ","7.00","  ","7.57","  ","0.00","NA","0.00","NA","7.12","  ","6.12","  ","5.60","  ","7.52","  ","6.81","  ","7.02","  ","8.09","  ","7.52","  ","7.09","  ","7.34","  ","8.31","  ","8.75","  ","8.19","  ","8.13","  ","7.82","  ","7.87","  ","7.96","  ","8.26","  ","8.81","  ","10.45","  ","9.99","  ","10.22","  ","8.33","  ","10.27","  ","11.68","  ","10.88","  ","10.41","  ","9.25","  ","9.93","  ","10.82","  ","11.70","  ","10.06","  ",
"New Mexico","4.09","  ","4.66","  ","6.19","  ","4.28","  ","4.71","  ","4.53","  ","4.27","  ","3.91","  ","3.49","  ","3.38","  ","3.45","  ","3.75","  ","4.05","  ","4.24","  ","4.62","  ","4.26","  ","4.60","  ","4.69","  ","4.70","  ","4.60","  ","4.53","  ","4.44","  ","4.11","  ","4.52","  ","4.93","  ","5.06","  ","5.84","  ","6.18","  ","6.06","  ","6.13","  ","6.28","  ","5.97","  ","6.05","  ","6.24","  ","6.24","  ","6.05","  ","6.46","  ","6.69","  ","6.47","  ","5.82","  ",
"New York","5.94","  ","6.66","  ","8.23","  ","5.71","  ","5.58","  ","5.30","  ","5.75","  ","5.61","  ","5.60","  ","5.77","  ","5.93","  ","6.25","  ","6.29","  ","6.28","  ","6.62","  ","6.27","  ","6.01","  ","5.57","  ","5.83","  ","5.33","  ","5.86","  ","6.00","  ","6.54","  ","7.21","  ","7.21","  ","7.05","  ","7.43","  ","8.13","  ","7.19","  ","7.03","  ","6.71","  ","6.75","  ","7.48","  ","7.93","  ","8.10","  ","8.66","  ","8.68","  ","9.38","  ","8.64","  ","8.01","  ",
"North Carolina","5.32","  ","6.38","  ","7.57","  ","5.42","  ","5.23","  ","5.23","  ","5.16","  ","5.11","  ","5.05","  ","5.07","  ","5.29","  ","5.66","  ","5.57","  ","5.30","  ","6.34","  ","5.87","  ","5.73","  ","6.04","  ","6.14","  ","5.87","  ","5.95","  ","5.83","  ","5.67","  ","6.11","  ","6.69","  ","7.52","  ","7.06","  ","7.55","  ","7.42","  ","7.02","  ","7.66","  ","7.64","  ","7.51","  ","7.31","  ","7.35","  ","7.72","  ","7.54","  ","7.58","  ","8.02","  ","7.62","  ",
"North Dakota","2.50","  ","3.14","  ","5.62","  ","2.80","  ","2.86","  ","2.82","  ","3.68","  ","2.98","  ","2.09","  ","1.91","  ","2.09","  ","2.10","  ","2.83","  ","2.43","  ","3.13","  ","2.88","  ","2.58","  ","2.76","  ","2.81","  ","2.95","  ","3.11","  ","2.90","  ","2.81","  ","3.01","  ","3.77","  ","3.86","  ","3.92","  ","5.61","  ","5.50","  ","4.90","  ","4.44","  ","5.68","  ","4.11","  ","4.43","  ","4.57","  ","4.76","  ","5.00","  ","9.44","  ","7.48","  ","5.07","  ",
"Ohio","0.00","NA","5.42","  ","7.08","  ","5.66","  ","6.30","  ","0.00","NA","6.71","  ","0.00","NA","0.00","NA","5.53","  ","0.00","NA","4.20","  ","4.29","  ","4.46","  ","5.35","  ","4.65","  ","4.74","  ","5.61","  ","6.64","  ","6.09","  ","5.40","  ","7.24","  ","5.71","  ","5.28","  ","5.22","  ","5.44","  ","5.26","  ","7.06","  ","6.95","  ","7.07","  ","7.30","  ","8.10","  ","7.18","  ","7.03","  ","8.56","  ","8.11","  ","7.36","  ","6.91","  ","7.37","  ","6.11","  ",
"Oklahoma","0.00","NA","7.71","  ","8.64","  ","9.58","  ","8.10","  ","8.82","  ","0.00","NA","0.00","NA","0.00","NA","9.14","  ","8.07","  ","5.61","  ","5.42","  ","9.95","  ","7.51","  ","6.18","  ","7.90","  ","9.90","  ","12.85","  ","8.77","  ","8.63","  ","8.96","  ","6.31","  ","9.41","  ","6.57","  ","7.40","  ","7.62","  ","8.30","  ","5.14","  ","8.63","  ","14.47","  ","11.05","  ","9.77","  ","8.91","  ","22.75","  ","15.07","  ","8.00","  ","10.19","  ","6.32","  ","6.71","  ",
"Oregon","5.51","  ","6.36","  ","6.14","  ","5.51","  ","5.46","  ","5.43","  ","5.43","  ","5.29","  ","6.49","  ","5.14","  ","5.24","  ","5.59","  ","5.59","  ","5.50","  ","6.28","  ","5.50","  ","5.58","  ","6.41","  ","6.38","  ","6.39","  ","6.30","  ","6.25","  ","6.29","  ","6.25","  ","6.65","  ","6.72","  ","6.69","  ","6.20","  ","6.73","  ","6.65","  ","6.13","  ","6.34","  ","6.35","  ","6.16","  ","6.09","  ","6.01","  ","6.02","  ","5.97","  ","5.96","  ","6.00","  ",
