"                   ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Utah","3685","  ","8830","  ","-8073","  ","6185","  ","3131","  ","-1402","  ","-4323","  ","-3183","  ","-5792","  ","-5110","  ","-6367","  ","-512","  ","-197","  ","3249","  ","6246","  ","-1155","  ","7368","  ","4621","  ","-1973","  ","-5125","  ","-5742","  ","-7678","  ","-7760","  ","-8156","  ","224","  ","4590","  ","8588","  ","9887","  ",
"Virginia","17","  ","1612","  ","-468","  ","48","  ","-270","  ","-545","  ","-623","  ","-508","  ","-87","  ","-509","  ","-600","  ","793","  ","-1256","  ","1821","  ","1268","  ","6","  ","158","  ","176","  ","-638","  ","-848","  ","183","  ","-282","  ","167","  ","-573","  ","-449","  ","199","  ","-293","  ","2208","  ",
"Washington","5854","  ","1480","  ","4545","  ","2710","  ","3788","  ","-792","  ","-2976","  ","-4747","  ","278","  ","122","  ","-4285","  ","-1199","  ","2520","  ","4712","  ","4416","  ","-3458","  ","676","  ","1577","  ","-223","  ","-1524","  ","-4077","  ","-1529","  ","-3418","  ","-5031","  ","-2089","  ","2671","  ","5288","  ","4221","  ",
"West Virginia","35655","  ","62042","  ","-28160","  ","23846","  ","2845","  ","-9186","  ","-22820","  ","-30311","  ","-28852","  ","-25772","  ","-33361","  ","-23211","  ","19409","  ","41225","  ","58024","  ","-765","  ","30123","  ","16358","  ","-17465","  ","-24144","  ","-25969","  ","-28904","  ","-27051","  ","-35829","  ","-8421","  ","22841","  ","38330","  ","59366","  ",
"Wyoming","2448","  ","3031","  ","-1237","  ","1646","  ","-255","  ","-1419","  ","-1866","  ","-1115","  ","-1186","  ","-1715","  ","-1151","  ","308","  ","1217","  ","2397","  ","1901","  ","-569","  ","1586","  ","831","  ","-2049","  ","-2016","  ","-3075","  ","-2118","  ","-1709","  ","-953","  ","-575","  ","1635","  ","3435","  ","4440","  ",
"Regions",
"   East Region","147125","  ","224131","R","-120948","  ","57566","  ","4874","  ","-59311","  ","-93904","  ","-104741","  ","-90489","  ","-121935","  ","-143443","  ","-69755","  ","98736","  ","194649","  ","206803","  ","-52743","  ","89203","  ","61045","  ","-86683","  ","-116239","  ","-108445","  ","-106553","  ","-125529","  ","-136399","  ","-46858","  ","106232","  ","179804","  ","237678","  ",
"   South Central Region","73846","  ","207396","R","-255860","  ","33813","  ","-11936","  ","-116399","  ","-110024","  ","-46205","  ","-47939","  ","-82015","  ","-173376","  ","-174950","  ","3622","  ","255529","  ","214020","  ","-61096","  ","40026","  ","6651","  ","-162037","  ","-124657","  ","-55342","  ","-91771","  ","-109928","  ","-133863","  ","-90131","  ","115000","  ","217408","  ","327547","  ",
"   Midwest Region","156476","  ","223975","R","-125909","  ","102720","  ","3645","  ","-122971","  ","-141004","  ","-139059","  ","-118778","  ","-127490","  ","-129063","  ","-56557","  ","93536","  ","272661","  ","236452","  ","-101059","  ","118280","  ","74778","  ","-111005","  ","-147193","  ","-163132","  ","-153935","  ","-154212","  ","-133848","  ","-41683","  ","102669","  ","212159","  ","296063","  ",
"   Mountain Region","12562","  ","29411","  ","-39121","  ","21235","  ","5213","  ","-11462","  ","-16112","  ","-15317","  ","-17214","  ","-19419","  ","-19103","  ","-2853","  ","34","  ","15081","  ","20797","  ","19202","  ","22941","  ","12630","  ","-12768","  ","-17611","  ","-17858","  ","-21457","  ","-22706","  ","-16967","  ","1434","  ","19358","  ","35320","  ","36887","  ",
"   Pacific Region","13538","  ","43542","  ","2322","  ","49135","  ","10625","  ","-20831","  ","-11035","  ","-3674","  ","-8243","  ","-10588","  ","-32152","  ","-17550","  ","-2557","  ","2649","  ","46544","  ","-52112","  ","16684","  ","6464","  ","-27912","  ","-15268","  ","-28027","  ","-25531","  ","-48717","  ","-56302","  ","-39504","  ","10393","  ","82912","  ","72695","  ",
"Total Lower 48 States","403548","  ","728455","R","-539517","  ","264468","  ","12421","  ","-330975","  ","-372079","  ","-308996","  ","-282663","  ","-361447","  ","-497137","  ","-321666","  ","193371","  ","740569","  ","724616","  ","-247806","  ","287134","  ","161568","  ","-400405","  ","-420968","  ","-372803","  ","-399247","  ","-461091","  ","-477379","  ","-216741","  ","353651","  ","727603","  ","970871","  ",
"U.S. Total","403089","  ","728405","R","-538735","  ","264608","  ","12618","  ","-331026","  ","-371987","  ","-309104","  ","-282834","  ","-361525","  ","-497208","  ","-321448","  ","193606","  ","740754","  ","724811","  ","-252958","  ","286401","  ","161011","  ","-400299","  ","-421532","  ","-373501","  ","-399503","  ","-462637","  ","-477641","  ","-217441","  ","353454","  ","728162","  ","970569","  ",
