"      Mexico                            ","2.33","  ","3.25","  ","5.45","  ","2.20","  ","2.45","  ","2.81","  ","2.30","  ","2.26","  ","2.61","  ","2.77","  ","3.00","  ","3.01","  ","2.94","  ","2.86","  ","2.77","  ","3.03","  ","3.10","  ","3.38","  ","4.65","  ","4.19","  ","4.23","  ","4.20","  ","4.25","  ","4.19","  ","4.57","  ","4.81","  ","4.86","  ","4.81","  ","5.16","  ","6.16","  ","4.76","  ",
"    Total Pipeline Exports              ","2.40","  ","3.66","  ","7.63","  ","2.26","  ","2.53","R","2.95","  ","2.30","  ","2.36","  ","2.66","  ","2.84","  ","2.99","  ","2.96","  ","2.91","  ","2.85","  ","2.83","  ","3.40","  ","3.81","  ","3.51","  ","5.40","  ","4.24","  ","4.44","  ","4.09","  ","4.13","  ","4.09","  ","4.48","  ","4.81","  ","4.82","  ","4.93","  ","8.20","  ","9.44","  ","5.81","  ",
"    LNG                                 ",
"       Exports",
"          By Vessel",
"             Barbados","10.00","  ","0.00","--","0.00","--","10.00","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             Brazil","4.03","  ","0.00","--","0.00","--","4.03","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"             Japan                             ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","7.50","  ","0.00","--","0.00","--","6.51","  ","0.00","--","7.90","  ","8.08","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","15.74","  ","0.00","--","0.00","--","15.12","  ","15.76","  ","16.03","  ","16.03","  ","0.00","--","15.81","  ","0.00","--","0.00","--","0.00","--","0.00","--",
"             Taiwan","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","7.49","  ","0.00","--","0.00","--","0.00","--","7.16","  ","0.00","--","0.00","--","7.80","  ","7.50","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"          By Truck",
"            Canada","7.41","  ","13.06","  ","15.15","  ","0.00","--","7.41","  ","12.36","  ","0.00","--","6.81","  ","0.00","--","10.18","  ","0.00","--","13.39","  ","12.01","  ","12.14","  ","11.88","  ","12.77","  ","12.77","  ","13.27","  ","14.48","  ","14.55","  ","13.70","  ","13.83","  ","14.48","  ","13.76","  ","14.28","  ","13.44","  ","14.58","  ","14.45","  ","15.24","  ","15.24","  ","15.01","  ",
"            Mexico","10.57","  ","10.99","  ","13.40","  ","10.16","  ","10.96","  ","10.44","  ","10.90","  ","10.59","  ","10.48","  ","9.81","  ","9.94","  ","9.96","  ","10.01","  ","9.96","  ","10.03","  ","10.52","  ","10.62","  ","11.27","  ","12.50","  ","13.08","  ","11.65","  ","11.44","  ","11.47","  ","11.24","  ","11.85","  ","12.00","  ","12.59","  ","12.51","  ","13.69","  ","13.67","  ","13.17","  ",
"       Re-Exports",
"          By Vessel",
"            Brazil                     ","4.03","  ","15.19","  ","15.51","  ","4.03","  ","0.00","--","15.19","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","12.89","  ","17.44","  ","15.51","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","15.51","  ","0.00","--",
"            Egypt                     ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","16.71","  ","0.00","--","16.71","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"            Turkey","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","15.99","  ","15.99","  ","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"    Total LNG Exports                   ","4.13","  ","15.16","  ","15.47","  ","4.07","  ","10.74","  ","10.92","  ","15.95","  ","16.67","  ","6.53","  ","7.17","  ","7.91","  ","8.10","  ","7.82","  ","7.53","  ","10.53","  ","11.10","  ","12.87","  ","17.39","  ","15.66","  ","13.50","  ","12.17","  ","15.10","  ","15.74","  ","16.01","  ","16.01","  ","12.58","  ","15.78","  ","13.23","  ","14.31","  ","15.49","  ","13.70","  ",
"    CNG",
"        Canada","3.84","  ","11.37","  ","24.27","  ","2.41","  ","5.09","  ","5.73","  ","5.46","  ","4.80","  ","3.42","  ","0.00","--","2.08","  ","2.91","  ","2.44","  ","2.37","  ","3.35","  ","10.08","  ","10.53","  ","11.89","  ","12.40","  ","14.30","  ","3.47","  ","3.47","  ","0.00","--","0.00","--","4.27","  ","5.19","  ","4.79","  ","6.37","  ","14.75","  ","27.07","  ","21.76","  ",
"    Total CNG Exports          ","3.84","  ","11.37","  ","24.27","  ","2.41","  ","5.09","  ","5.73","  ","5.46","  ","4.80","  ","3.42","  ","0.00","--","2.08","  ","2.91","  ","2.44","  ","2.37","  ","3.35","  ","10.08","  ","10.53","  ","11.89","  ","12.40","  ","14.30","  ","3.47","  ","3.47","  ","0.00","--","0.00","--","4.27","  ","5.19","  ","4.79","  ","6.37","  ","14.75","  ","27.07","  ","21.76","  ",
"  Total Exports                         ","2.42","  ","3.88","  ","7.71","  ","2.29","  ","2.53","R","3.07","  ","2.57","  ","2.63","  ","2.73","  ","2.92","  ","3.09","  ","3.06","  ","3.01","  ","2.95","  ","2.83","  ","3.41","  ","3.98","  ","3.78","  ","5.51","  ","4.25","  ","4.44","  ","4.37","  ","4.41","  ","4.38","  ","4.74","  ","4.81","  ","5.01","  ","4.93","  ","8.20","  ","9.56","  ","5.82","  ",
