"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","27858","  ","27856","  ","27183","  ","13756","  ","14101","  ","157407","  ","13391","  ","13291","  ","13714","  ","12244","  ","12710","  ","12955","  ","12707","  ","13065","  ","11975","  ","13498","  ","13137","  ","14719","  ","160821","  ","14258","  ","14302","  ","13586","  ","12587","  ","12454","  ","12884","  ","12516","  ","13152","  ","13276","  ","14623","  ","13316","  ","13867","  ",
"Hawaii","90","  ","66","  ","63","  ","44","  ","47","  ","442","  ","36","  ","36","  ","43","  ","37","  ","41","  ","38","  ","44","  ","31","  ","32","  ","37","  ","28","  ","38","  ","401","  ","36","  ","33","  ","32","  ","34","  ","42","  ","34","  ","30","  ","31","  ","29","  ","35","  ","27","  ","36","  ",
"Idaho","6982","  ","5172","  ","5230","  ","3335","  ","3647","  ","31705","  ","3403","  ","3315","  ","3032","  ","2564","  ","2415","  ","2094","  ","2362","  ","2601","  ","2325","  ","2422","  ","2561","  ","2610","  ","28046","  ","2543","  ","2392","  ","2345","  ","2082","  ","1913","  ","2050","  ","2333","  ","2452","  ","2318","  ","2389","  ","2477","  ","2752","  ",
"Illinois","55167","  ","58934","  ","62078","  ","26493","  ","28674","  ","273713","  ","25140","  ","24322","  ","21016","  ","19312","  ","19033","  ","19474","  ","18951","  ","20434","  ","21555","  ","25544","  ","28775","  ","30159","  ","294220","  ","29281","  ","26950","  ","22482","  ","21720","  ","20469","  ","20076","  ","19691","  ","21040","  ","23106","  ","27329","  ","28611","  ","33466","  ",
"Indiana","71139","  ","75347","  ","72336","  ","34155","  ","36985","  ","373191","  ","33462","  ","29980","  ","28848","  ","26713","  ","28167","  ","28293","  ","27563","  ","29642","  ","29102","  ","36074","  ","37381","  ","37967","  ","375647","  ","35288","  ","34095","  ","29428","  ","28825","  ","28546","  ","27762","  ","27543","  ","28569","  ","30003","  ","33252","  ","34311","  ","38025","  ",
"Iowa","32023","  ","33081","  ","32413","  ","15443","  ","16580","  ","174269","R","15399","  ","14751","  ","14826","  ","13086","  ","13635","  ","13445","  ","13279","  ","14066","R","13551","  ","15150","  ","16156","  ","16925","  ","172718","  ","15978","  ","16497","  ","14552","  ","12203","  ","12803","  ","13389","  ","13240","  ","13139","  ","13608","  ","14896","  ","15140","  ","17273","  ",
"Kansas","20585","  ","20712","  ","21446","  ","9114","  ","11471","  ","0","NA","11086","  ","8919","  ","8738","  ","7725","  ","9693","  ","11127","  ","7423","  ","0","NA","0","NA","0","NA","9907","  ","10806","  ","118221","  ","10394","  ","10613","  ","8183","  ","8052","  ","10232","  ","10631","  ","8573","  ","9815","  ","9738","  ","10544","  ","10273","  ","11173","  ",
"Kentucky","22897","  ","23321","  ","22403","  ","10897","  ","12001","  ","115916","  ","9943","  ","9759","  ","8840","  ","8464","  ","8791","  ","8478","  ","8564","  ","8722","  ","9643","  ","11391","  ","11368","  ","11953","  ","116582","  ","10596","  ","10829","  ","9720","  ","8654","  ","8674","  ","8729","  ","8710","  ","8846","  ","8944","  ","10477","  ","10710","  ","11693","  ",
"Louisiana","170528","  ","158952","  ","160023","  ","81092","  ","89436","  ","951717","  ","85489","  ","81870","  ","79787","  ","78022","  ","80789","  ","77300","  ","75845","  ","80180","  ","76374","  ","77107","  ","75038","  ","83914","  ","960033","  ","82338","  ","81262","  ","79353","  ","74373","  ","79443","  ","79361","  ","77414","  ","80163","  ","81868","  ","84435","  ","76982","  ","83041","  ",
"Maine","0","NA","0","NA","3899","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","24121","  ","1683","  ","1728","  ","1768","  ","1950","  ","1902","  ","2329","  ","1948","  ","2332","  ","2145","  ","2436","  ","1592","  ","2308","  ",
"Maryland","2716","  ","2913","  ","2687","  ","1411","  ","1305","  ","14635","  ","1302","  ","1266","  ","1242","  ","1131","  ","906","  ","1118","  ","1159","  ","1131","  ","1126","  ","1340","  ","1342","  ","1571","  ","14734","  ","1433","  ","1516","  ","1182","  ","1065","  ","988","  ","1118","  ","1251","  ","1122","  ","1040","  ","1332","  ","1354","  ","1333","  ",
"Massachusetts","10552","  ","12184","  ","11595","  ","5065","  ","5486","  ","46186","  ","4110","  ","4108","  ","3055","  ","2507","  ","2286","  ","2219","  ","2207","  ","3139","  ","4371","  ","6000","  ","6379","  ","5805","  ","45581","  ","4841","  ","3918","  ","2838","  ","2326","  ","2591","  ","2054","  ","2625","  ","3173","  ","4098","  ","5521","  ","5746","  ","5849","  ",
"Michigan","37971","  ","40801","  ","42847","  ","18519","  ","19453","  ","0","NA","15847","  ","14366","  ","13570","  ","11698","  ","11437","  ","11349","  ","10889","  ","0","NA","15668","  ","18046","  ","19500","  ","21301","  ","180829","  ","17869","  ","15580","  ","14325","  ","11680","  ","11327","  ","10577","  ","10556","  ","11733","  ","15152","  ","19186","  ","20923","  ","21924","  ",
"Minnesota","0","NA","32031","  ","32179","  ","0","NA","0","NA","0","NA","0","NA","13605","  ","13280","  ","11305","  ","10272","  ","10321","  ","10666","  ","11077","  ","13289","  ","0","NA","15293","  ","16738","  ","173556","  ","18610","  ","16404","  ","13804","  ","13226","  ","12990","  ","12492","  ","13012","  ","11579","  ","13975","  ","15285","  ","13887","  ","18292","  ",
"Mississippi","20897","  ","21347","  ","18380","  ","10099","  ","10798","  ","122183","  ","10524","  ","10334","  ","11304","  ","9911","  ","9838","  ","9730","  ","9907","  ","9655","  ","9630","  ","10002","  ","10341","  ","11006","  ","117908","  ","10741","  ","10530","  ","10187","  ","9738","  ","9895","  ","9765","  ","9815","  ","9735","  ","9724","  ","9399","  ","8976","  ","9404","  ",
"Missouri","0","NA","14061","  ","14372","  ","0","NA","6871","  ","65349","  ","6125","  ","5585","  ","4939","  ","4527","  ","4376","  ","4716","  ","4605","  ","4632","  ","5088","  ","6697","  ","7017","  ","7044","  ","67115","  ","6596","  ","6185","  ","5043","  ","4605","  ","4569","  ","4573","  ","4412","  ","4848","  ","5350","  ","6564","  ","6959","  ","7413","  ",
"Montana","4039","  ","4032","  ","3850","  ","1911","  ","2128","  ","0","NA","2173","  ","2004","  ","1873","  ","1709","  ","0","NA","1438","  ","1550","  ","1667","  ","1666","  ","1787","  ","1857","  ","2176","  ","22084","  ","2291","  ","2198","  ","1962","  ","1637","  ","1486","  ","1565","  ","1600","  ","1817","  ","1678","  ","2001","  ","1765","  ","2086","  ",
"Nebraska","13222","  ","15040","  ","15073","  ","6256","  ","6966","  ","82326","  ","6885","  ","7553","  ","7056","  ","6257","  ","6832","  ","7440","  ","6209","  ","6534","  ","6370","  ","6148","  ","7417","  ","7624","  ","86878","  ","7637","  ","8652","  ","7581","  ","7105","  ","6786","  ","7145","  ","6523","  ","6736","  ","6431","  ","7210","  ","7185","  ","7888","  ",
"Nevada","2650","  ","2454","  ","2263","  ","1253","  ","1397","  ","0","NA","1200","  ","1233","  ","1182","  ","0","NA","0","NA","1165","  ","0","NA","0","NA","0","NA","0","NA","1125","  ","1329","  ","14324","  ","1393","  ","1358","  ","1313","  ","1217","  ","1159","  ","1068","  ","1144","  ","1109","  ","1116","  ","1187","  ","1054","  ","1209","  ",
"New Hampshire","0","NA","1682","  ","1698","  ","0","NA","856","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","836","  ","847","  ","8456","  ","826","  ","741","  ","628","  ","626","  ","563","  ","564","  ","648","  ","655","  ","743","  ","765","  ","838","  ","861","  ",
"New Jersey","11137","  ","12005","  ","11538","  ","4901","  ","6236","  ","55912","  ","4249","  ","4616","  ","4331","  ","4115","  ","3952","  ","4256","  ","4209","  ","4192","  ","4630","  ","5358","  ","5607","  ","6398","  ","61494","  ","5087","  ","5914","  ","4781","  ","4593","  ","4544","  ","5000","  ","4625","  ","4760","  ","4614","  ","6037","  ","5448","  ","6090","  ",
"New Mexico","3191","  ","3105","  ","3565","  ","1461","  ","1730","  ","17961","  ","1575","  ","1616","  ","1479","  ","1348","  ","1437","  ","1382","  ","1232","  ","1553","  ","1601","  ","1633","  ","1526","  ","1579","  ","18975","  ","1789","  ","1696","  ","1460","  ","1312","  ","1424","  ","1435","  ","1433","  ","1520","  ","1570","  ","1770","  ","1648","  ","1917","  ",
"New York","16437","  ","18699","  ","18793","  ","8294","  ","8144","  ","82581","  ","6662","  ","6620","  ","6203","  ","5562","  ","5770","  ","5249","  ","5333","  ","5738","  ","7291","  ","9455","  ","9373","  ","9325","  ","84255","  ","8066","  ","6942","  ","6048","  ","5652","  ","5393","  ","5448","  ","5395","  ","5892","  ","7366","  ","9260","  ","9286","  ","9507","  ",
"North Carolina","20595","  ","19784","  ","19882","  ","10075","  ","10520","  ","105096","  ","9049","  ","8911","  ","9044","  ","7974","  ","8154","  ","7854","  ","7793","  ","8131","  ","8545","  ","9856","  ","9374","  ","10410","  ","107904","  ","9794","  ","9441","  ","8957","  ","8149","  ","8256","  ","7936","  ","7913","  ","8344","  ","8893","  ","10339","  ","9703","  ","10179","  ",
"North Dakota","4930","  ","5303","  ","5106","  ","2227","  ","2703","  ","30958","  ","2324","  ","2885","  ","2883","  ","2646","  ","2463","  ","1954","  ","2397","  ","2773","  ","2455","  ","2875","  ","2627","  ","2676","  ","27762","  ","2202","  ","1998","  ","2091","  ","1442","  ","1877","  ","2605","  ","2538","  ","2354","  ","2736","  ","2811","  ","2444","  ","2662","  ",
"Ohio","58324","  ","62993","  ","62397","  ","27882","  ","30442","  ","279963","  ","23708","  ","22796","  ","20416","  ","18786","  ","19354","  ","19742","  ","19691","  ","20724","  ","23130","  ","28622","  ","31244","  ","31749","  ","303366","  ","27609","  ","24717","  ","23090","  ","22786","  ","22950","  ","22888","  ","22033","  ","21392","  ","24434","  ","29069","  ","30125","  ","32272","  ",
"Oklahoma","0","NA","35181","  ","33348","  ","0","NA","16775","  ","187080","  ","16204","  ","16551","  ","14917","  ","15155","  ","13036","  ","12322","  ","14494","  ","16520","  ","17147","  ","15554","  ","17971","  ","17210","  ","183929","  ","15663","  ","14132","  ","12648","  ","14698","  ","15355","  ","13402","  ","14112","  ","14687","  ","18770","  ","17115","  ","16758","  ","16590","  ",
"Oregon","10360","  ","9984","  ","10675","  ","4856","  ","5503","  ","54931","  ","5261","  ","4834","  ","4375","  ","4085","  ","4163","  ","4016","  ","4195","  ","4411","  ","4787","  ","4820","  ","4649","  ","5335","  ","56522","  ","5135","  ","4993","  ","4655","  ","4163","  ","4107","  ","3998","  ","4387","  ","4492","  ","4752","  ","5164","  ","5094","  ","5581","  ",
"Pennsylvania","47206","  ","47113","  ","44164","  ","23498","  ","23708","  ","239608","  ","20699","  ","19211","  ","18923","  ","17224","  ","17360","  ","17977","  ","18005","  ","19139","  ","19938","  ","24019","  ","23491","  ","23622","  ","237013","  ","22738","  ","21493","  ","17768","  ","16950","  ","16936","  ","18036","  ","17806","  ","18532","  ","20145","  ","22444","  ","21872","  ","22293","  ",
"Rhode Island","1529","  ","1572","  ","1499","  ","799","  ","730","  ","8751","  ","750","  ","704","  ","683","  ","694","  ","681","  ","658","  ","673","  ","709","  ","858","  ","769","  ","836","  ","737","  ","8008","  ","727","  ","660","  ","610","  ","545","  ","786","  ","664","  ","557","  ","499","  ","787","  ","673","  ","782","  ","717","  ",
"South Carolina","14994","  ","13617","  ","13573","  ","7191","  ","7803","  ","84172","  ","7873","  ","7342","  ","7238","  ","6616","  ","6718","  ","6642","  ","6645","  ","6835","  ","7063","  ","7584","  ","6068","  ","7548","  ","83330","  ","7532","  ","7321","  ","7146","  ","6553","  ","6702","  ","6672","  ","6565","  ","6869","  ","6951","  ","7447","  ","6762","  ","6811","  ",
"South Dakota","7977","  ","8074","  ","8237","  ","3866","  ","4111","  ","44683","  ","3907","  ","3849","  ","3452","  ","3469","  ","3566","  ","3541","  ","3613","  ","3582","  ","3791","  ","3838","  ","4001","  ","4073","  ","44205","  ","4014","  ","3942","  ","3525","  ","3421","  ","3463","  ","3359","  ","3417","  ","3503","  ","3600","  ","3725","  ","4079","  ","4158","  ",
"Tennessee","23312","  ","22766","  ","22373","  ","11147","  ","12165","  ","114351","  ","9813","  ","9248","  ","9162","  ","8683","  ","8743","  ","8573","  ","8785","  ","8590","  ","9260","  ","10728","  ","11453","  ","11312","  ","116882","  ","10591","  ","10235","  ","9441","  ","8952","  ","8985","  ","9000","  ","8705","  ","9014","  ","9241","  ","10346","  ","10749","  ","11624","  ",
"Texas","277475","  ","259246","  ","264872","  ","132333","  ","145142","  ","1567917","  ","141897","  ","134340","  ","128958","  ","125076","  ","132785","  ","130522","  ","126896","  ","131658","  ","126659","  ","129881","  ","122344","  ","136902","  ","1565269","  ","135611","  ","129398","  ","121276","  ","125459","  ","132984","  ","134145","  ","127787","  ","132176","  ","127751","  ","133811","  ","125803","  ","139069","  ",
"Utah","7242","  ","7154","  ","7558","  ","3634","  ","3608","R","37639","  ","3612","  ","3120","  ","2969","  ","2757","  ","2788","  ","2777","  ","3031","  ","3111","  ","3130","  ","3190","  ","3525","  ","3629","  ","38903","  ","3467","  ","3111","  ","2625","  ","3057","  ","2878","  ","3075","  ","3232","  ","3291","  ","3351","  ","3257","  ","3756","  ","3801","  ",
"Vermont","424","  ","392","  ","350","  ","204","  ","220","  ","2040","  ","188","  ","178","  ","188","  ","150","  ","153","  ","156","  ","137","  ","134","  ","158","  ","207","  ","176","  ","217","  ","1858","  ","185","  ","174","  ","154","  ","137","  ","131","  ","129","  ","132","  ","138","  ","141","  ","188","  ","174","  ","176","  ",
"Virginia","0","NA","14502","  ","14285","  ","7756","  ","0","NA","0","NA","7259","  ","7582","  ","7701","  ","6116","  ","7435","  ","7530","  ","7395","  ","7724","  ","0","NA","6672","  ","6875","  ","7627","  ","81040","  ","7033","  ","7063","  ","6686","  ","6240","  ","6820","  ","6056","  ","6467","  ","6540","  ","6788","  ","7062","  ","6908","  ","7376","  ",
"Washington","0","NA","13690","  ","14656","  ","6785","  ","0","NA","0","NA","0","NA","0","NA","6680","  ","5921","  ","5625","  ","5477","  ","5770","  ","6016","  ","6352","  ","6678","  ","6361","  ","7329","  ","79439","  ","7382","  ","7192","  ","6877","  ","6219","  ","6003","  ","6003","  ","5945","  ","5847","  ","6377","  ","6937","  ","7061","  ","7595","  ",
"West Virginia","5585","  ","5164","  ","5341","  ","2743","  ","2842","  ","0","NA","0","NA","2014","  ","1849","  ","1677","  ","1834","  ","1746","  ","1903","  ","1862","  ","2230","  ","2654","  ","2651","  ","2513","  ","27796","  ","2416","  ","2419","  ","2311","  ","1991","  ","2062","  ","1860","  ","2105","  ","2181","  ","2486","  ","2625","  ","2548","  ","2793","  ",
"Wisconsin","30145","  ","31185","  ","32452","  ","14197","  ","15948","R","136264","  ","12859","  ","12289","  ","10742","  ","9103","  ","9124","  ","8824","  ","8810","  ","9348","  ","10406","  ","13573","  ","15291","  ","15895","  ","141661","  ","14361","  ","14038","  ","11240","  ","9617","  ","8761","  ","8528","  ","8348","  ","9177","  ","11065","  ","14074","  ","15433","  ","17020","  ",
"Wyoming","9408","  ","8206","  ","8359","  ","4588","  ","4820","  ","48301","  ","4575","  ","4262","  ","3963","  ","3720","  ","3844","  ","3906","  ","3897","  ","3750","  ","4000","  ","4178","  ","3497","  ","4709","  ","47153","  ","4330","  ","4168","  ","4153","  ","3661","  ","3712","  ","3409","  ","3576","  ","3726","  ","3900","  ","4159","  ","4046","  ","4313","  ",
" Total","1390557","  ","1378176","  ","1377797","  ","668144","  ","722412","R","7508546","R","669085","  ","636538","  ","611555","  ","576712","  ","597340","  ","590889","  ","574422","  ","601226","R","609510","R","663093","  ","661789","  ","716387","  ","7623826","  ","688166","  ","657761","  ","608165","  ","589199","  ","606646","  ","603164","  ","584005","  ","604204","  ","625982","  ","678737","  ","657428","  ","720369","  ",
