"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","3.41","  ","3.71","  ","5.52","  ","3.27","  ","3.54","  ","3.82","  ","3.51","  ","3.37","  ","3.80","  ","4.14","  ","4.16","  ","4.16","  ","4.17","  ","3.93","  ","4.04","  ","3.81","  ","3.56","  ","3.87","  ","5.19","  ","4.95","  ","4.58","  ","4.85","  ","4.77","  ","4.95","  ","5.22","  ","5.55","  ","5.48","  ","5.17","  ","5.48","  ","6.26","  ","5.03","  ",
"Hawaii","10.73","  ","15.61","  ","26.12","  ","10.52","  ","10.93","  ","18.11","  ","14.81","  ","14.92","  ","14.59","  ","15.38","  ","17.72","  ","22.97","  ","25.54","  ","22.92","  ","19.95","  ","18.30","  ","17.90","  ","13.58","  ","26.94","  ","16.84","  ","22.38","  ","23.44","  ","28.91","  ","30.03","  ","29.61","  ","32.97","  ","30.54","  ","29.90","  ","27.54","  ","25.33","  ","26.81","  ",
"Idaho","3.32","  ","4.42","  ","3.97","  ","3.47","  ","3.20","  ","3.95","  ","3.34","  ","3.52","  ","3.75","  ","3.67","  ","4.50","  ","4.65","  ","3.99","  ","3.81","  ","3.42","  ","4.86","  ","4.66","  ","4.27","  ","4.29","  ","4.44","  ","4.37","  ","4.25","  ","4.30","  ","3.05","  ","5.03","  ","5.05","  ","4.69","  ","4.49","  ","4.55","  ","3.58","  ","4.28","  ",
"Illinois","2.98","  ","3.97","  ","6.98","  ","2.79","  ","3.12","  ","3.82","  ","3.43","  ","3.17","  ","3.61","  ","4.91","  ","4.75","  ","5.12","  ","4.09","  ","3.95","  ","3.54","  ","3.81","  ","4.06","  ","3.87","  ","6.28","  ","5.31","  ","4.72","  ","4.47","  ","4.95","  ","5.32","  ","5.55","  ","5.63","  ","5.20","  ","5.23","  ","8.22","  ","8.33","  ","5.87","  ",
"Indiana","3.26","  ","4.16","  ","6.29","  ","3.25","  ","3.26","  ","0.00","NA","3.52","  ","3.62","  ","0.00","NA","4.58","  ","4.82","  ","4.57","  ","4.61","  ","4.26","  ","3.55","  ","4.23","  ","4.09","  ","4.23","  ","5.63","  ","4.82","  ","4.78","  ","4.75","  ","5.08","  ","4.80","  ","5.53","  ","5.66","  ","5.57","  ","5.29","  ","6.12","  ","6.89","  ","5.80","  ",
"Iowa","3.64","  ","4.53","  ","6.33","  ","3.62","  ","3.65","  ","0.00","NA","3.79","  ","3.81","  ","3.58","  ","4.62","  ","4.61","  ","4.54","  ","0.00","NA","4.32","  ","4.12","  ","0.00","NA","4.26","  ","4.81","  ","6.24","  ","5.65","  ","5.03","  ","4.97","  ","6.24","  ","6.84","  ","6.98","  ","7.85","  ","7.03","  ","5.68","  ","7.73","  ","7.08","  ","5.70","  ",
"Kansas","3.39","  ","4.75","  ","5.30","  ","3.41","  ","3.38","  ","0.00","NA","3.55","  ","3.94","  ","5.53","  ","0.00","NA","0.00","NA","5.39","  ","0.00","NA","5.72","  ","3.64","  ","4.35","  ","4.25","  ","5.27","  ","6.10","  ","5.18","  ","6.24","  ","8.47","  ","7.51","  ","6.45","  ","7.00","  ","7.61","  ","7.45","  ","6.89","  ","6.72","  ","5.31","  ","5.29","  ",
"Kentucky","3.25","  ","0.00","NA","5.26","  ","3.26","  ","3.24","  ","0.00","NA","3.85","  ","3.21","  ","3.41","  ","3.34","  ","3.41","  ","3.44","  ","3.65","  ","3.78","  ","3.75","  ","4.24","  ","0.00","NA","4.48","  ","5.16","  ","4.97","  ","4.80","  ","4.75","  ","4.81","  ","4.70","  ","5.07","  ","5.22","  ","5.75","  ","5.45","  ","5.46","  ","5.65","  ","4.97","  ",
"Louisiana","3.05","  ","4.00","  ","5.44","  ","2.97","  ","3.11","  ","3.32","  ","2.95","  ","2.62","  ","2.95","  ","3.08","  ","3.28","  ","3.48","  ","3.22","  ","3.04","  ","3.08","  ","3.69","  ","3.86","  ","4.15","  ","4.90","  ","4.65","  ","4.49","  ","4.44","  ","4.33","  ","4.19","  ","4.64","  ","5.03","  ","5.09","  ","5.09","  ","5.38","  ","5.96","  ","5.05","  ",
"Maine","8.27","  ","11.31","  ","11.80","  ","8.85","  ","7.79","  ","0.00","NA","8.01","  ","7.52","  ","4.38","  ","5.52","  ","0.00","NA","9.76","  ","7.37","  ","7.25","  ","0.00","NA","9.28","  ","11.79","  ","10.83","  ","10.33","  ","12.28","  ","10.99","  ","4.25","  ","6.99","  ","6.72","  ","7.14","  ","7.69","  ","7.64","  ","9.39","  ","10.49","  ","10.28","  ","12.98","  ",
"Maryland","0.00","NA","5.12","  ","6.94","  ","3.52","  ","0.00","NA","4.99","  ","5.19","  ","4.26","  ","4.07","  ","7.19","  ","8.78","  ","7.38","  ","6.50","  ","5.79","  ","4.14","  ","4.40","  ","5.60","  ","4.61","  ","6.36","  ","5.68","  ","5.03","  ","5.76","  ","7.00","  ","7.77","  ","8.67","  ","8.30","  ","7.59","  ","6.23","  ","5.77","  ","6.53","  ","7.26","  ",
"Massachusetts","4.73","  ","6.44","  ","7.21","  ","4.30","  ","5.09","  ","0.00","NA","5.42","  ","4.42","  ","4.62","  ","7.59","  ","7.15","  ","7.30","  ","6.25","  ","6.74","  ","0.00","NA","4.96","  ","7.43","  ","5.44","  ","6.96","  ","6.25","  ","5.55","  ","5.90","  ","8.36","  ","8.90","  ","9.96","  ","9.36","  ","7.10","  ","6.84","  ","7.03","  ","6.81","  ","7.56","  ",
"Michigan","3.82","  ","4.59","  ","5.58","  ","3.84","  ","3.80","  ","4.22","  ","3.95","  ","3.81","  ","3.65","  ","3.60","  ","3.82","  ","3.82","  ","3.92","  ","3.71","  ","3.84","  ","4.38","  ","4.55","  ","4.63","  ","5.54","  ","5.04","  ","4.72","  ","4.65","  ","4.72","  ","4.78","  ","4.97","  ","5.09","  ","5.03","  ","5.25","  ","7.40","  ","6.18","  ","5.08","  ",
"Minnesota","3.54","  ","4.71","  ","7.23","  ","3.65","  ","3.43","  ","4.40","  ","3.65","  ","4.06","  ","3.51","  ","4.49","  ","4.52","  ","4.68","  ","4.49","  ","3.79","  ","3.83","  ","5.36","  ","4.69","  ","4.72","  ","6.56","  ","5.59","  ","5.27","  ","4.87","  ","5.68","  ","5.55","  ","6.36","  ","6.21","  ","5.43","  ","5.26","  ","9.10","  ","8.68","  ","5.91","  ",
"Mississippi","0.00","NA","3.99","  ","5.64","  ","0.00","NA","3.28","  ","0.00","NA","4.29","  ","0.00","NA","3.68","  ","3.64","  ","3.82","  ","3.81","  ","3.83","  ","3.64","  ","3.46","  ","0.00","NA","3.63","  ","4.37","  ","5.29","  ","5.19","  ","4.67","  ","4.85","  ","4.67","  ","4.69","  ","5.30","  ","5.58","  ","5.08","  ","6.11","  ","5.04","  ","6.49","  ","5.05","  ",
"Missouri","3.32","  ","4.34","  ","5.41","  ","3.36","  ","3.29","  ","4.65","  ","3.49","  ","3.86","  ","5.35","  ","6.75","  ","7.28","  ","7.38","  ","6.99","  ","6.52","  ","5.49","  ","4.52","  ","4.25","  ","4.43","  ","5.76","  ","5.11","  ","5.05","  ","6.26","  ","7.49","  ","7.85","  ","8.66","  ","8.55","  ","7.29","  ","6.29","  ","5.81","  ","5.86","  ","5.00","  ",
"Montana","3.32","  ","4.45","  ","5.11","  ","3.43","  ","3.23","  ","3.71","  ","3.25","  ","2.87","  ","3.28","  ","3.10","  ","3.36","  ","3.43","  ","3.24","  ","3.56","  ","3.44","  ","4.54","  ","4.34","  ","4.53","  ","5.03","  ","4.83","  ","4.03","  ","4.28","  ","5.02","  ","4.38","  ","6.44","  ","6.29","  ","6.71","  ","5.53","  ","5.32","  ","5.58","  ","4.58","  ",
"Nebraska","3.73","  ","4.69","  ","5.56","  ","3.87","  ","3.62","  ","0.00","NA","3.23","  ","3.83","  ","4.04","  ","4.68","  ","4.16","  ","4.11","  ","0.00","NA","4.71","  ","3.93","  ","4.87","  ","4.29","  ","5.08","  ","5.58","  ","4.99","  ","4.93","  ","4.69","  ","5.33","  ","5.16","  ","5.95","  ","6.32","  ","5.99","  ","5.40","  ","6.92","  ","6.01","  ","5.15","  ",
"Nevada","3.45","  ","4.61","  ","6.26","  ","3.56","  ","3.38","  ","4.06","  ","3.15","  ","3.57","  ","4.40","  ","4.38","  ","4.64","  ","4.53","  ","4.15","  ","3.89","  ","3.95","  ","4.70","  ","4.79","  ","4.49","  ","5.90","  ","5.19","  ","5.44","  ","5.55","  ","5.86","  ","5.56","  ","6.02","  ","6.03","  ","5.93","  ","6.38","  ","6.48","  ","7.16","  ","5.60","  ",
"New Hampshire","7.02","  ","10.36","  ","10.93","  ","7.03","  ","7.02","  ","0.00","NA","6.40","  ","4.34","  ","0.00","NA","5.90","  ","7.17","  ","7.87","  ","9.74","  ","5.52","  ","4.46","  ","6.46","  ","10.71","  ","10.03","  ","9.28","  ","9.97","  ","6.90","  ","5.64","  ","7.43","  ","7.76","  ","8.68","  ","9.63","  ","8.88","  ","5.58","  ","9.84","  ","12.70","  ","9.41","  ",
"New Jersey","3.99","  ","4.99","  ","6.94","  ","4.02","  ","3.97","  ","4.79","  ","4.27","  ","4.30","  ","4.37","  ","5.00","  ","4.84","  ","4.67","  ","4.78","  ","4.73","  ","4.48","  ","5.09","  ","5.34","  ","4.66","  ","6.21","  ","5.45","  ","5.36","  ","5.48","  ","5.84","  ","5.91","  ","6.23","  ","6.19","  ","5.82","  ","5.69","  ","6.38","  ","6.84","  ","7.02","  ",
"New Mexico","2.75","  ","3.59","  ","5.31","  ","2.80","  ","2.72","  ","0.00","NA","2.76","  ","0.00","NA","3.34","  ","3.57","  ","3.74","  ","3.64","  ","3.55","  ","3.17","  ","3.56","  ","3.77","  ","3.56","  ","3.62","  ","4.99","  ","4.66","  ","4.44","  ","4.82","  ","4.80","  ","4.67","  ","5.19","  ","5.14","  ","5.09","  ","4.93","  ","5.29","  ","5.86","  ","4.91","  ",
"New York","2.75","  ","4.13","  ","5.81","  ","2.88","  ","2.64","  ","4.14","  ","3.56","  ","3.49","  ","4.50","  ","7.03","  ","7.28","  ","7.23","  ","6.26","  ","5.72","  ","2.94","  ","3.19","  ","4.43","  ","3.84","  ","5.47","  ","4.27","  ","4.22","  ","5.23","  ","6.97","  ","7.16","  ","7.92","  ","7.87","  ","7.59","  ","5.87","  ","4.76","  ","5.50","  ","6.09","  ",
"North Carolina","2.60","  ","3.88","  ","5.45","  ","2.52","  ","2.67","  ","0.00","NA","3.10","  ","0.00","NA","3.88","  ","4.46","  ","4.68","  ","4.64","  ","4.62","  ","4.46","  ","4.05","  ","3.71","  ","3.87","  ","3.90","  ","5.41","  ","4.71","  ","4.60","  ","5.50","  ","6.09","  ","5.94","  ","6.64","  ","7.06","  ","6.78","  ","6.03","  ","5.43","  ","5.99","  ","5.04","  ",
"North Dakota","3.79","  ","4.90","  ","6.49","  ","3.84","  ","3.76","  ","4.46","  ","3.94","  ","4.16","  ","4.58","  ","5.00","  ","4.32","  ","3.56","  ","3.59","  ","3.46","  ","4.08","  ","4.85","  ","4.77","  ","5.03","  ","6.37","  ","5.97","  ","5.35","  ","5.60","  ","5.84","  ","5.97","  ","7.61","  ","7.47","  ","6.55","  ","5.95","  ","7.82","  ","8.12","  ","5.03","  ",
"Ohio","3.58","  ","4.81","  ","4.91","  ","3.55","  ","3.60","  ","4.49","  ","3.75","  ","3.45","  ","3.02","  ","2.34","  ","3.04","  ","3.24","  ","3.98","  ","4.21","  ","4.51","  ","4.79","  ","4.78","  ","4.83","  ","4.91","  ","4.96","  ","4.89","  ","4.89","  ","4.08","  ","4.51","  ","4.03","  ","4.83","  ","5.01","  ","5.28","  ","5.64","  ","5.55","  ","4.51","  ",
"Oklahoma","3.59","  ","4.79","  ","4.76","  ","3.68","  ","3.48","  ","4.59","  ","3.86","  ","4.22","  ","5.28","  ","5.45","  ","5.43","  ","5.17","  ","4.82","  ","4.23","  ","4.34","  ","4.46","  ","4.44","  ","5.21","  ","5.35","  ","4.95","  ","5.42","  ","6.27","  ","5.81","  ","6.25","  ","6.57","  ","6.33","  ","5.77","  ","5.64","  ","6.17","  ","4.94","  ","4.57","  ",
"Oregon","3.70","  ","4.74","  ","5.11","  ","3.79","  ","3.64","  ","4.65","  ","3.72","  ","3.92","  ","5.15","  ","5.19","  ","5.84","  ","6.30","  ","5.36","  ","5.37","  ","4.68","  ","4.83","  ","4.84","  ","4.67","  ","5.40","  ","4.81","  ","5.04","  ","5.72","  ","6.13","  ","6.77","  ","6.73","  ","6.08","  ","5.98","  ","5.47","  ","5.69","  ","5.49","  ","4.75","  ",
"Pennsylvania","3.28","  ","4.17","  ","5.54","  ","3.19","  ","3.35","  ","0.00","NA","4.15","  ","4.31","  ","0.00","NA","6.64","  ","6.67","  ","5.83","  ","6.04","  ","6.61","  ","4.11","  ","4.23","  ","4.04","  ","4.32","  ","5.59","  ","5.10","  ","4.67","  ","4.58","  ","6.04","  ","6.87","  ","6.36","  ","6.84","  ","6.77","  ","6.15","  ","6.13","  ","5.83","  ","5.31","  ",
"Rhode Island","2.23","  ","3.62","  ","4.14","  ","2.24","  ","2.23","  ","3.14","  ","2.22","  ","2.22","  ","2.24","  ","2.31","  ","2.41","  ","2.52","  ","2.66","  ","2.83","  ","3.09","  ","3.59","  ","3.63","  ","3.61","  ","4.03","  ","3.61","  ","3.61","  ","3.64","  ","3.79","  ","3.95","  ","4.11","  ","4.24","  ","4.34","  ","4.35","  ","4.28","  ","4.20","  ","4.09","  ",
"South Carolina","3.22","  ","4.13","  ","4.38","  ","3.13","  ","3.28","  ","3.90","  ","3.48","  ","3.20","  ","3.56","  ","4.01","  ","3.96","  ","3.97","  ","4.07","  ","4.09","  ","4.11","  ","4.11","  ","4.02","  ","4.23","  ","5.22","  ","5.00","  ","5.00","  ","5.43","  ","5.44","  ","4.87","  ","5.43","  ","5.95","  ","5.87","  ","5.84","  ","5.96","  ","3.18","  ","5.24","  ",
"South Dakota","3.65","  ","4.53","  ","6.40","  ","3.71","  ","3.61","  ","4.17","  ","3.72","  ","3.87","  ","3.84","  ","4.53","  ","4.55","  ","4.13","  ","3.83","  ","3.26","  ","3.72","  ","4.65","  ","4.43","  ","4.62","  ","6.14","  ","5.54","  ","4.97","  ","5.00","  ","5.54","  ","5.84","  ","7.03","  ","6.71","  ","5.62","  ","5.40","  ","8.28","  ","7.36","  ","5.52","  ",
"Tennessee","3.16","  ","4.24","  ","5.56","  ","3.09","  ","3.21","  ","4.06","  ","3.45","  ","3.49","  ","3.80","  ","4.03","  ","4.00","  ","4.12","  ","4.14","  ","4.60","  ","3.95","  ","4.32","  ","4.17","  ","4.30","  ","5.37","  ","4.66","  ","4.93","  ","5.16","  ","5.31","  ","5.45","  ","5.77","  ","5.79","  ","5.67","  ","5.60","  ","5.66","  ","6.01","  ","5.22","  ",
"Texas","3.82","  ","4.66","  ","5.93","  ","3.87","  ","3.79","  ","4.20","  ","4.38","  ","3.90","  ","4.17","  ","3.73","  ","3.86","  ","3.94","  ","3.71","  ","3.59","  ","3.75","  ","4.18","  ","4.32","  ","4.94","  ","5.77","  ","5.62","  ","5.81","  ","5.66","  ","5.02","  ","5.04","  ","5.37","  ","5.62","  ","5.65","  ","6.00","  ","6.53","  ","6.51","  ","5.45","  ",
"Utah","5.80","  ","6.53","  ","5.84","  ","6.05","  ","5.61","  ","5.70","  ","5.96","  ","4.84","  ","5.49","  ","4.18","  ","3.96","  ","4.34","  ","3.99","  ","5.69","  ","5.99","  ","6.40","  ","6.81","  ","6.35","  ","5.74","  ","6.78","  ","5.53","  ","5.89","  ","5.01","  ","4.79","  ","4.49","  ","4.46","  ","4.26","  ","5.65","  ","6.42","  ","5.90","  ","5.80","  ",
"Vermont","5.74","  ","6.71","  ","7.05","  ","5.98","  ","5.52","  ","0.00","NA","5.93","  ","5.08","  ","4.59","  ","5.96","  ","6.34","  ","6.39","  ","7.22","  ","0.00","NA","6.55","  ","6.62","  ","6.84","  ","6.59","  ","7.08","  ","6.62","  ","6.29","  ","6.13","  ","6.44","  ","6.61","  ","6.69","  ","7.33","  ","7.14","  ","7.12","  ","8.84","  ","8.03","  ","6.24","  ",
"Virginia","3.36","  ","4.95","  ","5.95","  ","3.31","  ","3.40","  ","4.87","  ","4.36","  ","4.07","  ","4.75","  ","5.78","  ","7.36","  ","7.00","  ","6.62","  ","6.69","  ","4.52","  ","4.01","  ","5.33","  ","4.56","  ","5.98","  ","5.24","  ","5.12","  ","6.59","  ","7.14","  ","7.82","  ","8.00","  ","7.97","  ","7.50","  ","6.09","  ","5.75","  ","6.53","  ","5.50","  ",
"Washington","3.39","  ","4.83","  ","5.26","  ","3.63","  ","3.21","  ","4.42","  ","3.46","  ","3.51","  ","4.25","  ","5.08","  ","5.84","  ","5.29","  ","5.24","  ","5.10","  ","4.19","  ","4.96","  ","4.89","  ","4.79","  ","5.82","  ","5.15","  ","5.38","  ","5.87","  ","6.89","  ","7.75","  ","7.88","  ","7.01","  ","6.91","  ","5.54","  ","6.63","  ","5.52","  ","5.02","  ",
"West Virginia","3.25","  ","4.08","  ","5.00","  ","3.38","  ","3.14","  ","4.00","  ","3.63","  ","3.57","  ","3.60","  ","4.77","  ","4.72","  ","5.37","  ","4.49","  ","4.06","  ","3.62","  ","3.99","  ","4.04","  ","4.13","  ","5.07","  ","4.80","  ","4.52","  ","4.46","  ","5.57","  ","5.75","  ","6.01","  ","6.09","  ","6.37","  ","5.18","  ","5.39","  ","5.38","  ","4.69","  ",
"Wisconsin","3.98","  ","4.88","  ","6.89","  ","3.92","  ","4.02","  ","4.71","  ","3.96","  ","4.21","  ","4.25","  ","5.61","  ","5.95","  ","5.68","  ","5.79","  ","4.47","  ","4.10","  ","4.98","  ","4.76","  ","5.01","  ","6.96","  ","5.90","  ","5.28","  ","5.56","  ","6.60","  ","7.28","  ","7.60","  ","8.44","  ","6.58","  ","6.11","  ","10.60","  ","8.19","  ","5.79","  ",
"Wyoming","3.68","  ","5.25","  ","5.32","  ","3.75","  ","3.62","  ","4.36","  ","3.89","  ","3.88","  ","4.09","  ","3.89","  ","3.50","  ","3.06","  ","3.55","  ","4.32","  ","4.31","  ","4.67","  ","4.95","  ","5.52","  ","5.27","  ","5.24","  ","4.59","  ","4.90","  ","5.07","  ","4.79","  ","5.45","  ","5.79","  ","5.37","  ","5.13","  ","6.08","  ","5.88","  ","4.77","  ",
" Total","3.45","  ","4.51","  ","5.94","  ","3.46","  ","3.44","  ","4.25","  ","3.76","  ","3.68","  ","4.00","  ","4.54","  ","4.58","  ","4.65","  ","4.43","  ","4.24","  ","3.93","  ","4.35","  ","4.54","  ","4.48","  ","5.71","  ","5.15","  ","4.91","  ","5.16","  ","5.51","  ","5.49","  ","5.99","  ","6.05","  ","5.90","  ","5.64","  ","6.57","  ","6.41","  ","5.56","  ",
