"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Hawaii","15.34","  ","19.21","  ","26.88","  ","14.45","  ","16.17","  ","18.81","  ","14.88","  ","17.47","  ","17.77","  ","18.87","  ","19.06","  ","21.32","  ","20.69","  ","19.45","  ","19.17","  ","18.44","  ","18.11","  ","20.01","  ","26.75","  ","23.01","  ","24.67","  ","26.68","  ","28.07","  ","28.68","  ","27.40","  ","28.06","  ","27.22","  ","26.96","  ","26.47","  ","27.21","  ","26.63","  ",
"Idaho","5.43","  ","6.15","  ","6.17","  ","5.46","  ","5.41","  ","5.82","  ","5.39","  ","4.92","  ","5.77","  ","5.93","  ","6.08","  ","6.09","  ","5.84","  ","5.86","  ","5.92","  ","6.01","  ","6.14","  ","6.15","  ","5.96","  ","6.11","  ","5.38","  ","5.93","  ","5.67","  ","6.01","  ","5.63","  ","6.14","  ","5.72","  ","5.88","  ","6.58","  ","6.17","  ","6.17","  ",
"Illinois","4.24","  ","5.45","  ","6.66","  ","4.37","  ","4.13","  ","5.36","  ","4.54","  ","4.48","  ","5.24","  ","6.00","  ","5.82","  ","6.32","  ","5.91","  ","5.53","  ","5.67","  ","5.60","  ","5.02","  ","5.88","  ","7.75","  ","6.64","  ","6.11","  ","6.32","  ","7.72","  ","11.94","  ","10.61","  ","9.49","  ","10.08","  ","11.32","  ","9.26","  ","7.00","  ","6.33","  ",
"Indiana","4.53","  ","6.97","  ","7.38","  ","4.81","  ","4.31","  ","6.29","  ","4.74","  ","4.36","  ","4.23","  ","5.15","  ","5.79","  ","6.22","  ","5.64","  ","6.07","  ","9.05","  ","7.11","  ","6.62","  ","7.44","  ","7.45","  ","7.36","  ","5.31","  ","6.02","  ","6.38","  ","7.53","  ","8.65","  ","6.80","  ","7.82","  ","9.05","  ","10.01","  ","7.10","  ","7.78","  ",
"Iowa","0.00","NA","5.84","  ","7.76","  ","0.00","NA","5.18","  ","0.00","NA","4.50","  ","5.14","  ","4.46","  ","0.00","NA","5.00","  ","5.32","  ","4.66","  ","4.65","  ","0.00","NA","5.54","  ","5.51","  ","6.25","  ","7.40","  ","6.73","  ","6.33","  ","6.50","  ","7.61","  ","7.80","  ","7.41","  ","8.44","  ","7.58","  ","7.71","  ","8.65","  ","8.55","  ","7.02","  ",
"Kansas","6.59","  ","6.53","  ","7.36","  ","6.37","  ","6.88","  ","4.37","  ","5.79","  ","4.76","  ","4.31","  ","4.02","  ","4.07","  ","4.12","  ","4.21","  ","4.30","  ","4.57","  ","5.93","  ","6.00","  ","7.20","  ","5.70","  ","6.37","  ","5.72","  ","5.60","  ","5.11","  ","5.17","  ","5.62","  ","5.69","  ","5.81","  ","6.39","  ","7.76","  ","7.77","  ","6.97","  ",
"Kentucky","3.72","  ","5.23","  ","6.44","  ","3.64","  ","3.79","  ","4.36","  ","3.58","  ","3.44","  ","3.78","  ","3.86","  ","4.05","  ","4.24","  ","4.51","  ","4.19","  ","4.42","  ","5.11","  ","5.11","  ","5.35","  ","5.80","  ","5.80","  ","5.25","  ","5.50","  ","5.51","  ","5.19","  ","5.54","  ","5.76","  ","5.88","  ","5.70","  ","6.23","  ","7.02","  ","5.88","  ",
"Louisiana","2.53","  ","3.31","  ","5.32","  ","2.43","  ","2.63","  ","2.90","  ","2.35","  ","2.27","  ","2.72","  ","2.93","  ","3.15","  ","3.06","  ","3.07","  ","2.84","  ","2.85","  ","3.14","  ","3.17","  ","3.43","  ","4.68","  ","4.29","  ","4.18","  ","4.21","  ","4.19","  ","4.08","  ","4.53","  ","4.88","  ","4.97","  ","4.84","  ","5.16","  ","5.95","  ","4.74","  ",
"Maine","8.49","  ","15.21","  ","11.96","  ","8.52","  ","8.46","  ","0.00","NA","8.50","  ","8.20","  ","4.56","  ","4.72","  ","4.81","  ","4.68","  ","0.00","NA","5.50","  ","14.71","  ","15.12","  ","15.22","  ","15.21","  ","11.93","  ","14.34","  ","13.61","  ","9.01","  ","8.74","  ","9.69","  ","10.53","  ","10.30","  ","11.01","  ","13.58","  ","13.86","  ","12.73","  ","11.37","  ",
"Maryland","8.45","  ","9.85","  ","9.89","  ","8.53","  ","8.37","  ","0.00","NA","10.84","  ","10.90","  ","9.53","  ","8.76","  ","7.97","  ","0.00","NA","12.71","  ","10.17","  ","8.08","  ","8.81","  ","9.64","  ","10.06","  ","9.94","  ","11.02","  ","9.45","  ","10.41","  ","11.20","  ","11.04","  ","11.73","  ","10.14","  ","12.22","  ","9.76","  ","8.67","  ","10.46","  ","9.34","  ",
"Massachusetts","8.41","  ","11.42","  ","11.44","  ","8.50","  ","8.32","  ","9.34","  ","9.02","  ","7.41","  ","5.59","  ","6.34","  ","7.08","  ","6.64","  ","6.99","  ","8.85","  ","9.80","  ","9.73","  ","11.00","  ","11.90","  ","11.53","  ","11.98","  ","11.28","  ","8.45","  ","9.50","  ","9.88","  ","10.32","  ","10.21","  ","11.59","  ","13.53","  ","13.08","  ","11.68","  ","11.19","  ",
"Michigan","5.88","  ","7.02","  ","7.67","  ","5.98","  ","5.79","  ","6.59","  ","5.77","  ","5.70","  ","6.33","  ","6.66","  ","6.86","  ","6.44","  ","6.78","  ","6.58","  ","6.21","  ","6.70","  ","6.98","  ","7.06","  ","7.84","  ","7.41","  ","7.27","  ","7.60","  ","7.98","  ","8.11","  ","8.61","  ","8.14","  ","8.02","  ","7.44","  ","8.87","  ","8.19","  ","7.08","  ",
"Minnesota","4.35","  ","5.96","  ","6.30","  ","4.28","  ","4.43","  ","4.95","  ","4.31","  ","4.20","  ","4.31","  ","4.23","  ","4.76","  ","4.59","  ","4.70","  ","4.26","  ","4.62","  ","5.91","  ","5.93","  ","5.99","  ","6.57","  ","6.56","  ","5.66","  ","6.09","  ","6.01","  ","5.57","  ","6.14","  ","6.09","  ","6.28","  ","6.22","  ","10.04","  ","7.01","  ","5.69","  ",
"Mississippi","4.42","  ","5.75","  ","6.33","  ","4.39","  ","4.45","  ","4.69","  ","4.12","  ","4.26","  ","4.21","  ","4.46","  ","3.95","  ","4.49","  ","4.30","  ","4.40","  ","4.69","  ","5.80","  ","5.42","  ","6.08","  ","6.15","  ","6.26","  ","6.03","  ","6.08","  ","5.70","  ","6.18","  ","6.93","  ","6.86","  ","6.30","  ","5.58","  ","5.62","  ","6.30","  ","6.38","  ",
"Missouri","0.00","NA","7.94","  ","7.48","  ","0.00","NA","0.00","NA","7.75","  ","7.07","  ","7.12","  ","7.33","  ","8.14","  ","7.45","  ","8.06","  ","7.69","  ","7.50","  ","8.13","  ","7.97","  ","7.82","  ","8.06","  ","8.00","  ","8.36","  ","8.25","  ","7.99","  ","8.02","  ","8.11","  ","8.38","  ","8.39","  ","8.49","  ","8.43","  ","7.95","  ","7.39","  ","7.58","  ",
"Montana","5.97","  ","7.68","  ","7.20","  ","6.27","  ","5.71","  ","6.45","  ","5.47","  ","6.09","  ","5.79","  ","6.91","  ","5.86","  ","6.33","  ","4.83","  ","6.41","  ","6.91","  ","7.16","  ","7.29","  ","8.08","  ","7.99","  ","7.64","  ","7.84","  ","7.36","  ","7.83","  ","10.01","  ","10.23","  ","9.58","  ","10.34","  ","9.35","  ","8.61","  ","7.22","  ","7.17","  ",
"Nebraska","4.40","  ","4.65","  ","4.94","  ","4.35","  ","4.45","  ","4.61","  ","4.85","  ","4.09","  ","4.15","  ","4.32","  ","4.38","  ","4.31","  ","3.87","  ","4.18","  ","5.60","  ","5.45","  ","4.39","  ","4.90","  ","5.69","  ","6.43","  ","5.95","  ","5.98","  ","6.18","  ","5.98","  ","5.96","  ","4.87","  ","5.36","  ","6.26","  ","6.18","  ","4.51","  ","5.37","  ",
"Nevada","6.58","  ","8.11","  ","7.06","  ","6.67","  ","6.52","  ","0.00","NA","6.64","  ","0.00","NA","8.66","  ","8.63","  ","8.21","  ","8.76","  ","9.24","  ","9.11","  ","8.76","  ","8.37","  ","8.31","  ","7.99","  ","7.83","  ","7.84","  ","8.31","  ","8.54","  ","8.48","  ","8.86","  ","8.60","  ","7.66","  ","7.52","  ","7.39","  ","7.64","  ","7.28","  ","6.89","  ",
"New Hampshire","7.30","  ","10.40","  ","9.91","  ","7.03","  ","7.53","  ","8.10","  ","7.74","  ","5.91","  ","4.30","  ","4.00","  ","4.75","  ","4.81","  ","5.62","  ","6.52","  ","8.54","  ","9.49","  ","9.79","  ","11.08","  ","9.46","  ","8.74","  ","7.31","  ","6.25","  ","7.76","  ","8.62","  ","8.60","  ","9.90","  ","11.13","  ","12.00","  ","10.57","  ","10.26","  ","9.64","  ",
"New Jersey","7.19","  ","8.96","  ","10.88","  ","7.10","  ","7.31","  ","0.00","NA","7.92","  ","7.46","  ","7.72","  ","8.75","  ","9.21","  ","8.62","  ","8.56","  ","0.00","NA","8.28","  ","8.22","  ","8.69","  ","9.27","  ","10.45","  ","9.99","  ","10.22","  ","8.33","  ","10.27","  ","11.68","  ","10.88","  ","10.41","  ","9.25","  ","9.93","  ","10.82","  ","11.70","  ","10.06","  ",
"New Mexico","0.00","NA","5.91","  ","6.35","  ","0.00","NA","5.69","  ","4.95","  ","4.56","  ","4.93","  ","5.03","  ","5.03","  ","4.93","  ","4.86","  ","4.76","  ","4.40","  ","4.85","  ","5.28","  ","5.43","  ","6.26","  ","6.45","  ","6.33","  ","6.40","  ","6.56","  ","6.23","  ","6.32","  ","6.51","  ","6.52","  ","6.31","  ","6.74","  ","6.99","  ","6.76","  ","6.08","  ",
"New York","6.50","  ","7.32","  ","8.35","  ","6.51","  ","6.49","  ","0.00","NA","6.36","  ","6.10","  ","5.66","  ","5.91","  ","5.41","  ","5.95","  ","6.19","  ","0.00","NA","7.55","  ","7.32","  ","7.15","  ","7.54","  ","8.13","  ","7.19","  ","7.03","  ","6.71","  ","6.75","  ","7.48","  ","7.93","  ","8.10","  ","8.66","  ","8.68","  ","9.38","  ","8.64","  ","8.01","  ",
"North Carolina","5.38","  ","6.57","  ","7.82","  ","5.51","  ","5.25","  ","6.03","  ","5.70","  ","5.57","  ","5.86","  ","5.96","  ","5.70","  ","5.78","  ","5.67","  ","5.51","  ","5.93","  ","6.50","  ","6.28","  ","6.86","  ","7.55","  ","7.42","  ","7.02","  ","7.66","  ","7.64","  ","7.51","  ","7.31","  ","7.35","  ","7.72","  ","7.54","  ","7.58","  ","8.02","  ","7.62","  ",
"North Dakota","2.59","  ","3.89","  ","6.21","  ","2.83","  ","2.43","  ","3.14","  ","2.88","  ","2.58","  ","2.76","  ","2.81","  ","2.96","  ","3.12","  ","2.90","  ","2.82","  ","3.02","  ","3.78","  ","3.87","  ","3.92","  ","5.61","  ","5.50","  ","4.90","  ","4.44","  ","5.68","  ","4.11","  ","4.43","  ","4.57","  ","4.76","  ","5.00","  ","9.44","  ","7.48","  ","5.07","  ",
"Ohio","5.21","  ","6.38","  ","6.72","  ","5.11","  ","5.31","  ","0.00","NA","5.55","  ","5.64","  ","6.68","  ","0.00","NA","7.26","  ","6.43","  ","8.63","  ","6.81","  ","6.29","  ","6.23","  ","6.48","  ","6.27","  ","7.06","  ","6.95","  ","7.07","  ","7.30","  ","8.10","  ","7.18","  ","7.03","  ","8.56","  ","8.11","  ","7.36","  ","6.91","  ","7.37","  ","6.11","  ",
"Oklahoma","6.72","  ","7.35","  ","6.50","  ","5.25","  ","9.63","  ","0.00","NA","6.04","  ","7.72","  ","9.67","  ","0.00","NA","8.56","  ","0.00","NA","8.75","  ","6.16","  ","9.19","  ","6.42","  ","7.23","  ","7.44","  ","8.27","  ","5.12","  ","8.60","  ","14.42","  ","11.01","  ","9.74","  ","8.88","  ","22.67","  ","15.02","  ","7.97","  ","10.16","  ","6.30","  ","6.68","  ",
"Oregon","5.54","  ","6.80","  ","5.98","  ","5.59","  ","5.50","  ","6.38","  ","5.59","  ","5.67","  ","6.51","  ","6.47","  ","6.49","  ","6.39","  ","6.34","  ","6.38","  ","6.34","  ","6.75","  ","6.82","  ","6.79","  ","6.20","  ","6.73","  ","6.65","  ","6.13","  ","6.34","  ","6.35","  ","6.16","  ","6.09","  ","6.01","  ","6.02","  ","5.97","  ","5.96","  ","6.00","  ",
"Pennsylvania","7.43","  ","9.51","  ","9.73","  ","7.31","  ","7.58","  ","9.21","  ","8.18","  ","9.10","  ","9.59","  ","10.34","  ","11.12","  ","10.81","  ","10.96","  ","10.30","  ","8.86","  ","8.43","  ","9.62","  ","9.39","  ","9.95","  ","8.92","  ","9.16","  ","11.22","  ","10.46","  ","10.82","  ","10.15","  ","10.70","  ","10.32","  ","9.89","  ","11.17","  ","9.47","  ","10.02","  ",
"Rhode Island","8.52","  ","9.06","  ","8.82","  ","8.44","  ","8.61","  ","9.26","  ","8.22","  ","9.48","  ","9.92","  ","9.79","  ","10.09","  ","9.61","  ","9.38","  ","9.75","  ","9.20","  ","9.00","  ","9.01","  ","9.12","  ","10.27","  ","9.28","  ","10.76","  ","11.94","  ","11.41","  ","11.53","  ","12.68","  ","10.71","  ","11.39","  ","9.42","  ","9.09","  ","8.87","  ","8.76","  ",
"South Carolina","4.52","  ","5.53","  ","7.16","  ","4.22","  ","4.84","  ","4.39","  ","4.01","  ","3.86","  ","4.03","  ","4.13","  ","4.46","  ","4.22","  ","4.31","  ","3.96","  ","4.11","  ","4.68","  ","5.65","  ","5.45","  ","6.13","  ","6.07","  ","5.58","  ","5.38","  ","5.45","  ","5.24","  ","5.89","  ","6.15","  ","6.32","  ","6.24","  ","6.76","  ","7.40","  ","6.87","  ",
"South Dakota","4.19","  ","5.39","  ","6.57","  ","4.02","  ","4.34","  ","4.98","  ","4.25","  ","4.25","  ","4.78","  ","5.63","  ","5.34","  ","5.33","  ","4.79","  ","5.13","  ","5.05","  ","4.95","  ","5.14","  ","5.63","  ","6.88","  ","5.94","  ","5.71","  ","6.70","  ","7.08","  ","7.55","  ","7.59","  ","7.25","  ","6.79","  ","7.83","  ","8.55","  ","6.97","  ","6.10","  ",
"Tennessee","4.55","  ","5.67","  ","6.76","  ","4.59","  ","4.52","  ","4.89","  ","4.45","  ","4.34","  ","4.32","  ","4.49","  ","4.65","  ","4.66","  ","4.76","  ","4.69","  ","4.84","  ","5.52","  ","5.58","  ","5.78","  ","6.31","  ","6.37","  ","5.76","  ","5.68","  ","5.54","  ","5.55","  ","6.04","  ","6.41","  ","6.61","  ","6.63","  ","6.98","  ","7.15","  ","6.42","  ",
"Texas","2.39","  ","3.25","  ","5.14","  ","2.37","  ","2.40","  ","2.90","  ","2.39","  ","2.29","  ","2.78","  ","2.96","  ","3.14","  ","3.08","  ","3.05","  ","2.82","  ","2.88","  ","3.01","  ","3.11","  ","3.38","  ","4.71","  ","4.51","  ","3.98","  ","4.26","  ","4.36","  ","4.37","  ","4.91","  ","4.82","  ","5.03","  ","4.87","  ","5.05","  ","5.69","  ","4.64","  ",
"Utah","6.21","  ","6.65","  ","5.95","  ","6.40","  ","6.04","  ","5.89","  ","5.98","  ","5.31","  ","5.21","  ","5.27","  ","5.29","  ","5.17","  ","5.69","  ","5.90","  ","6.47","  ","6.68","  ","6.70","  ","6.61","  ","5.83","  ","6.49","  ","5.65","  ","5.49","  ","5.51","  ","5.72","  ","5.78","  ","5.50","  ","5.45","  ","6.26","  ","6.36","  ","6.05","  ","5.84","  ",
"Vermont","5.16","  ","5.95","  ","6.91","  ","5.17","  ","5.14","  ","5.50","  ","5.81","  ","5.42","  ","5.58","  ","4.65","  ","4.53","  ","5.90","  ","5.17","  ","5.23","  ","5.29","  ","5.98","  ","6.25","  ","5.70","  ","6.63","  ","6.37","  ","5.90","  ","5.86","  ","5.58","  ","5.48","  ","5.97","  ","6.42","  ","6.10","  ","6.10","  ","10.64","  ","6.93","  ","6.90","  ",
"Virginia","4.38","  ","0.00","NA","6.23","  ","4.23","  ","4.53","  ","0.00","NA","4.49","  ","3.95","  ","4.22","  ","4.86","  ","5.41","  ","4.81","  ","5.08","  ","5.34","  ","5.16","  ","5.31","  ","0.00","NA","5.77","  ","6.43","  ","6.29","  ","6.16","  ","6.48","  ","6.33","  ","6.27","  ","6.74","  ","6.45","  ","6.59","  ","6.84","  ","6.85","  ","6.48","  ","5.97","  ",
"Washington","7.46","  ","9.17","  ","8.59","  ","7.66","  ","7.31","  ","8.71","  ","7.27","  ","7.87","  ","8.48","  ","8.87","  ","8.94","  ","9.45","  ","9.11","  ","8.97","  ","9.28","  ","8.73","  ","9.21","  ","9.14","  ","8.55","  ","9.06","  ","8.73","  ","8.38","  ","8.42","  ","8.44","  ","8.49","  ","8.44","  ","8.36","  ","8.26","  ","8.51","  ","8.55","  ","8.63","  ",
"West Virginia","3.08","  ","4.80","  ","4.92","  ","3.20","  ","2.95","  ","0.00","NA","3.51","  ","0.00","NA","4.37","  ","4.34","  ","4.39","  ","4.38","  ","4.32","  ","4.29","  ","4.48","  ","4.74","  ","4.58","  ","5.15","  ","5.00","  ","5.00","  ","5.24","  ","5.13","  ","5.27","  ","5.13","  ","5.35","  ","4.58","  ","4.50","  ","4.69","  ","5.03","  ","5.19","  ","4.56","  ",
"Wisconsin","5.62","  ","6.72","  ","7.65","  ","5.46","  ","5.75","R","0.00","NA","5.43","  ","5.37","  ","4.69","  ","4.56","  ","4.91","  ","4.54","  ","5.07","  ","4.42","  ","0.00","NA","6.40","  ","6.66","  ","6.78","  ","8.08","  ","7.59","  ","6.98","  ","6.30","  ","6.93","  ","6.52","  ","7.37","  ","6.72","  ","10.57","  ","8.98","  ","11.91","  ","8.09","  ","7.24","  ",
"Wyoming","3.90","  ","5.60","  ","5.42","  ","3.83","  ","3.97","  ","0.00","NA","0.00","NA","5.06","  ","4.93","  ","4.85","  ","4.85","  ","4.72","  ","5.30","  ","5.12","  ","5.47","  ","5.28","  ","5.51","  ","5.80","  ","5.89","  ","5.00","  ","5.74","  ","5.30","  ","5.74","  ","6.15","  ","6.01","  ","6.08","  ","6.08","  ","7.04","  ","6.52","  ","5.51","  ","5.37","  ",
" Total","3.51","  ","4.68","  ","6.09","  ","3.54","  ","3.49","R","3.84","  ","3.38","  ","3.18","  ","3.45","  ","3.58","  ","3.73","  ","3.67","  ","3.69","  ","3.49","R","3.86","  ","4.35","  ","4.60","  ","4.76","  ","5.55","  ","5.54","  ","4.97","  ","4.97","  ","4.96","  ","4.90","  ","5.36","  ","5.42","  ","5.69","  ","5.78","  ","6.39","  ","6.58","  ","5.62","  ",
