"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","146703","  ","155878","  ","135209","  ","67395","  ","79308","  ","683796","  ","56505","  ","55858","  ","52445","  ","49172","  ","54742","  ","58820","  ","52141","  ","48114","  ","43137","  ","56984","  ","75688","  ","80190","  ","645253","  ","64386","  ","63780","  ","51897","  ","46991","  ","51307","  ","47680","  ","45029","  ","42662","  ","41682","  ","54632","  ","54590","  ","80618","  ",
"Hawaii","506","  ","515","  ","514","  ","247","  ","259","  ","2929","  ","251","  ","228","  ","240","  ","233","  ","240","  ","243","  ","245","  ","228","  ","254","  ","252","  ","237","  ","278","  ","2927","  ","252","  ","228","  ","234","  ","233","  ","241","  ","246","  ","241","  ","240","  ","252","  ","245","  ","242","  ","272","  ",
"Idaho","24846","  ","19112","  ","23027","  ","11067","  ","13779","  ","98782","  ","13715","  ","11261","  ","7606","  ","6838","  ","7016","  ","6426","  ","7027","  ","6398","  ","6506","  ","6876","  ","7365","  ","11746","  ","87647","  ","10149","  ","9743","  ","5944","  ","5890","  ","5943","  ","5361","  ","4216","  ","4645","  ","5578","  ","7148","  ","10342","  ","12685","  ",
"Illinois","279714","  ","315234","  ","337952","  ","128292","  ","151423","  ","0","NA","107844","  ","0","NA","57973","  ","43969","  ","42537","  ","45724","  ","42648","  ","47454","  ","68229","  ","112415","  ","158539","  ","156696","  ","1062377","  ","124735","  ","114914","  ","63725","  ","44930","  ","42195","  ","40077","  ","41929","  ","53185","  ","71874","  ","126861","  ","152556","  ","185396","  ",
"Indiana","171848","  ","190055","  ","186014","  ","79178","  ","92671","  ","712946","  ","72031","  ","59575","  ","48080","  ","39873","  ","43297","  ","43339","  ","41553","  ","45360","  ","52030","  ","77753","  ","95977","  ","94078","  ","703637","  ","76696","  ","73174","  ","48686","  ","39584","  ","39604","  ","38307","  ","37047","  ","42226","  ","47472","  ","74828","  ","85009","  ","101005","  ",
"Iowa","74434","  ","79378","  ","83378","  ","34191","  ","40243","  ","0","NA","32191","  ","0","NA","21170","  ","17814","  ","18504","  ","19248","  ","18170","  ","19172","R","21424","  ","29888","  ","39737","  ","39641","  ","317784","  ","35039","  ","33162","  ","22429","  ","16333","  ","17187","  ","17079","  ","17304","  ","19677","  ","23227","  ","32968","  ","38486","  ","44892","  ",
"Kansas","54361","  ","57243","  ","64939","  ","23125","  ","31236","  ","0","NA","24751","  ","0","NA","12195","  ","11628","  ","0","NA","17191","  ","11903","  ","0","NA","0","NA","0","NA","27020","  ","30223","  ","246547","  ","27804","  ","24333","  ","13849","  ","12402","  ","15519","  ","15416","  ","13069","  ","15871","  ","18022","  ","25324","  ","30468","  ","34471","  ",
"Kentucky","63745","  ","67834","  ","70864","  ","28747","  ","34998","  ","249968","  ","22413","  ","21975","  ","18190","  ","15333","  ","15592","  ","16787","  ","14156","  ","14767","  ","17503","  ","25417","  ","35629","  ","32205","  ","241151","  ","25899","  ","24308","  ","14034","  ","11678","  ","11687","  ","11908","  ","11833","  ","13274","  ","18110","  ","27557","  ","31056","  ","39807","  ",
"Louisiana","244536","  ","227418","  ","231666","  ","114582","  ","129954","  ","1361733","  ","123498","  ","116396","  ","112861","  ","109098","  ","117825","  ","117378","  ","113026","  ","111376","  ","105289","  ","107567","  ","108643","  ","118775","  ","1325708","  ","108828","  ","109332","  ","106734","  ","103311","  ","115931","  ","110324","  ","108235","  ","112544","  ","108892","  ","109912","  ","107586","  ","124079","  ",
"Maine","0","NA","0","NA","11946","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","59362","  ","4819","  ","5058","  ","3504","  ","3555","  ","4207","  ","6355","  ","5375","  ","4072","  ","4885","  ","5586","  ","5104","  ","6842","  ",
"Maryland","57823","  ","65797","  ","61883","  ","26762","  ","31061","  ","205407","  ","18593","  ","16455","  ","12704","  ","9762","  ","10397","  ","12233","  ","10059","  ","10729","  ","13599","  ","25079","  ","33283","  ","32515","  ","201199","  ","24996","  ","20208","  ","10357","  ","8058","  ","9006","  ","8870","  ","8292","  ","10203","  ","13065","  ","26260","  ","27788","  ","34095","  ",
"Massachusetts","99923","  ","114500","  ","102043","  ","46930","  ","52994","R","434781","  ","36395","  ","31148","  ","29699","  ","25692","  ","31673","  ","31404","  ","24447","  ","27028","  ","33435","  ","49361","  ","57348","  ","57152","  ","412268","  ","41225","  ","34514","  ","27796","  ","23087","  ","25082","  ","26384","  ","22298","  ","26983","  ","37872","  ","44983","  ","48034","  ","54009","  ",
"Michigan","229104","  ","269706","  ","260402","  ","109809","  ","119295","  ","0","NA","87181","  ","71432","  ","55280","  ","38018","  ","37730","  ","39804","  ","37619","  ","0","NA","62178","  ","100839","  ","136861","  ","132844","  ","824527","  ","95114","  ","85516","  ","51877","  ","33659","  ","31192","  ","28229","  ","31211","  ","40905","  ","61031","  ","105390","  ","121081","  ","139320","  ",
"Minnesota","0","NA","120502","  ","129534","  ","0","NA","0","NA","0","NA","0","NA","35845","  ","27097","  ","22872","  ","22087","  ","22461","  ","20434","  ","21244","  ","32629","  ","0","NA","60949","  ","59554","  ","460653","  ","57952","  ","49106","  ","31193","  ","20897","  ","21243","  ","18756","  ","20624","  ","25130","  ","35137","  ","51080","  ","59243","  ","70292","  ",
"Mississippi","96318","  ","94804","  ","76710","  ","46318","  ","50000","  ","0","NA","40203","  ","0","NA","37302","  ","0","NA","43498","  ","45832","  ","43504","  ","37493","  ","31835","  ","41820","  ","48491","  ","46313","  ","390396","  ","37062","  ","31046","  ","31494","  ","30405","  ","34743","  ","30813","  ","31346","  ","31385","  ","23992","  ","31399","  ","33758","  ","42951","  ",
"Missouri","0","NA","86972","  ","93534","  ","0","NA","42639","  ","271116","  ","30729","  ","21864","  ","13729","  ","12195","  ","14233","  ","15028","  ","12825","  ","11717","  ","18800","  ","33023","  ","44585","  ","42387","  ","290421","  ","34790","  ","28602","  ","16853","  ","12180","  ","12974","  ","12615","  ","11152","  ","13677","  ","20240","  ","33803","  ","43763","  ","49771","  ",
"Montana","16918","  ","16339","  ","18681","  ","7453","  ","9465","  ","0","NA","9316","  ","7811","  ","4787","  ","3662","  ","0","NA","3334","  ","3235","  ","4032","  ","0","NA","6327","  ","7056","  ","9283","  ","71435","  ","9281","  ","8492","  ","4910","  ","3693","  ","3223","  ","3014","  ","3158","  ","4094","  ","5160","  ","7728","  ","9473","  ","9208","  ",
"Nebraska","34603","  ","38719","  ","41466","  ","15446","  ","19157","  ","149107","  ","16498","  ","13194","  ","9672","  ","8366","  ","9420","  ","10715","  ","9078","  ","9453","  ","10561","  ","13430","  ","19005","  ","19714","  ","165620","  ","18917","  ","17125","  ","11124","  ","9346","  ","9316","  ","9616","  ","8873","  ","10840","  ","12184","  ","16810","  ","19708","  ","21759","  ",
"Nevada","56442","  ","46473","  ","43013","  ","24686","  ","31756","  ","0","NA","30673","  ","23835","  ","22739","  ","0","NA","0","NA","24653","  ","0","NA","0","NA","0","NA","0","NA","21412","  ","25061","  ","247182","  ","24151","  ","20049","  ","20909","  ","22533","  ","22889","  ","24059","  ","18633","  ","17282","  ","17139","  ","16524","  ","19600","  ","23413","  ",
"New Hampshire","0","NA","14598","  ","8446","  ","0","NA","5978","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","6577","  ","8021","  ","56936","  ","6177","  ","4520","  ","4953","  ","4409","  ","4217","  ","4897","  ","4007","  ","4669","  ","5292","  ","5348","  ","3831","  ","4615","  ",
"New Jersey","180245","  ","204419","  ","196682","  ","82591","  ","97654","  ","0","NA","63409","  ","56474","  ","0","NA","0","NA","46180","  ","47857","  ","41966","  ","0","NA","59365","  ","92180","  ","102899","  ","101520","  ","757130","  ","83161","  ","70870","  ","45260","  ","42720","  ","42952","  ","48276","  ","43382","  ","44234","  ","52212","  ","87382","  ","94308","  ","102374","  ",
"New Mexico","34408","  ","34110","  ","31611","  ","15207","  ","19201","  ","156429","  ","19223","  ","14369","  ","10795","  ","10219","  ","12236","  ","11371","  ","10551","  ","9056","  ","10919","  ","13581","  ","15431","  ","18679","  ","152942","  ","18003","  ","14705","  ","9644","  ","9204","  ","12011","  ","11160","  ","10719","  ","10818","  ","11514","  ","13554","  ","13930","  ","17681","  ",
"New York","313355","  ","367088","  ","332415","  ","147258","  ","166096","R","1322592","  ","110327","  ","97953","  ","85452","  ","78673","  ","85379","  ","84207","  ","71555","  ","80348","  ","97863","  ","163745","  ","183131","  ","183957","  ","1319852","  ","144249","  ","116464","  ","75877","  ","75230","  ","77164","  ","81098","  ","75775","  ","83618","  ","100360","  ","157602","  ","161193","  ","171222","  ",
"North Carolina","116401","  ","115629","  ","95546","  ","55952","  ","60449","  ","0","NA","0","NA","43008","  ","35342","  ","35685","  ","0","NA","37432","  ","38346","  ","35890","  ","34202","  ","0","NA","57817","  ","57812","  ","449335","  ","50727","  ","42746","  ","27094","  ","31723","  ","32463","  ","32782","  ","32607","  ","29459","  ","30791","  ","43398","  ","37504","  ","58042","  ",
"North Dakota","13011","  ","13915","  ","14120","  ","5807","  ","7203","  ","55321","  ","5845","  ","5168","  ","4063","  ","3600","  ","3396","  ","2929","  ","2918","  ","3806","  ","4018","  ","5662","  ","6940","  ","6974","  ","54307","  ","5889","  ","5501","  ","3485","  ","2151","  ","2354","  ","3107","  ","3140","  ","3545","  ","4714","  ","6299","  ","6854","  ","7266","  ",
"Ohio","249053","  ","290887","  ","288240","  ","114778","  ","134276","  ","949865","  ","88545","  ","74007","  ","55863","  ","46019","  ","48583","  ","50025","  ","49400","  ","53072","  ","71920","  ","121545","  ","146779","  ","144108","  ","982855","  ","113777","  ","85969","  ","55558","  ","51567","  ","51649","  ","48989","  ","48672","  ","51914","  ","66763","  ","119757","  ","133084","  ","155156","  ",
"Oklahoma","0","NA","116153","  ","120460","  ","0","NA","55937","  ","544200","  ","50354","  ","42019","  ","34185","  ","38010","  ","43618","  ","45577","  ","40117","  ","38046","  ","42615","  ","53506","  ","58825","  ","57328","  ","508363","  ","46355","  ","32369","  ","30698","  ","32993","  ","44056","  ","37366","  ","34275","  ","34290","  ","46275","  ","49227","  ","60276","  ","60184","  ",
"Oregon","49605","  ","39116","  ","55743","  ","22360","  ","27245","  ","233523","  ","28283","  ","25529","  ","18493","  ","18287","  ","17582","  ","17872","  ","16776","  ","16048","  ","18591","  ","16946","  ","15369","  ","23747","  ","216365","  ","24221","  ","23342","  ","17779","  ","17283","  ","16726","  ","14062","  ","9355","  ","9994","  ","12466","  ","15394","  ","26360","  ","29383","  ",
"Pennsylvania","253386","  ","266907","  ","250954","  ","119940","  ","133446","  ","1078193","  ","96515","  ","87069","  ","78980","  ","67203","  ","73764","  ","74666","  ","67354","  ","64067","  ","82728","  ","118940","  ","133045","  ","133862","  ","1042647","  ","115343","  ","91861","  ","75633","  ","64908","  ","66788","  ","68309","  ","63880","  ","62540","  ","70318","  ","112111","  ","117229","  ","133725","  ",
"Rhode Island","16597","  ","18413","  ","16948","  ","7986","  ","8611","  ","90207","  ","6847","  ","7643","  ","6216","  ","4837","  ","8371","  ","8254","  ","7601","  ","7388","  ","5576","  ","9060","  ","9013","  ","9400","  ","85849","  ","7963","  ","6626","  ","5751","  ","6708","  ","7094","  ","7250","  ","6483","  ","5308","  ","8264","  ","7455","  ","7646","  ","9302","  ",
"South Carolina","51664","  ","49058","  ","45079","  ","23581","  ","28082","  ","270546","  ","24364","  ","25780","  ","22863","  ","20307","  ","22303","  ","23407","  ","22958","  ","18944","  ","19358","  ","21203","  ","23838","  ","25221","  ","229454","  ","21664","  ","20489","  ","16088","  ","15154","  ","17791","  ","18628","  ","16933","  ","18017","  ","17971","  ","21640","  ","19069","  ","26011","  ",
"South Dakota","16568","  ","17286","  ","17799","  ","7556","  ","9012","  ","73755","  ","8123","  ","6660","  ","4893","  ","4529","  ","5045","  ","5249","  ","4980","  ","5153","  ","5562","  ","6273","  ","8428","  ","8858","  ","73917","  ","8376","  ","7600","  ","5024","  ","4196","  ","4589","  ","4477","  ","4154","  ","4882","  ","5669","  ","7151","  ","8525","  ","9274","  ",
"Tennessee","81946","  ","90525","  ","84647","  ","37150","  ","44796","  ","306194","  ","29015","  ","24268","  ","18807","  ","18246","  ","17907","  ","19267","  ","19192","  ","19198","  ","19944","  ","29823","  ","47524","  ","43001","  ","297814","  ","33696","  ","28839","  ","17679","  ","15991","  ","17554","  ","16901","  ","17213","  ","18012","  ","18664","  ","28617","  ","35511","  ","49136","  ",
"Texas","624163","  ","638430","  ","621472","  ","290730","  ","333433","  ","3589916","  ","307656","  ","267183","  ","276726","  ","291178","  ","332621","  ","329042","  ","291031","  ","272902","  ","269409","  ","313738","  ","295639","  ","342791","  ","3415789","  ","295687","  ","259502","  ","257979","  ","277262","  ","321062","  ","303275","  ","278265","  ","264857","  ","258348","  ","278080","  ","290091","  ","331381","  ",
"Utah","50275","  ","40651","  ","46622","  ","22064","  ","28211","R","187452","  ","27782","  ","20739","  ","10855","  ","10440","  ","11750","  ","11359","  ","11810","  ","12963","  ","14540","  ","14564","  ","17302","  ","23349","  ","198278","  ","23459","  ","21017","  ","12838","  ","11150","  ","11355","  ","12866","  ","12753","  ","13739","  ","13518","  ","18961","  ","19876","  ","26746","  ",
"Vermont","3155","  ","3562","  ","2950","  ","1459","  ","1695","  ","11766","  ","1168","  ","1024","  ","875","  ","566","  ","544","  ","587","  ","568","  ","498","  ","890","  ","1484","  ","1737","  ","1826","  ","10554","  ","1362","  ","1006","  ","616","  ","475","  ","436","  ","432","  ","430","  ","573","  ","890","  ","1383","  ","1337","  ","1613","  ",
"Virginia","0","NA","113426","  ","100311","  ","54140","  ","0","NA","0","NA","44149","  ","36489","  ","27516","  ","33817","  ","37648","  ","40769","  ","37826","  ","34791","  ","0","NA","46663","  ","57365","  ","56062","  ","404939","  ","42878","  ","36107","  ","21315","  ","26171","  ","26801","  ","27204","  ","26997","  ","27294","  ","26486","  ","43376","  ","46366","  ","53944","  ",
"Washington","0","NA","52824","  ","73043","  ","29337","  ","0","NA","0","NA","0","NA","0","NA","25442","  ","22103","  ","20020","  ","21431","  ","19627","  ","18099","  ","20996","  ","23671","  ","21917","  ","30907","  ","298088","  ","32897","  ","32137","  ","23873","  ","22411","  ","21834","  ","18143","  ","13421","  ","15019","  ","19089","  ","26221","  ","35250","  ","37793","  ",
"West Virginia","22258","  ","24085","  ","25354","  ","10209","  ","12049","  ","0","NA","0","NA","6835","  ","6180","  ","4914","  ","4922","  ","5114","  ","4733","  ","4850","  ","6379","  ","10720","  ","12547","  ","11538","  ","86978","  ","9359","  ","8448","  ","6210","  ","4336","  ","4128","  ","3845","  ","3716","  ","4613","  ","6178","  ","10790","  ","11809","  ","13545","  ",
"Wisconsin","123831","  ","134202","  ","134253","  ","57410","  ","66422","R","454450","  ","49528","  ","38845","  ","29272","  ","23582","  ","23388","  ","25107","  ","22344","  ","24828","  ","32984","  ","50370","  ","68200","  ","66002","  ","458999","  ","52427","  ","50632","  ","31648","  ","20571","  ","20141","  ","18681","  ","19536","  ","24838","  ","34667","  ","51603","  ","61826","  ","72428","  ",
"Wyoming","15926","  ","15537","  ","16030","  ","7457","  ","8468","  ","72765","  ","9112","  ","7317","  ","4917","  ","4513","  ","4334","  ","4559","  ","4744","  ","5370","  ","5844","  ","6519","  ","6841","  ","8696","  ","73096","  ","8159","  ","7608","  ","5721","  ","4571","  ","4402","  ","4061","  ","4293","  ","5145","  ","6034","  ","7075","  ","7863","  ","8167","  ",
" Total","5392785","  ","5640352","  ","5547506","  ","2491129","  ","2901656","R","25032446","R","2382574","  ","2056654","  ","1805826","  ","1727140","  ","1873006","  ","1889299","  ","1729717","  ","1684310","R","1842223","R","2401346","  ","2739639","  ","2900713","  ","24362131","  ","2470522","  ","2167091","  ","1729274","  ","1635586","  ","1750670","  ","1700523","  ","1577990","  ","1635063","  ","1786416","  ","2361491","  ","2552179","  ","2995327","  ",
