"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"  April                 ","29759","  ","87712","E ","18060","E ","136232","E ","24831","E ","161164","E ","4909","E ","104012","E ","36541","E ","70792","E ","209983","E ","387909","E ","652429","E ","37987","E ","110279","E ","149477","E ","45050","E ","111017","E ","2378144","E ",
"  May                 ","29124","  ","89202","E ","18725","E ","140185","E ","25365","E ","162149","E ","4994","E ","107909","E ","39743","E ","77865","E ","214639","E ","385252","E ","668317","E ","38572","E ","120138","E ","148675","E ","46761","E ","114502","E ","2432116","E ",
"  June                 ","26000","  ","84409","E ","17881","E ","136442","E ","24458","E ","153466","E ","4784","E ","103795","E ","38914","E ","84693","E ","211079","E ","372179","E ","656716","E ","36706","E ","113604","E ","146727","E ","48225","E ","109801","E ","2369878","E ",
"  July                 ","26682","  ","85763","E ","19225","E ","139822","E ","24842","E ","158691","E ","4941","E ","105797","E ","40494","E ","88406","E ","217883","E ","398737","E ","675828","E ","35984","E ","115055","E ","150260","E ","50729","E ","120019","E ","2459155","E ",
"  August                 ","25176","  ","83954","E ","19655","E ","143397","E ","24864","E ","165771","E ","4756","E ","108340","E ","39995","E ","87904","E ","213529","E ","408325","E ","677396","E ","33029","E ","114871","E ","149361","E ","50372","E ","122924","E ","2473618","E ",
"  September                 ","27600","  ","81546","E ","18928","E ","138325","E ","23819","E ","163482","E ","4573","E ","105510","E ","37904","E ","89371","E ","204298","E ","396931","E ","656702","E ","30933","E ","111932","E ","145208","E ","49527","E ","120208","E ","2406795","E ",
"  October                 ","29182","  ","83309","E ","18868","E ","144845","E ","23559","E ","166172","E ","4827","E ","108294","E ","40328","E ","104127","E ","209342","E ","404431","E ","664386","E ","31404","E ","108711","E ","149375","E ","50084","E ","114334","E ","2455580","E ",
"  November                 ","29665","R","79289","E ","18261","E ","139733","E ","22451","E ","160600","E ","4562","E ","104108","E ","39300","E ","104731","E ","201517","E ","406585","E ","640540","E ","30910","E ","96829","E ","144256","E ","47874","E ","104494","E ","2375706","RE",
"  December                 ","30941","  ","80509","RE","18749","RE","142189","RE","22896","RE","160916","RE","4608","RE","98671","RE","40571","RE","113185","RE","207703","RE","429892","RE","647037","RE","34255","RE","105489","RE","145400","RE","47886","RE","110455","RE","2441351","RE",
"     Total             ","343430","R","1017319","RE","222680","RE","1671787","RE","292450","RE","1932407","RE","57218","RE","1247083","RE","460406","RE","1014848","RE","2499599","RE","4768848","RE","7872145","RE","422423","RE","1318822","RE","1764362","RE","577095","RE","1331380","RE","28814300","RE",
"2016",
"  January                 ","30686","  ","77827","RE","18796","RE","143369","RE","22535","RE","157889","RE","4515","RE","96264","RE","39585","RE","112341","RE","211277","RE","447452","RE","638196","RE","34175","RE","114272","RE","143699","RE","47809","E ","106928","RE","2447615","RE",
"  February                 ","28434","  ","71965","E ","17195","E ","134150","E ","20900","E ","150482","E ","4229","E ","96176","E ","37921","E ","116314","E ","196561","E ","433413","E ","601319","E ","31212","E ","108666","E ","129569","E ","44638","E ","99682","E ","2322827","E ",
"2016 2-Month YTD","59120","  ","149791","E ","35991","E ","277520","E ","43435","E ","308371","E ","8744","E ","192440","E ","77506","E ","228655","E ","407838","E ","880865","E ","1239516","E ","65388","E ","222938","E ","273268","E ","92447","E ","206610","E ","4770442","E ",
"2015 2-Month YTD","58778","  ","171208","E ","35612","E ","268852","E ","49249","E ","312526","E ","9387","E ","194905","E ","69156","E ","124206","E ","393558","E ","769680","E ","1262042","E ","73084","E ","208532","E ","283273","E ","93385","E ","205818","E ","4583250","E ",
"2014 2-Month YTD","59179","  ","181652","  ","40295","  ","258291","  ","44798","  ","329714","  ","9616","  ","186317","  ","38235","  ","54790","  ","351240","  ","655878","  ","1197043","  ","74039","  ","142048","  ","293786","  ","100400","  ","194226","  ","4211549","  ",
