"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Mississippi","9144","  ","10203","  ","11947","  ","3956","  ","5189","  ","0","NA","2377","  ","0","NA","796","  ","512","  ","428","  ","466","  ","520","  ","625","  ","1012","  ","2920","  ","4686","  ","5517","  ","28358","  ","3742","  ","2820","  ","990","  ","560","  ","591","  ","608","  ","629","  ","880","  ","1829","  ","3761","  ","5308","  ","6640","  ",
"Missouri","37374","  ","43570","  ","47326","  ","15241","  ","22133","  ","102814","  ","13879","  ","8236","  ","3351","  ","1770","  ","1873","  ","1763","  ","1941","  ","2703","  ","6658","  ","17071","  ","22239","  ","21331","  ","115512","  ","16552","  ","12508","  ","3865","  ","2106","  ","1729","  ","1891","  ","2007","  ","3221","  ","8183","  ","16125","  ","21410","  ","25916","  ",
"Montana","5652","  ","5896","  ","6940","  ","2376","  ","3276","  ","18772","  ","3260","  ","2634","  ","1042","  ","494","  ","377","  ","381","  ","401","  ","902","  ","1442","  ","1943","  ","2602","  ","3294","  ","21379","  ","3267","  ","2919","  ","1104","  ","618","  ","362","  ","360","  ","544","  ","921","  ","1642","  ","2700","  ","3633","  ","3307","  ",
"Nebraska","12380","  ","13897","  ","15938","  ","5325","  ","7055","  ","33830","  ","5497","  ","2858","  ","1053","  ","667","  ","684","  ","790","  ","939","  ","1302","  ","2053","  ","4090","  ","6842","  ","7055","  ","42147","  ","6587","  ","4644","  ","1447","  ","811","  ","730","  ","791","  ","938","  ","1713","  ","2959","  ","5589","  ","7612","  ","8326","  ",
"Nevada","13806","  ","11209","  ","12091","  ","5536","  ","8270","  ","36592","  ","7264","  ","4172","  ","1440","  ","1215","  ","1176","  ","1108","  ","1467","  ","1854","  ","2340","  ","3347","  ","4240","  ","6969","  ","35135","  ","5459","  ","3016","  ","1556","  ","1206","  ","1168","  ","1257","  ","1438","  ","1824","  ","2585","  ","3533","  ","5205","  ","6886","  ",
"New Hampshire","2471","  ","3244","  ","2686","  ","1136","  ","1334","  ","7587","  ","854","  ","657","  ","242","  ","148","  ","147","  ","146","  ","179","  ","236","  ","576","  ","1157","  ","1609","  ","1635","  ","7755","  ","1072","  ","795","  ","338","  ","172","  ","138","  ","142","  ","217","  ","454","  ","535","  ","1207","  ","1210","  ","1476","  ",
"New Jersey","79006","  ","97552","  ","94204","  ","35568","  ","43438","  ","237164","  ","22163","  ","16149","  ","9214","  ","4498","  ","4422","  ","5478","  ","6226","  ","8987","  ","21253","  ","41222","  ","50521","  ","47032","  ","247742","  ","32458","  ","24417","  ","8303","  ","5091","  ","4865","  ","5388","  ","6079","  ","9581","  ","18446","  ","38911","  ","44067","  ","50138","  ",
"New Mexico","11406","  ","11575","  ","11079","  ","4728","  ","6677","  ","34036","  ","6379","  ","3863","  ","1282","  ","854","  ","864","  ","830","  ","1255","  ","1615","  ","1983","  ","3535","  ","5153","  ","6422","  ","32370","  ","5532","  ","3444","  ","1275","  ","835","  ","908","  ","935","  ","1043","  ","1507","  ","2292","  ","3519","  ","4763","  ","6316","  ",
"New York","143299","  ","179847","  ","154853","  ","67778","  ","75521","  ","450815","  ","43444","  ","33321","  ","20336","  ","10033","  ","9977","  ","10159","  ","12853","  ","19344","  ","38003","  ","73498","  ","92231","  ","87616","  ","458313","  ","62632","  ","45075","  ","16260","  ","11117","  ","9683","  ","10686","  ","12363","  ","26165","  ","38643","  ","70836","  ","74901","  ","79952","  ",
"North Carolina","29340","  ","33751","  ","30995","  ","13029","  ","16311","  ","0","NA","7028","  ","6342","  ","2814","  ","1121","  ","0","NA","1090","  ","1195","  ","1407","  ","2895","  ","7595","  ","17852","  ","15899","  ","75178","  ","12540","  ","9724","  ","2037","  ","1133","  ","973","  ","1120","  ","934","  ","1320","  ","3272","  ","11130","  ","11969","  ","19026","  ",
"North Dakota","3501","  ","4112","  ","4412","  ","1524","  ","1977","  ","10606","  ","1713","  ","1069","  ","513","  ","200","  ","147","  ","170","  ","208","  ","452","  ","729","  ","1293","  ","2081","  ","2031","  ","12505","  ","1749","  ","1660","  ","625","  ","273","  ","181","  ","183","  ","248","  ","506","  ","1007","  ","1662","  ","2152","  ","2260","  ",
"Ohio","98240","  ","121666","  ","129056","  ","44070","  ","54170","  ","289683","  ","31154","  ","22384","  ","12359","  ","4741","  ","4792","  ","5084","  ","6174","  ","10373","  ","22570","  ","48388","  ","62058","  ","59608","  ","320568","  ","45059","  ","31696","  ","13581","  ","6185","  ","4860","  ","5156","  ","6255","  ","10181","  ","19967","  ","48571","  ","58508","  ","70548","  ",
"Oklahoma","0","NA","24989","  ","29574","  ","0","NA","11199","  ","59675","  ","6999","  ","2614","  ","1308","  ","1169","  ","1095","  ","1271","  ","1637","  ","2233","  ","4445","  ","11916","  ","12397","  ","12592","  ","69050","  ","9210","  ","3198","  ","1361","  ","1161","  ","1150","  ","1243","  ","1540","  ","2558","  ","6476","  ","11579","  ","14744","  ","14830","  ",
"Oregon","11975","  ","10618","  ","14162","  ","4943","  ","7032","  ","37930","  ","7090","  ","5854","  ","1804","  ","1217","  ","841","  ","860","  ","986","  ","1734","  ","3318","  ","3608","  ","4252","  ","6366","  ","41185","  ","6418","  ","5703","  ","1779","  ","970","  ","894","  ","979","  ","1213","  ","1459","  ","3197","  ","4412","  ","6749","  ","7412","  ",
"Pennsylvania","84909","  ","102093","  ","98963","  ","38599","  ","46310","  ","242098","  ","24976","  ","18582","  ","11789","  ","4892","  ","4143","  ","4230","  ","5696","  ","7776","  ","19206","  ","38715","  ","52881","  ","49212","  ","254816","  ","37330","  ","25074","  ","9532","  ","4770","  ","4251","  ","4150","  ","5014","  ","8707","  ","17444","  ","39581","  ","45671","  ","53292","  ",
"Rhode Island","6297","  ","8136","  ","6711","  ","2876","  ","3421","  ","19522","  ","1903","  ","1591","  ","1038","  ","385","  ","397","  ","430","  ","484","  ","565","  ","1386","  ","3206","  ","4039","  ","4097","  ","19724","  ","2662","  ","2030","  ","499","  ","473","  ","395","  ","427","  ","583","  ","667","  ","2332","  ","2946","  ","3047","  ","3664","  ",
"South Carolina","12452","  ","13823","  ","13074","  ","5615","  ","6837","  ","27171","  ","2982","  ","2345","  ","1020","  ","542","  ","521","  ","496","  ","490","  ","679","  ","1130","  ","3144","  ","6979","  ","6844","  ","31862","  ","5112","  ","4219","  ","835","  ","489","  ","476","  ","453","  ","471","  ","675","  ","1578","  ","4481","  ","4988","  ","8085","  ",
"South Dakota","4060","  ","4474","  ","5136","  ","1689","  ","2371","  ","11638","  ","1996","  ","1162","  ","473","  ","226","  ","221","  ","188","  ","275","  ","503","  ","775","  ","1345","  ","2140","  ","2334","  ","14213","  ","2197","  ","1724","  ","718","  ","330","  ","220","  ","193","  ","286","  ","545","  ","1001","  ","1862","  ","2414","  ","2722","  ",
"Tennessee","28075","  ","34999","  ","34418","  ","12051","  ","16024","  ","67951","  ","7765","  ","4847","  ","1982","  ","1163","  ","1028","  ","1032","  ","1204","  ","1606","  ","3169","  ","9156","  ","18173","  ","16826","  ","78385","  ","12368","  ","8371","  ","2308","  ","1239","  ","1162","  ","1152","  ","1190","  ","1868","  ","4088","  ","10221","  ","14671","  ","19747","  ",
"Texas","73567","  ","86059","  ","101816","  ","32681","  ","40886","  ","199288","  ","24772","  ","9793","  ","5934","  ","5116","  ","4587","  ","6189","  ","6053","  ","6545","  ","10724","  ","33516","  ","35341","  ","50718","  ","234520","  ","31730","  ","14635","  ","6881","  ","5951","  ","5661","  ","6188","  ","6977","  ","8855","  ","15627","  ","30199","  ","45335","  ","56481","  ",
"Utah","21771","  ","16515","  ","19299","  ","9010","  ","12761","  ","58177","  ","12265","  ","8290","  ","2002","  ","1320","  ","1545","  ","1623","  ","1945","  ","3109","  ","4485","  ","5078","  ","6406","  ","10109","  ","62458","  ","9648","  ","8191","  ","3046","  ","1602","  ","1298","  ","1746","  ","2241","  ","3941","  ","4143","  ","7302","  ","7635","  ","11664","  ",
"Vermont","1117","  ","1455","  ","1314","  ","541","  ","576","  ","3754","  ","393","  ","288","  ","164","  ","79","  ","73","  ","87","  ","105","  ","152","  ","359","  ","598","  ","745","  ","710","  ","3826","  ","507","  ","349","  ","158","  ","96","  ","79","  ","82","  ","96","  ","175","  ","354","  ","617","  ","608","  ","706","  ",
"Virginia","31591","  ","39279","  ","36803","  ","14368","  ","17223","  ","83512","  ","7966","  ","6309","  ","3395","  ","1913","  ","1442","  ","1491","  ","1612","  ","2176","  ","4642","  ","13287","  ","20387","  ","18892","  ","92817","  ","14540","  ","9971","  ","2843","  ","1623","  ","1533","  ","1488","  ","1698","  ","2489","  ","5389","  ","14439","  ","16176","  ","20627","  ",
"Washington","23101","  ","19700","  ","25568","  ","9280","  ","13821","  ","71818","  ","14167","  ","9599","  ","4019","  ","2519","  ","1649","  ","1651","  ","1963","  ","3292","  ","5830","  ","7431","  ","8054","  ","11645","  ","78750","  ","11782","  ","11480","  ","3689","  ","2089","  ","1722","  ","1916","  ","2360","  ","3390","  ","5843","  ","8911","  ","12665","  ","12903","  ",
"West Virginia","9554","  ","10824","  ","10860","  ","4215","  ","5340","  ","24975","  ","2485","  ","2132","  ","1242","  ","387","  ","339","  ","244","  ","419","  ","672","  ","1640","  ","4590","  ","5673","  ","5151","  ","28257","  ","3929","  ","3249","  ","1147","  ","517","  ","360","  ","360","  ","466","  ","913","  ","1972","  ","4484","  ","4950","  ","5909","  ",
"Wisconsin","44551","  ","53140","  ","56516","  ","19769","  ","24782","R","126685","  ","16428","  ","11070","  ","6080","  ","2498","  ","2308","  ","2475","  ","2478","  ","4546","  ","9467","  ","16194","  ","27467","  ","25672","  ","150409","  ","19411","  ","18409","  ","7477","  ","3365","  ","2397","  ","2642","  ","3251","  ","5305","  ","11561","  ","20074","  ","25727","  ","30789","  ",
"Wyoming","3395","  ","3753","  ","4077","  ","1493","  ","1902","  ","11942","  ","2262","  ","1468","  ","415","  ","313","  ","205","  ","250","  ","408","  ","746","  ","919","  ","1204","  ","1590","  ","2163","  ","13269","  ","2069","  ","1831","  ","737","  ","386","  ","241","  ","262","  ","314","  ","699","  ","1101","  ","1552","  ","2032","  ","2045","  ",
" Total","1597722","  ","1839933","  ","1890061","  ","707013","  ","890710","R","4612455","  ","588560","  ","399624","  ","200678","  ","107571","  ","102264","  ","108125","  ","123772","  ","179835","  ","324869","  ","637224","  ","904281","  ","935653","  ","5087314","  ","716885","  ","543521","  ","212073","  ","121731","  ","105183","  ","112781","  ","125592","  ","203450","  ","356134","  ","699902","  ","852905","  ","1037156","  ",
