"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","18267","  ","20160","  ","19660","  ","7942","  ","10325","  ","53581","  ","5185","  ","4695","  ","3159","  ","2417","  ","2274","  ","2164","  ","2091","  ","2619","  ","3367","  ","5451","  ","10075","  ","10084","  ","59039","  ","7598","  ","7293","  ","3021","  ","2219","  ","2233","  ","2350","  ","2222","  ","2518","  ","3544","  ","6379","  ","7644","  ","12016","  ",
"Hawaii","315","  ","336","  ","339","  ","155","  ","159","  ","1908","  ","167","  ","148","  ","152","  ","153","  ","156","  ","159","  ","154","  ","151","  ","168","  ","165","  ","157","  ","179","  ","1931","  ","165","  ","150","  ","158","  ","154","  ","153","  ","164","  ","162","  ","158","  ","168","  ","159","  ","161","  ","177","  ",
"Idaho","4857","  ","4309","  ","4924","  ","2076","  ","2781","  ","16171","  ","2719","  ","2068","  ","1066","  ","694","  ","583","  ","625","  ","662","  ","822","  ","1194","  ","1428","  ","1711","  ","2598","  ","16963","  ","2472","  ","2107","  ","1038","  ","777","  ","660","  ","627","  ","661","  ","766","  ","1216","  ","1715","  ","2185","  ","2739","  ",
"Illinois","66454","  ","77258","  ","83797","  ","30543","  ","35911","  ","0","NA","24179","  ","0","NA","12312","  ","7821","  ","7573","  ","7162","  ","7196","  ","9077","  ","14774","  ","26946","  ","38920","  ","38338","  ","246273","  ","29259","  ","27746","  ","14788","  ","8922","  ","7632","  ","7789","  ","7965","  ","10946","  ","16462","  ","30968","  ","38151","  ","45646","  ",
"Indiana","26049","  ","30909","  ","33112","  ","11554","  ","14495","  ","78491","  ","8381","  ","6409","  ","4720","  ","2784","  ","2749","  ","2324","  ","2324","  ","2744","  ","5128","  ","10020","  ","15495","  ","15414","  ","90915","  ","11472","  ","10520","  ","5183","  ","3216","  ","2449","  ","2514","  ","2360","  ","3368","  ","5827","  ","10893","  ","15117","  ","17995","  ",
"Iowa","15812","  ","17398","  ","19708","  ","7041","  ","8771","  ","0","NA","6246","  ","0","NA","3156","  ","1716","  ","1468","  ","1567","  ","1770","  ","2088","  ","3099","  ","5590","  ","8934","  ","8464","  ","57438","  ","7117","  ","7303","  ","3449","  ","1724","  ","1475","  ","1580","  ","1700","  ","2396","  ","3850","  ","7134","  ","9232","  ","10477","  ",
"Kansas","10160","  ","10668","  ","11804","  ","4247","  ","5913","  ","0","NA","4161","  ","2731","  ","1755","  ","1164","  ","0","NA","1492","  ","1128","  ","1335","  ","1487","  ","2693","  ","4960","  ","5707","  ","36512","  ","4981","  ","4168","  ","2072","  ","1509","  ","1408","  ","1378","  ","1189","  ","1447","  ","2298","  ","4259","  ","5525","  ","6279","  ",
"Kentucky","12195","  ","14173","  ","14838","  ","5481","  ","6714","  ","34308","  ","3570","  ","2925","  ","1709","  ","1154","  ","1152","  ","1139","  ","1075","  ","1336","  ","1924","  ","4151","  ","7227","  ","6946","  ","40033","  ","5419","  ","4509","  ","1968","  ","1343","  ","1121","  ","1078","  ","1081","  ","1392","  ","2223","  ","5060","  ","6526","  ","8312","  ",
"Louisiana","7519","  ","8178","  ","7817","  ","3041","  ","4478","  ","30656","  ","2970","  ","2789","  ","2286","  ","2214","  ","1902","  ","1804","  ","1903","  ","1938","  ","2072","  ","2601","  ","3807","  ","4371","  ","31209","  ","3300","  ","3301","  ","2227","  ","1844","  ","1845","  ","1727","  ","1706","  ","2141","  ","2109","  ","3194","  ","3288","  ","4529","  ",
"Maine","2565","  ","3189","  ","2716","  ","1199","  ","1367","  ","9795","  ","961","  ","779","  ","569","  ","415","  ","425","  ","409","  ","393","  ","371","  ","943","  ","1341","  ","1590","  ","1599","  ","9030","  ","1144","  ","930","  ","492","  ","314","  ","264","  ","335","  ","357","  ","466","  ","715","  ","1296","  ","1247","  ","1468","  ",
"Maryland","20824","  ","23274","  ","22377","  ","9460","  ","11365","  ","69307","  ","6571","  ","5844","  ","4663","  ","2932","  ","2967","  ","2900","  ","2812","  ","2982","  ","4904","  ","9459","  ","11694","  ","11580","  ","74843","  ","9099","  ","7736","  ","4436","  ","3228","  ","3303","  ","3043","  ","2862","  ","3690","  ","5278","  ","9792","  ","10237","  ","12140","  ",
"Massachusetts","31137","  ","36589","  ","31173","  ","13347","  ","17790","  ","105809","  ","10044","  ","9210","  ","7399","  ","4066","  ","3873","  ","3912","  ","4050","  ","4432","  ","7706","  ","14526","  ","18246","  ","18342","  ","105801","  ","12458","  ","11187","  ","6331","  ","4179","  ","3790","  ","3600","  ","3456","  ","6139","  ","9986","  ","13503","  ","14772","  ","16401","  ",
"Michigan","51142","  ","63796","  ","63198","  ","24816","  ","26326","  ","172156","  ","18235","  ","13375","  ","9388","  ","5306","  ","5500","  ","5155","  ","5553","  ","7509","  ","13801","  ","24537","  ","32477","  ","31320","  ","186413","  ","23128","  ","19200","  ","9681","  ","5871","  ","4894","  ","5589","  ","5304","  ","8664","  ","14841","  ","26042","  ","30115","  ","33083","  ",
"Minnesota","31070","  ","34689","  ","37520","  ","14811","  ","16259","R","93865","  ","12550","  ","8381","  ","5206","  ","2786","  ","2910","  ","2540","  ","2633","  ","4006","  ","6661","  ","11504","  ","18066","  ","16623","  ","110905","  ","15202","  ","12708","  ","5817","  ","3102","  ","2755","  ","2350","  ","2862","  ","4546","  ","9087","  ","14955","  ","18239","  ","19281","  ",
"Mississippi","5712","  ","6191","  ","6981","  ","2539","  ","3173","  ","0","NA","1725","  ","0","NA","1277","  ","0","NA","1024","  ","785","  ","865","  ","973","  ","1107","  ","2102","  ","2944","  ","3247","  ","22195","  ","2574","  ","2033","  ","1488","  ","1033","  ","956","  ","972","  ","950","  ","1065","  ","1571","  ","2572","  ","3174","  ","3807","  ",
"Missouri","20016","  ","23634","  ","26203","  ","8878","  ","11138","  ","65595","  ","7823","  ","5631","  ","3585","  ","2254","  ","2299","  ","2021","  ","1960","  ","2526","  ","4609","  ","9255","  ","12336","  ","11297","  ","72919","  ","9199","  ","7349","  ","3835","  ","2556","  ","2268","  ","2267","  ","2190","  ","2733","  ","5112","  ","9208","  ","13070","  ","13133","  ",
"Montana","5678","  ","5854","  ","6581","  ","2434","  ","3244","  ","0","NA","3107","  ","2508","  ","1158","  ","689","  ","584","  ","597","  ","579","  ","981","  ","0","NA","2062","  ","2597","  ","3257","  ","21549","  ","3145","  ","2849","  ","1154","  ","793","  ","580","  ","542","  ","671","  ","959","  ","1562","  ","2715","  ","3468","  ","3113","  ",
"Nebraska","8782","  ","9590","  ","10261","  ","3749","  ","5033","  ","28474","  ","3974","  ","2619","  ","1558","  ","932","  ","1010","  ","1223","  ","1239","  ","1412","  ","1892","  ","3025","  ","4743","  ","4847","  ","32407","  ","4419","  ","3608","  ","1773","  ","1222","  ","1166","  ","1161","  ","1101","  ","1557","  ","2280","  ","3859","  ","4818","  ","5443","  ",
"Nevada","7671","  ","6669","  ","7130","  ","3370","  ","4301","  ","29614","  ","4015","  ","3091","  ","1970","  ","1662","  ","1709","  ","1598","  ","1807","  ","2079","  ","2393","  ","2622","  ","2881","  ","3788","  ","29105","  ","3459","  ","2598","  ","2009","  ","1714","  ","1611","  ","1722","  ","1753","  ","2061","  ","2375","  ","2674","  ","3169","  ","3961","  ",
"New Hampshire","2904","  ","3806","  ","3062","  ","1320","  ","1584","  ","9327","  ","1017","  ","823","  ","377","  ","232","  ","226","  ","221","  ","265","  ","298","  ","652","  ","1410","  ","1893","  ","1913","  ","9412","  ","1233","  ","996","  ","481","  ","260","  ","224","  ","215","  ","292","  ","582","  ","658","  ","1409","  ","1372","  ","1691","  ",
"New Jersey","44046","  ","56640","  ","57669","  ","20511","  ","23535","  ","0","NA","13623","  ","11186","  ","0","NA","0","NA","8431","  ","7486","  ","6652","  ","0","NA","15304","  ","22606","  ","28320","  ","28320","  ","202201","  ","24505","  ","19687","  ","11427","  ","9818","  ","9136","  ","9596","  ","9819","  ","12207","  ","14060","  ","24277","  ","27541","  ","30128","  ",
"New Mexico","7031","  ","7243","  ","6438","  ","3120","  ","3911","  ","26262","  ","4321","  ","3294","  ","1689","  ","1106","  ","1121","  ","1029","  ","1262","  ","1423","  ","1568","  ","2206","  ","3216","  ","4027","  ","25688","  ","3989","  ","3555","  ","1651","  ","1060","  ","1224","  ","1200","  ","1118","  ","1324","  ","1702","  ","2428","  ","2702","  ","3736","  ",
"New York","87398","  ","103020","  ","91500","  ","40286","  ","47112","  ","309481","  ","28536","  ","24042","  ","18646","  ","13736","  ","14539","  ","14178","  ","12774","  ","16052","  ","22945","  ","41014","  ","51726","  ","51294","  ","320168","  ","37830","  ","31373","  ","17824","  ","14941","  ","13881","  ","12988","  ","14274","  ","18591","  ","25033","  ","41932","  ","43304","  ","48196","  ",
"North Carolina","18362","  ","20022","  ","18094","  ","8034","  ","10328","  ","0","NA","0","NA","5548","  ","4282","  ","3004","  ","0","NA","2535","  ","2945","  ","2524","  ","3558","  ","0","NA","10516","  ","9506","  ","59945","  ","7192","  ","6594","  ","3474","  ","2779","  ","2602","  ","2785","  ","2826","  ","3196","  ","3247","  ","7155","  ","7128","  ","10966","  ",
"North Dakota","3790","  ","4500","  ","4603","  ","1649","  ","2141","  ","12334","  ","1808","  ","1214","  ","667","  ","321","  ","294","  ","308","  ","313","  ","581","  ","834","  ","1494","  ","2232","  ","2268","  ","13999","  ","1932","  ","1832","  ","763","  ","419","  ","296","  ","319","  ","354","  ","685","  ","970","  ","1826","  ","2258","  ","2345","  ",
"Ohio","53147","  ","67157","  ","67766","  ","23431","  ","29716","  ","169515","  ","16455","  ","12881","  ","9220","  ","4535","  ","4790","  ","4753","  ","5281","  ","6787","  ","13080","  ","24578","  ","33875","  ","33282","  ","183105","  ","23759","  ","17953","  ","9491","  ","5640","  ","4697","  ","4799","  ","5269","  ","6482","  ","10918","  ","26332","  ","30959","  ","36807","  ",
"Oklahoma","0","NA","14535","  ","16590","  ","0","NA","6177","  ","42383","  ","4093","  ","2339","  ","1638","  ","1509","  ","1502","  ","1553","  ","1828","  ","2162","  ","4096","  ","7128","  ","7724","  ","6811","  ","46986","  ","5372","  ","2263","  ","1603","  ","1474","  ","1544","  ","1507","  ","1742","  ","2461","  ","5337","  ","7093","  ","8370","  ","8220","  ",
"Oregon","7513","  ","6737","  ","8809","  ","3194","  ","4319","  ","26502","  ","4307","  ","3444","  ","1552","  ","1217","  ","948","  ","968","  ","1008","  ","1594","  ","2270","  ","2457","  ","2859","  ","3878","  ","28377","  ","4047","  ","3343","  ","1538","  ","1083","  ","1066","  ","956","  ","1201","  ","1237","  ","2177","  ","2920","  ","4098","  ","4711","  ",
"Pennsylvania","49934","  ","58889","  ","54994","  ","22317","  ","27618","  ","156887","  ","15188","  ","13175","  ","10093","  ","5319","  ","4751","  ","4493","  ","5524","  ","5902","  ","11865","  ","21688","  ","30468","  ","28422","  ","159636","  ","21355","  ","17723","  ","8889","  ","5044","  ","4753","  ","4492","  ","4759","  ","5684","  ","9996","  ","21946","  ","24813","  ","30181","  ",
"Rhode Island","3779","  ","4817","  ","4331","  ","1770","  ","2008","  ","11734","  ","1106","  ","1007","  ","624","  ","244","  ","249","  ","258","  ","301","  ","378","  ","849","  ","1901","  ","2416","  ","2402","  ","13178","  ","1690","  ","1336","  ","484","  ","328","  ","281","  ","265","  ","442","  ","485","  ","1622","  ","1914","  ","1967","  ","2364","  ",
"South Carolina","6899","  ","7350","  ","6861","  ","3003","  ","3896","  ","23947","  ","1907","  ","2136","  ","1827","  ","1380","  ","1399","  ","1324","  ","1307","  ","1526","  ","1624","  ","2167","  ","3715","  ","3635","  ","25380","  ","2787","  ","2998","  ","1685","  ","1284","  ","1266","  ","1254","  ","1285","  ","1411","  ","1618","  ","2929","  ","2782","  ","4079","  ",
"South Dakota","3371","  ","3726","  ","4055","  ","1376","  ","1995","  ","10497","  ","1564","  ","1127","  ","571","  ","315","  ","314","  ","304","  ","323","  ","496","  ","665","  ","1090","  ","1792","  ","1934","  ","12310","  ","1630","  ","1649","  ","633","  ","420","  ","328","  ","312","  ","361","  ","519","  ","881","  ","1521","  ","1916","  ","2139","  ",
"Tennessee","17849","  ","21090","  ","19881","  ","7613","  ","10237","  ","53995","  ","5273","  ","4707","  ","3080","  ","2259","  ","2125","  ","2060","  ","2169","  ","2493","  ","3028","  ","5711","  ","10982","  ","10108","  ","57427","  ","7590","  ","6110","  ","3370","  ","2244","  ","2144","  ","2105","  ","2029","  ","2175","  ","3200","  ","6577","  ","8313","  ","11569","  ",
"Texas","42638","  ","48623","  ","51687","  ","19794","  ","22844","  ","173302","  ","17584","  ","12553","  ","10313","  ","9558","  ","9295","  ","10630","  ","10517","  ","10175","  ","12856","  ","21197","  ","22067","  ","26556","  ","184908","  ","20365","  ","14388","  ","11298","  ","10330","  ","10099","  ","10743","  ","10733","  ","11280","  ","14780","  ","19205","  ","24160","  ","27526","  ",
"Utah","12408","  ","9491","  ","11211","  ","5319","  ","7089","  ","35552","  ","6881","  ","4732","  ","1474","  ","1170","  ","1157","  ","1168","  ","1371","  ","2144","  ","2994","  ","2971","  ","3934","  ","5557","  ","38156","  ","5611","  ","4741","  ","2117","  ","1227","  ","940","  ","1257","  ","1586","  ","2538","  ","2532","  ","4397","  ","4485","  ","6726","  ",
"Vermont","1614","  ","1708","  ","1279","  ","714","  ","899","  ","5949","  ","586","  ","557","  ","522","  ","336","  ","318","  ","342","  ","325","  ","205","  ","372","  ","678","  ","814","  ","894","  ","4830","  ","666","  ","479","  ","300","  ","239","  ","223","  ","218","  ","199","  ","259","  ","393","  ","575","  ","551","  ","727","  ",
"Virginia","20815","  ","24283","  ","22248","  ","9235","  ","11580","  ","67597","  ","6065","  ","6019","  ","4647","  ","3658","  ","2587","  ","2656","  ","2585","  ","2751","  ","3927","  ","8418","  ","12447","  ","11836","  ","72164","  ","9184","  ","8722","  ","4212","  ","3178","  ","2802","  ","2578","  ","2806","  ","2904","  ","4270","  ","9259","  ","9723","  ","12526","  ",
"Washington","13794","  ","12087","  ","15286","  ","5823","  ","7971","  ","49906","  ","8090","  ","5744","  ","3462","  ","2709","  ","1902","  ","1996","  ","2287","  ","2727","  ","4150","  ","4751","  ","5213","  ","6874","  ","54457","  ","7023","  ","6923","  ","3523","  ","2385","  ","2112","  ","2162","  ","2427","  ","2774","  ","3942","  ","5900","  ","7396","  ","7891","  ",
"West Virginia","6663","  ","7401","  ","7372","  ","3015","  ","3648","  ","22584","  ","2034","  ","1923","  ","1547","  ","1107","  ","876","  ","981","  ","796","  ","1104","  ","1703","  ","3113","  ","3787","  ","3614","  ","24101","  ","2778","  ","2447","  ","1470","  ","1086","  ","1035","  ","1015","  ","786","  ","1269","  ","1643","  ","3199","  ","3585","  ","3787","  ",
"Wisconsin","28508","  ","33420","  ","36294","  ","13091","  ","15417","  ","90195","  ","10352","  ","7776","  ","4985","  ","2867","  ","2964","  ","2782","  ","2842","  ","3795","  ","6582","  ","11829","  ","16785","  ","16635","  ","107003","  ","13482","  ","12402","  ","5795","  ","3398","  ","2979","  ","3117","  ","3333","  ","4324","  ","7965","  ","13915","  ","16512","  ","19782","  ",
"Wyoming","3119","  ","3574","  ","3498","  ","1375","  ","1744","  ","12498","  ","2273","  ","1585","  ","537","  ","478","  ","283","  ","401","  ","438","  ","872","  ","923","  ","1135","  ","1752","  ","1822","  ","12188","  ","1732","  ","1581","  ","789","  ","477","  ","389","  ","349","  ","365","  ","670","  ","1001","  ","1337","  ","1737","  ","1762","  ",
" Total","929637","  ","1051987","  ","1061947","  ","420958","  ","508679","R","3205891","  ","350577","  ","280282","  ","192966","  ","138118","  ","135811","  ","133543","  ","135416","  ","161765","  ","236610","  ","388816","  ","520405","  ","531583","  ","3466600","  ","426794","  ","361567","  ","202376","  ","148924","  ","137132","  ","137618","  ","141459","  ","176762","  ","251054","  ","420968","  ","490152","  ","571795","  ",
