"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","54199","  ","55211","  ","35966","  ","25621","  ","28578","  ","354090","  ","25887","  ","27527","  ","29598","  ","30621","  ","35927","  ","39940","  ","33576","  ","27974","  ","22117","  ","25712","  ","25962","  ","29248","  ","289783","  ","24112","  ","24802","  ","29659","  ","28511","  ","32981","  ","28811","  ","26578","  ","22435","  ","17623","  ","18303","  ","14129","  ","21837","  ",
"Hawaii","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--",
"Idaho","5271","  ","2710","  ","4923","  ","2401","  ","2870","  ","27790","  ","2840","  ","2240","  ","2500","  ","2930","  ","3645","  ","3230","  ","3481","  ","2082","  ","1276","  ","857","  ","438","  ","2272","  ","17866","  ","1140","  ","1494","  ","1215","  ","2390","  ","2815","  ","2119","  ","592","  ","545","  ","244","  ","388","  ","2199","  ","2725","  ",
"Illinois","17083","  ","11572","  ","6353","  ","8872","  ","8211","  ","83570","  ","7753","  ","7008","  ","6560","  ","8788","  ","7957","  ","11120","  ","7075","  ","4727","  ","5221","  ","5789","  ","5612","  ","5960","  ","42081","  ","3183","  ","2790","  ","4048","  ","3670","  ","5827","  ","3326","  ","4605","  ","4945","  ","1409","  ","1925","  ","1252","  ","5101","  ",
"Indiana","25129","  ","24656","  ","18538","  ","11776","  ","13353","  ","127365","  ","13305","  ","11439","  ","8711","  ","7942","  ","10138","  ","10486","  ","9343","  ","9238","  ","9110","  ","12997","  ","13294","  ","11362","  ","80411","  ","7539","  ","8647","  ","6454","  ","4616","  ","6190","  ","5785","  ","5146","  ","6037","  ","3730","  ","7730","  ","8218","  ","10321","  ",
"Iowa","3242","  ","2663","  ","1198","  ","1542","  ","1700","  ","17518","  ","1623","  ","530","  ","918","  ","1750","  ","2364","  ","3063","  ","1746","  ","875","  ","728","  ","1257","  ","1309","  ","1354","  ","11035","  ","1333","  ","711","  ","1202","  ","895","  ","1809","  ","917","  ","915","  ","1287","  ","524","  ","244","  ","396","  ","802","  ",
"Kansas","1282","  ","1430","  ","3282","  ","558","  ","725","  ","16614","  ","804","  ","0","W ","0","W ","1662","  ","2353","  ","3425","  ","1970","  ","1189","  ","1027","  ","1124","  ","947","  ","483","  ","20674","  ","1097","  ","1526","  ","1324","  ","1565","  ","2750","  ","2216","  ","2021","  ","2554","  ","1478","  ","861","  ","1498","  ","1783","  ",
"Kentucky","9245","  ","7841","  ","9401","  ","3738","  ","5506","  ","52015","  ","3312","  ","5312","  ","6074","  ","4867","  ","4798","  ","6310","  ","3656","  ","3415","  ","3307","  ","3123","  ","5559","  ","2282","  ","26919","  ","1363","  ","2070","  ","487","  ","709","  ","1083","  ","1320","  ","1136","  ","1471","  ","3752","  ","4127","  ","3227","  ","6174","  ",
"Louisiana","52689","  ","44178","  ","45744","  ","24771","  ","27918","  ","342742","  ","31279","  ","29353","  ","29252","  ","27504","  ","33927","  ","36977","  ","33989","  ","27800","  ","24960","  ","23525","  ","22235","  ","21942","  ","290020","  ","17497","  ","20950","  ","23463","  ","25736","  ","33347","  ","28009","  ","27851","  ","28269","  ","22342","  ","16812","  ","19977","  ","25767","  ",
"Maine","4301","  ","3165","  ","4549","  ","1871","  ","2429","  ","17447","  ","1427","  ","1813","  ","2483","  ","1538","  ","1839","  ","1132","  ","573","  ","745","  ","947","  ","1787","  ","1294","  ","1871","  ","23853","  ","1643","  ","2151","  ","1139","  ","1237","  ","2000","  ","3650","  ","3015","  ","1161","  ","1817","  ","1491","  ","1904","  ","2645","  ",
"Maryland","3644","  ","2502","  ","1941","  ","2318","  ","1326","  ","39632","  ","2457","  ","3188","  ","2959","  ","4162","  ","4947","  ","6571","  ","4315","  ","4383","  ","2652","  ","1497","  ","1389","  ","1114","  ","20844","  ","1186","  ","1189","  ","1642","  ","1957","  ","3193","  ","3091","  ","2436","  ","1783","  ","980","  ","1446","  ","844","  ","1097","  ",
"Massachusetts","19391","  ","13858","  ","15309","  ","9783","  ","9608","  ","156492","  ","9618","  ","8375","  ","13391","  ","16586","  ","23001","  ","22583","  ","14822","  ","15056","  ","11249","  ","7951","  ","6635","  ","7223","  ","133164","  ","6962","  ","8053","  ","13625","  ","13588","  ","16221","  ","18042","  ","13335","  ","11054","  ","10978","  ","5996","  ","7776","  ","7533","  ",
"Michigan","34679","  ","28888","  ","23610","  ","17683","  ","16995","  ","174770","  ","16664","  ","14519","  ","15441","  ","14817","  ","14732","  ","17544","  ","14362","  ","12526","  ","10626","  ","14651","  ","14668","  ","14221","  ","102166","  ","7830","  ","6682","  ","8239","  ","7666","  ","9310","  ","5695","  ","8945","  ","8488","  ","7345","  ","8355","  ","11162","  ","12448","  ",
"Minnesota","10827","  ","5915","  ","4593","  ","5321","  ","5506","  ","54054","  ","5725","  ","3113","  ","3400","  ","6416","  ","6314","  ","7274","  ","4664","  ","2150","  ","4395","  ","4687","  ","3496","  ","2419","  ","29496","  ","3207","  ","2183","  ","4382","  ","1583","  ","3165","  ","1842","  ","2505","  ","3479","  ","1190","  ","1368","  ","1573","  ","3020","  ",
"Mississippi","60560","  ","57062","  ","39398","  ","29722","  ","30838","  ","331496","  ","25574","  ","25741","  ","23923","  ","26810","  ","32206","  ","34848","  ","32210","  ","26239","  ","20086","  ","26796","  ","30519","  ","26543","  ","221910","  ","20002","  ","15661","  ","18827","  ","19071","  ","23299","  ","19467","  ","19950","  ","19704","  ","10866","  ","15665","  ","16299","  ","23099","  ",
"Missouri","5171","  ","5707","  ","5625","  ","2679","  ","2492","  ","40109","  ","2899","  ","2409","  ","1850","  ","3641","  ","5682","  ","6523","  ","4316","  ","1856","  ","2444","  ","0","W ","2992","  ","2715","  ","34825","  ","2440","  ","2557","  ","4105","  ","2910","  ","4405","  ","3880","  ","2539","  ","2872","  ","1591","  ","1902","  ","2320","  ","3306","  ",
"Montana","1548","  ","0","W ","1309","  ","732","  ","816","  ","7847","  ","777","  ","666","  ","714","  ","770","  ","803","  ","918","  ","705","  ","482","  ","498","  ","535","  ","0","W ","557","  ","6421","  ","0","W ","0","W ","0","W ","645","  ","795","  ","547","  ","0","W ","397","  ","0","W ","0","W ","607","  ","702","  ",
"Nebraska","208","  ","0","W ","185","  ","112","  ","97","  ","4634","  ","137","  ","160","  ","0","W ","505","  ","890","  ","1257","  ","686","  ","201","  ","242","  ","164","  ","0","W ","185","  ","4132","  ","270","  ","216","  ","318","  ","204","  ","630","  ","514","  ","308","  ","830","  ","510","  ","148","  ","88","  ","97","  ",
"Nevada","32189","  ","26034","  ","21416","  ","14466","  ","17722","  ","207145","  ","18135","  ","15282","  ","18088","  ","20109","  ","22904","  ","20722","  ","21244","  ","15320","  ","15970","  ","13336","  ","13116","  ","12919","  ","167916","  ","13781","  ","13019","  ","15972","  ","18338","  ","18893","  ","19953","  ","14240","  ","12229","  ","11006","  ","9071","  ","10119","  ","11297","  ",
"New Hampshire","3341","  ","5859","  ","988","  ","1145","  ","2196","  ","42673","  ","2706","  ","3795","  ","3375","  ","3922","  ","4622","  ","4211","  ","3618","  ","3865","  ","3308","  ","3393","  ","2236","  ","3622","  ","31240","  ","3040","  ","1982","  ","3500","  ","3344","  ","3286","  ","3971","  ","2843","  ","2973","  ","3350","  ","1961","  ","406","  ","582","  ",
"New Jersey","46015","  ","38187","  ","33234","  ","21592","  ","24423","  ","290843","  ","23354","  ","24504","  ","24677","  ","29675","  ","29355","  ","30618","  ","24861","  ","24474","  ","18160","  ","22976","  ","18435","  ","19752","  ","245464","  ","21092","  ","20833","  ","20729","  ","23199","  ","24388","  ","28273","  ","22840","  ","17667","  ","15072","  ","18137","  ","17235","  ","15999","  ",
"New Mexico","12747","  ","12142","  ","10500","  ","5881","  ","6866","  ","77947","  ","6933","  ","5581","  ","6330","  ","6895","  ","8798","  ","8114","  ","6787","  ","4441","  ","5744","  ","6183","  ","5514","  ","6628","  ","75726","  ","6678","  ","5995","  ","5241","  ","5982","  ","8440","  ","7574","  ","7110","  ","6452","  ","5934","  ","5821","  ","4803","  ","5696","  ",
"New York","65522","  ","64824","  ","66639","  ","30569","  ","34953","  ","475658","  ","31355","  ","33652","  ","39937","  ","49022","  ","54763","  ","54290","  ","40290","  ","38846","  ","29269","  ","39410","  ","29469","  ","35355","  ","453223","  ","35391","  ","32754","  ","35414","  ","43200","  ","47876","  ","51645","  ","43424","  ","32640","  ","28998","  ","35243","  ","33403","  ","33236","  ",
"North Carolina","48089","  ","42067","  ","26562","  ","24806","  ","23283","  ","268925","  ","22474","  ","22200","  ","19195","  ","23579","  ","24881","  ","25946","  ","26406","  ","23825","  ","19201","  ","19153","  ","20073","  ","21994","  ","206226","  ","21194","  ","16980","  ","12618","  ","19655","  ","20625","  ","20934","  ","20928","  ","16592","  ","15371","  ","14767","  ","8697","  ","17864","  ",
"North Dakota","789","  ","0","W ","0","--","407","  ","382","  ","3671","  ","0","W ","0","W ","0","W ","433","  ","492","  ","497","  ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","40","  ","6","  ","11","  ","6","  ","16","  ","0","*","1","  ","0","*","0","--","0","--","0","--","0","--","0","--",
"Ohio","39280","  ","39055","  ","28965","  ","19365","  ","19915","  ","210460","  ","17199","  ","15918","  ","13838","  ","17928","  ","19618","  ","20417","  ","18226","  ","15180","  ","13132","  ","19948","  ","19594","  ","19461","  ","175466","  ","17320","  ","11575","  ","9366","  ","16927","  ","19112","  ","16116","  ","15086","  ","13830","  ","11416","  ","15755","  ","13464","  ","15500","  ",
"Oklahoma","37796","  ","41402","  ","40882","  ","16047","  ","21749","  ","254706","  ","23024","  ","20482","  ","16289","  ","20143","  ","27950","  ","30396","  ","22126","  ","17107","  ","16903","  ","18885","  ","20710","  ","20692","  ","207993","  ","16076","  ","12743","  ","15052","  ","15627","  ","25973","  ","21179","  ","16847","  ","14549","  ","15659","  ","13405","  ","20372","  ","20510","  ",
"Oregon","19725","  ","11751","  ","22068","  ","9351","  ","10374","  ","113988","  ","11609","  ","11382","  ","10746","  ","11754","  ","11616","  ","12013","  ","10573","  ","8295","  ","8202","  ","6047","  ","3597","  ","8155","  ","90099","  ","8606","  ","9288","  ","9791","  ","11052","  ","10644","  ","8113","  ","2539","  ","2792","  ","2325","  ","2882","  ","10405","  ","11663","  ",
"Pennsylvania","71271","  ","58758","  ","52774","  ","35495","  ","35776","  ","439248","  ","35621","  ","36071","  ","38145","  ","39738","  ","47480","  ","47934","  ","38101","  ","31222","  ","31691","  ","34488","  ","26179","  ","32578","  ","390816","  ","33889","  ","27541","  ","39413","  ","38115","  ","40817","  ","41600","  ","36271","  ","29586","  ","22702","  ","28109","  ","24846","  ","27928","  ",
"Rhode Island","4975","  ","3872","  ","4393","  ","2533","  ","2443","  ","50110","  ","3081","  ","4334","  ","3864","  ","3507","  ","7037","  ","6902","  ","6135","  ","5728","  ","2475","  ","3176","  ","1716","  ","2157","  ","44852","  ","2877","  ","2592","  ","4151","  ","5355","  ","5623","  ","5886","  ","4894","  ","3650","  ","3517","  ","1915","  ","1843","  ","2550","  ",
"South Carolina","17315","  ","14267","  ","11568","  ","7772","  ","9544","  ","135239","  ","11601","  ","13955","  ","12777","  ","11768","  ","13664","  ","14943","  ","14514","  ","9903","  ","9540","  ","8308","  ","7075","  ","7192","  ","88861","  ","6232","  ","5949","  ","6421","  ","6826","  ","9345","  ","10247","  ","8611","  ","9060","  ","7821","  ","6781","  ","4535","  ","7033","  ",
"South Dakota","1160","  ","1012","  ","371","  ","625","  ","535","  ","7083","  ","656","  ","521","  ","396","  ","519","  ","943","  ","1216","  ","769","  ","572","  ","332","  ","0","W ","495","  ","516","  ","3189","  ","535","  ","284","  ","148","  ","25","  ","578","  ","613","  ","0","W ","315","  ","0","W ","0","W ","116","  ","255","  ",
"Tennessee","12691","  ","11667","  ","7958","  ","6331","  ","6360","  ","69830","  ","6156","  ","5458","  ","4574","  ","6133","  ","6002","  ","7594","  ","7026","  ","6508","  ","4485","  ","4226","  ","6914","  ","4753","  ","45019","  ","3139","  ","4114","  ","2552","  ","3548","  ","5253","  ","4635","  ","5280","  ","4947","  ","2127","  ","1464","  ","1771","  ","6188","  ",
"Texas","229850","  ","244101","  ","202527","  ","105622","  ","124228","  ","1646330","  ","123103","  ","110207","  ","131222","  ","151139","  ","185654","  ","181401","  ","147288","  ","124315","  ","118966","  ","128933","  ","115697","  ","128404","  ","1427565","  ","107682","  ","100792","  ","118224","  ","135232","  ","172019","  ","151899","  ","132478","  ","112247","  ","99900","  ","94565","  ","94522","  ","108004","  ",
"Utah","8807","  ","7437","  ","8511","  ","4079","  ","4727","  ","55797","  ","5002","  ","4575","  ","4387","  ","5171","  ","6238","  ","5768","  ","5443","  ","4572","  ","3905","  ","3298","  ","3411","  ","4026","  ","58499","  ","4710","  ","4952","  ","5028","  ","5242","  ","6218","  ","6766","  ","5672","  ","3946","  ","3471","  ","3983","  ","3979","  ","4532","  ",
"Vermont","0","*","7","  ","7","  ","0","--","0","*","19","  ","1","  ","1","  ","0","*","1","  ","0","*","0","*","1","  ","6","  ","0","*","1","  ","2","  ","5","  ","36","  ","4","  ","3","  ","3","  ","3","  ","3","  ","3","  ","3","  ","2","  ","1","  ","4","  ","3","  ","4","  ",
"Virginia","45885","  ","35314","  ","26935","  ","22761","  ","23125","  ","243116","  ","22839","  ","16558","  ","11752","  ","22109","  ","26163","  ","29071","  ","26215","  ","22115","  ","12719","  ","18261","  ","17633","  ","17681","  ","158672","  ","12101","  ","10330","  ","7553","  ","15110","  ","15625","  ","17061","  ","16005","  ","15339","  ","10019","  ","12595","  ","13540","  ","13395","  ",
"Washington","17248","  ","7254","  ","17454","  ","7407","  ","9841","  ","97300","  ","9481","  ","10383","  ","11239","  ","10914","  ","10802","  ","12265","  ","9569","  ","6016","  ","4616","  ","4762","  ","2245","  ","5010","  ","84950","  ","6669","  ","6501","  ","9741","  ","11677","  ","11956","  ","8020","  ","2648","  ","2966","  ","2887","  ","4431","  ","8090","  ","9364","  ",
"West Virginia","455","  ","696","  ","1780","  ","236","  ","219","  ","13277","  ","522","  ","765","  ","1541","  ","1742","  ","1873","  ","2142","  ","1614","  ","1213","  ","806","  ","362","  ","436","  ","260","  ","6816","  ","235","  ","333","  ","1283","  ","742","  ","669","  ","609","  ","358","  ","250","  ","76","  ","481","  ","725","  ","1055","  ",
"Wisconsin","20607","  ","16447","  ","8972","  ","10342","  ","10264","  ","101211","  ","9879","  ","7700","  ","7455","  ","9104","  ","8982","  ","11015","  ","8205","  ","7133","  ","6523","  ","8768","  ","8652","  ","7795","  ","59808","  ","5162","  ","5775","  ","7126","  ","4180","  ","5994","  ","4384","  ","4595","  ","6022","  ","4066","  ","3531","  ","4145","  ","4827","  ",
"Wyoming","0","W ","0","W ","0","W ","0","W ","0","W ","706","  ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ","0","W ",
" Total","1468532","  ","1364821","  ","1211998","  ","692006","  ","776525","R","9671095","  ","771355","  ","737310","  ","797631","  ","901839","  ","1034595","  ","1053747","  ","893343","  ","738628","  ","668471","  ","709358","  ","650586","  ","714235","  ","8149111","  ","635681","  ","601343","  ","703664","  ","772831","  ","898713","  ","843963","  ","724035","  ","647650","  ","550345","  ","558887","  ","548988","  ","663010","  ",
