BLDGID2  ,STR402   ,PAIR402  ,SQFTC2   ,BCWM2C   ,YRCONC2C ,REGION2  ,XSECWT2  ,ELSUPL2N ,NGSUPL2N ,FKSUPL2N ,STSUPL2N ,PRSUPL2N ,SQFT1T   ,SQFTC1T  ,HEATP1T  ,COOLP1T  ,ELUSED1T ,NGUSED1T ,FKUSED1T ,STUSED1T ,CWUSED1T ,COUSED1T ,PRUSED1T ,HWUSED1T ,WOUSED1T ,SOUSED1T ,NFLOOR1T ,YRCON1T  ,YRCONC1T ,BCWM1T   ,GLASP1T  ,GLASPC1T ,GLASS1T  ,NTANKS1T ,TOTCAP1T ,IMPSF1T  ,IMPNOF1T ,IMPYR1T  ,IMPYRC1T ,IMPPG1T  ,IMPPGC1T ,IMPNFT1T ,IMPCAP1T ,LONGWT2  
00041 ,32 ,2 ,09 ,11 ,08 ,3 ,2.84 ,1 ,2 ,1 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00042 ,25 ,2 ,04 ,07 ,08 ,3 ,23.82 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00043 ,32 ,1 ,01 ,04 ,05 ,3 ,3633.48 ,1 ,2 ,2 ,2 ,2 ,180 ,01 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,9999 ,05 ,09 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3633.48
00044 ,25 ,2 ,06 ,09 ,04 ,3 ,222.88 ,1 ,2 ,2 ,2 ,2 ,77000 ,06 ,4 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1958 ,04 ,09 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,222.88
00045 ,07 ,2 ,04 ,15 ,07 ,1 ,112.6 ,1 ,2 ,1 ,2 ,2 ,24750 ,04 ,100 ,10 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1974 ,07 ,15 ,2 ,3 ,2 ,1 ,12000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,112.6
00046 ,16 ,2 ,03 ,04 ,04 ,4 ,1276.92 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00047 ,11 ,1 ,07 ,11 ,08 ,4 ,25.11 ,1 ,1 ,1 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00048 ,20 ,1 ,05 ,15 ,04 ,4 ,500 ,1 ,1 ,2 ,2 ,2 ,9900 ,03 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1959 ,04 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,500
00049 ,22 ,1 ,04 ,07 ,06 ,4 ,500 ,1 ,1 ,2 ,2 ,1 ,21250 ,04 ,30 ,30 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1973 ,06 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,500
00050 ,14 ,1 ,01 ,09 ,04 ,1 ,1758.83 ,1 ,2 ,1 ,2 ,2 ,720 ,01 ,100 ,100 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,04 ,09 ,2 ,4 ,2 ,1 ,250 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1758.83
