"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"Nigeria","6,273","–","–","216","–","–","–","–","906","906","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,122","7,395","209","37","247"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","266","–","266","266","–","9","9"
"Saudi Arabia","30,005","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","71","–","–","–","–","–","–","–","–","–","–","–","71","30,076","1,000","2","1,003"
"United Arab Emirates","785","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","–","–","–","–","–","–","–","–","–","–","–","36","821","26","1","27"
"Venezuela","23,918","–","–","–","–","–","–","–","544","544","–","–","–","–","–","–","–","–","–","–","–","–","–","–","73","–","–","–","689","689","–","–","–","–","137","–","–","1,443","25,361","797","48","845"
"Non-OPEC","144,337","4","5,697","10,794","–","1,881","1,881","6,229","12,212","18,441","378","44","–","1,529","511","–","2,665","341","941","389","4,336","67","1","–","4,556","470","868","402","5,699","6,969","538","68","112","204","661","757","2","58,032","202,369","4,811","1,934","6,746"
"Argentina","722","–","–","–","–","–","–","–","–","–","15","–","–","1,144","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","1,160","1,882","24","39","63"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","–","–","68","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","68","68","–","2","2"
"Bahamas","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","54","–","54","54","–","2","2"
"Belgium","–","–","–","802","–","–","–","–","110","110","224","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3","–","1,139","1,139","–","38","38"
"Brazil","4,932","–","–","–","–","–","–","–","380","380","–","44","–","–","–","–","–","–","254","–","254","–","–","–","–","22","–","–","28","28","–","–","–","–","–","–","–","728","5,660","164","24","189"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","145","–","–","145","–","–","–","–","–","–","–","145","145","–","5","5"
"Canada","106,693","4","5,629","–","–","986","986","2,117","1,235","3,352","–","–","–","175","–","–","1,673","41","248","–","1,962","–","1","–","151","179","–","84","1,182","1,266","83","56","72","46","629","328","2","14,932","121,625","3,556","498","4,054"
"Chad","947","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","947","32","–","32"
"China","–","–","–","–","–","–","–","–","28","28","–","–","–","–","–","–","386","–","–","–","386","–","–","–","314","–","–","–","–","–","–","–","13","–","–","–","–","741","741","–","25","25"
"Colombia","9,438","–","–","–","–","–","–","–","650","650","–","–","–","–","–","–","–","300","–","300","600","–","–","–","–","–","–","–","365","365","–","–","–","–","–","–","–","1,615","11,053","315","54","368"
"Congo (Brazzaville)","–","–","–","–","–","–","–","–","49","49","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","49","49","–","2","2"
"Denmark","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Egypt","524","–","–","–","–","–","–","–","190","190","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","190","714","17","6","24"
"Equatorial Guinea","432","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","432","14","–","14"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","–","–","140","140","96","755","851","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","991","991","–","33","33"
"France","–","–","–","106","–","36","36","601","24","625","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","–","–","–","6","–","785","785","–","26","26"
"Germany","–","–","–","–","–","–","–","41","–","41","53","–","–","142","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","14","–","251","251","–","8","8"
"Guatemala","278","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","278","9","–","9"
"India","–","–","–","–","–","–","–","–","697","697","–","–","–","–","–","–","310","–","–","89","399","–","–","–","240","–","–","–","–","–","–","–","–","–","–","–","–","1,336","1,336","–","45","45"
"Italy","–","–","–","–","–","–","–","–","572","572","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","7","–","580","580","–","19","19"
"Korea, South","–","–","–","575","–","–","–","–","–","–","–","–","–","68","–","–","–","–","–","–","–","–","–","–","3,514","179","–","–","–","–","–","–","–","–","–","255","–","4,591","4,591","–","153","153"
"Latvia","–","–","–","–","–","–","–","–","100","100","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","100","100","–","3","3"
"Lithuania","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Malaysia","–","–","–","562","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","22","–","–","–","–","–","–","–","1","–","–","–","–","585","585","–","20","20"
"Mexico","18,675","–","–","65","–","–","–","–","567","567","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,294","1,294","317","–","–","–","–","–","–","2,243","20,918","623","75","697"
"Netherlands","–","–","–","65","–","–","–","1,525","336","1,861","77","–","–","–","–","–","–","–","30","–","30","–","–","–","–","–","–","–","178","178","15","–","–","–","–","–","–","2,226","2,226","–","74","74"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","–","–","–","–","–","–","–","49","1,079","1,128","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,128","1,128","–","38","38"
"Oman","597","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","597","20","–","20"
"Portugal","–","–","–","–","–","282","282","–","285","285","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","567","567","–","19","19"
"Russia","–","–","–","7,347","–","–","–","112","1,957","2,069","–","–","–","–","–","–","296","–","409","–","705","–","–","–","–","–","469","266","1,705","2,440","–","–","–","–","–","–","–","12,561","12,561","–","419","419"
"Spain","–","–","–","196","–","241","241","–","1,024","1,024","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","31","–","1,492","1,492","–","50","50"
"Sweden","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","317","317","–","–","–","2","–","–","–","319","319","–","11","11"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","361","–","–","–","–","144","144","–","35","35","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","325","325","–","–","–","–","–","–","–","504","865","12","17","29"
"United Kingdom","540","–","–","405","–","–","–","1,688","1,179","2,867","9","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","76","–","–","156","–","47","–","3,560","4,100","18","119","137"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","198","0","0","671","–","52","52","0","960","960","0","0","–","0","511","–","0","0","0","0","0","67","0","–","315","90","254","52","305","611","47","0","25","0","32","11","0","3,392","3,590","7","110","118"
"Total","241,606","4","5,697","16,382","–","1,881","1,881","6,229","13,662","19,891","378","44","–","2,184","511","–","2,665","341","941","389","4,336","67","1","–","4,687","541","868","493","6,388","7,749","1,170","68","112","204","798","1,046","2","67,765","309,371","8,054","2,259","10,312"
"Persian Gulf","50,065","–","–","598","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","71","–","–","–","–","–","–","–","–","–","320","–","1,025","51,090","1,669","34","1,703"
