"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"Nicaragua","–","–","–","–","–","70","70","–","–","–","–","–","–","1","–","–","0","155","–","–","155","0","–","–","–","–","–","–","–","–","–","–","5","–","232","232","–","8","8"
"Nigeria","–","–","–","0","–","519","519","–","–","–","–","–","54","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","575","575","–","19","19"
"Norway","–","–","315","–","–","–","–","–","–","–","–","–","–","–","–","–","397","–","–","–","397","210","–","–","–","–","–","–","–","0","58","0","0","–","981","981","–","33","33"
"Pakistan","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","1","–","1","1","–","0","0"
"Panama","–","–","137","0","–","558","558","–","–","–","–","–","–","–","–","–","1,071","265","241","–","1,577","1","–","–","500","–","325","–","–","–","–","36","24","–","3,157","3,157","–","105","105"
"Peru","350","–","59","0","–","758","758","–","–","–","–","0","121","29","–","–","1,442","–","–","–","1,442","–","–","–","380","–","–","–","–","0","0","0","69","0","2,858","3,208","12","95","107"
"Philippines","–","–","1","0","–","–","–","–","–","–","–","–","1","–","–","–","–","1","–","–","1","–","–","–","–","–","–","–","–","0","–","–","1","–","4","4","–","0","0"
"Portugal","–","–","550","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","550","550","–","18","18"
"Puerto Rico","–","0","0","0","–","2","2","–","–","–","–","0","1","–","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","0","–","0","10","–","14","14","–","0","0"
"Romania","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","330","–","–","–","330","–","–","–","–","–","–","–","–","0","–","–","0","–","330","330","–","11","11"
"Saudi Arabia","–","–","–","3","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","8","–","1","–","13","13","–","0","0"
"Serbia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Singapore","242","–","2,250","371","–","–","–","–","–","–","–","0","2","–","–","–","251","–","87","–","338","0","–","–","–","–","3,448","–","–","0","–","–","2","–","6,411","6,653","8","214","222"
"South Africa","–","–","717","–","–","8","8","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","53","–","778","778","–","26","26"
"Spain","–","–","301","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","640","–","–","1","1,061","–","1","–","2,003","2,003","–","67","67"
"Switzerland","–","–","1,128","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","1,128","1,128","–","38","38"
"Taiwan","–","0","–","325","–","1","1","–","–","–","0","0","1","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","1","4","0","333","333","–","11","11"
"Thailand","325","0","–","0","–","–","–","–","0","0","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","0","1","3","1","5","330","11","0","11"
"Trinidad and Tobago","–","0","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","–","–","–","0","–","4","–","5","5","–","0","0"
"Turkey","–","–","–","0","–","–","–","–","–","–","–","–","22","–","–","–","1","–","–","–","1","0","–","–","–","–","–","–","–","0","1,995","–","8","–","2,026","2,026","–","68","68"
"United Arab Emirates","–","0","–","0","–","477","477","–","–","–","–","–","0","–","–","–","–","–","–","–","–","0","–","–","–","–","356","–","–","0","0","–","30","–","864","864","–","29","29"
"United Kingdom","491","–","276","0","–","0","0","–","–","–","–","0","0","–","–","–","401","–","–","–","401","–","–","–","200","–","0","–","–","0","–","0","1","0","879","1,370","16","29","46"
"Venezuela","–","0","–","1,317","–","1,087","1,087","–","322","322","507","–","–","–","–","–","1,386","281","–","–","1,667","–","–","–","–","–","–","–","–","–","206","–","5","–","5,111","5,111","–","170","170"
"Other","–","3","733","4","–","576","576","–","4","3","17","–","3","–","–","–","1,373","306","686","–","2,366","1","–","–","39","–","437","–","–","4","115","5","100","1","4,399","4,402","0","149","146"
"Total","17,916","4,957","32,864","7,811","–","24,854","24,854","2","2,557","2,559","1,245","672","2,904","152","–","–","30,070","2,741","1,810","–","34,621","255","–","–","5,881","–","8,730","–","–","144","13,394","424","2,349","20","143,837","161,754","597","4,795","5,392"
