"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"Norway","–","–","–","–","–","–","–","49","1,079","1,128","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,128","1,128","–","38","38"
"Oman","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Portugal","–","–","–","–","–","282","282","–","285","285","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","567","567","–","19","19"
"Russia","–","–","–","512","–","–","–","112","1,957","2,069","–","–","–","–","–","–","296","–","–","–","296","–","–","–","–","–","–","–","80","80","–","–","–","–","–","–","–","2,957","2,957","–","99","99"
"Spain","–","–","–","196","–","241","241","–","1,024","1,024","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,461","1,461","–","49","49"
"Sweden","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","317","317","–","–","–","–","–","–","–","317","317","–","11","11"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","–","–","–","–","–","144","144","–","35","35","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","325","325","–","–","–","–","–","–","–","504","504","–","17","17"
"United Kingdom","540","–","–","172","–","–","–","1,688","1,179","2,867","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,039","3,579","18","101","119"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","0","–","0","219","–","52","52","0","635","635","–","–","–","0","–","–","0","300","0","0","0","67","0","–","0","–","0","–","79","79","–","–","23","0","32","0","–","1,107","1,107","0","36","35"
"Total","27,529","–","1,382","1,707","–","1,862","1,862","6,229","11,635","17,864","–","–","–","1,327","–","–","2,423","341","247","389","3,400","67","1","–","1,004","–","145","–","2,370","2,515","–","–","92","1","509","131","–","31,862","59,391","918","1,062","1,980"
"Persian Gulf","3,591","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,591","120","–","120"
