"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"China","6,313","8","38,207","3,265","–","388","388","0","507","507","45","1","4,266","0","–","–","10","0","–","–","10","5","–","–","1","–","386","–","–","53","13,745","93","780","6","61,765","68,078","19","184","203"
"Colombia","3,514","8","2","14,812","–","8,318","8,318","0","419","419","–","0","43","–","–","–","21,143","92","–","–","21,235","2","–","–","647","–","0","–","–","4","1","32","1,088","4","46,616","50,131","10","139","150"
"Costa Rica","–","1","1,372","194","–","4,564","4,564","0","2,344","2,344","22","0","2","–","–","–","7,477","–","0","–","7,477","1","–","–","1,524","–","216","–","–","1","559","157","202","1","18,636","18,636","–","56","56"
"Denmark","–","0","–","–","–","–","–","–","0","0","–","–","–","–","–","–","142","50","131","–","323","–","–","–","660","–","173","–","–","0","895","–","1","–","2,053","2,053","–","6","6"
"Dominican Republic","298","2","9,113","192","–","4,579","4,579","0","100","101","–","–","3","–","–","–","5,559","322","734","–","6,615","13","–","–","1,694","–","563","–","–","1","1,598","512","245","1","25,230","25,529","1","75","76"
"Ecuador","–","0","8,477","27","–","7,795","7,795","0","1,295","1,295","–","0","1","76","–","–","9,066","2,305","2,711","–","14,081","–","–","–","25","–","2,143","–","–","2","1,203","1","449","0","35,575","35,575","–","106","106"
"Egypt","–","–","0","0","–","–","–","–","–","–","–","–","1","–","–","–","440","–","–","–","440","0","–","–","–","–","4,539","–","–","1","3,980","–","42","0","9,003","9,003","–","27","27"
"El Salvador","–","1","2,644","3","–","3,806","3,806","0","54","54","–","–","0","–","–","–","258","1,663","464","–","2,385","0","–","–","153","–","578","–","–","1","147","–","251","0","10,022","10,022","–","30","30"
"Finland","–","–","–","0","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","39","–","–","1,436","–","–","–","–","–","–","0","16","–","1,491","1,491","–","4","4"
"France","2,375","137","4,514","4,066","–","1","1","26","251","277","11","2","0","–","–","–","19,273","–","–","–","19,273","–","–","–","30","–","–","–","–","14","1,015","0","613","0","29,954","32,329","7","89","97"
"Germany","–","0","–","38","–","2","2","0","1","1","0","0","1","–","–","–","1,328","–","–","–","1,328","0","–","–","1","–","2","–","–","17","2","10","713","4","2,119","2,119","–","6","6"
"Ghana","–","–","2,070","0","–","–","–","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","1","–","–","–","–","0","–","–","3","–","2,073","2,073","–","6","6"
"Gibraltar","–","–","936","–","–","299","299","–","300","300","–","–","–","–","–","–","12,087","1,104","653","–","13,844","–","–","–","1,992","–","3,187","–","–","–","–","–","249","–","20,807","20,807","–","62","62"
"Greece","–","–","1","15","–","1","1","–","–","–","–","–","0","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","3,183","–","3","–","3,203","3,203","–","10","10"
"Guatemala","–","14","3,959","119","–","10,609","10,609","0","496","496","–","0","0","–","–","–","5,699","5,253","96","–","11,048","138","–","–","1,163","–","1,028","–","–","0","1,292","26","198","–","30,091","30,091","–","90","90"
"Honduras","–","4","2,848","10","–","3,939","3,939","–","149","149","–","–","–","–","–","–","2,164","2,622","142","–","4,928","1","–","–","687","–","3,620","–","–","0","945","118","115","–","17,365","17,365","–","52","52"
"Hong Kong","–","0","7","5","–","8","8","–","0","0","–","0","0","–","–","–","1","–","–","–","1","0","–","–","0","–","0","–","–","4","0","0","29","2","56","56","–","0","0"
"India","–","1","1","112","–","–","–","–","0","0","0","1","1,937","–","–","–","1","0","0","–","1","0","–","–","–","–","155","–","–","13","44,497","10","361","2","47,090","47,090","–","141","141"
"Indonesia","–","0","550","37","–","–","–","–","0","0","–","0","0","0","–","–","3","–","–","–","3","–","–","–","–","–","–","–","–","1","0","9","40","1","641","641","–","2","2"
"Ireland","–","–","–","–","–","1","1","–","0","0","0","0","2","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","897","–","0","–","901","901","–","3","3"
"Israel","770","0","4","14","–","13","13","–","0","0","0","0","1","–","–","–","174","–","–","–","174","1","–","–","2,161","–","–","–","–","0","1,166","–","31","0","3,568","4,338","2","11","13"
"Italy","7,153","–","–","2,282","–","0","0","–","–","–","–","0","0","–","–","–","1,273","–","–","–","1,273","–","–","–","–","–","0","–","–","2","5,457","1","172","3","9,190","16,343","21","27","49"
"Jamaica","–","1","665","1","–","14","14","–","0","0","–","–","338","–","–","–","1,666","55","379","–","2,100","0","–","–","205","–","3,375","–","–","–","–","1","167","1","6,869","6,869","–","21","21"
"Japan","2,885","0","46,383","1,098","–","10","10","2","2","4","–","9,273","4","–","–","–","4","–","–","–","4","0","–","–","2","–","0","–","–","14","18,893","6","174","39","75,904","78,788","9","227","235"
"Korea, South","3,894","1","28,437","1,202","–","6","6","0","1","1","33","1","855","1","–","–","486","–","–","–","486","2","–","–","0","–","0","–","–","4","1,697","23","95","7","32,849","36,744","12","98","110"
"Lebanon","–","–","–","–","–","–","–","–","–","0","–","0","1","–","–","–","0","–","–","–","0","0","–","–","–","–","4,832","–","–","0","1,276","0","12","–","6,121","6,121","–","18","18"
"Mexico","–","316","39,132","3,423","–","104,848","104,848","12","25,669","25,681","8,147","12","646","109","–","–","56,832","1,193","54","–","58,079","96","–","–","10,866","–","9,187","–","–","109","17,217","1,662","4,787","252","284,570","284,570","–","849","849"
"Montenegro","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","0","0","–","0","0"
"Morocco","–","–","3,535","53","–","0","0","–","–","–","–","–","0","–","–","–","1,469","–","–","–","1,469","–","–","–","0","–","917","–","–","0","4,898","–","1","–","10,874","10,874","–","32","32"
"Mozambique","–","–","693","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","715","–","0","–","1,408","1,408","–","4","4"
"Netherlands","12,894","363","21,051","6,436","–","2,560","2,560","–","1,310","1,310","27","0","173","64","–","–","30,759","2,663","4,102","–","37,524","3","–","–","2,320","–","8,253","–","–","25","3,452","40","617","18","84,238","97,131","38","251","290"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"New Zealand","–","–","3","0","–","1","1","1","–","1","–","0","0","–","–","–","0","–","–","–","0","0","–","–","–","–","0","–","–","0","561","1","10","–","578","578","–","2","2"
"Nicaragua","1,160","2","–","162","–","256","256","–","–","–","–","–","0","5","–","–","375","155","0","–","530","0","–","–","0","–","170","–","–","–","0","23","184","–","1,332","2,493","3","4","7"
"Nigeria","–","0","–","1","–","843","843","–","–","–","–","0","384","0","–","–","–","–","–","–","–","306","–","–","181","–","–","–","–","–","209","0","380","–","2,305","2,305","–","7","7"
"Norway","–","0","6,138","–","–","1","1","0","–","0","–","0","30","–","–","–","1,286","308","–","–","1,593","210","–","–","300","–","–","–","–","1","868","3","4","–","9,149","9,149","–","27","27"
"Pakistan","–","–","–","0","–","1","1","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","439","2","11","0","453","453","–","1","1"
"Panama","1,150","0","2,705","324","–","7,885","7,885","–","132","132","–","0","0","–","–","–","11,202","3,696","744","–","15,642","2","–","–","5,083","–","4,382","–","–","0","645","278","218","0","37,295","38,445","3","111","115"
"Peru","1,890","3","698","939","–","3,115","3,115","–","1,037","1,037","–","0","858","140","–","–","19,343","–","–","–","19,343","0","–","–","1,307","–","330","–","–","1","696","0","737","1","29,207","31,096","6","87","93"
"Philippines","–","–","1","5","–","0","0","–","0","0","–","0","1,204","–","–","–","–","2","–","–","2","–","–","–","–","–","–","–","–","1","0","–","28","2","1,243","1,243","–","4","4"
"Portugal","–","–","2,858","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","413","–","1","–","3,273","3,273","–","10","10"
"Puerto Rico","–","3","6","5","–","34","34","0","3","3","0","2","14","–","–","–","3","1","–","–","4","1","–","–","0","–","90","–","–","1","–","2","137","0","302","302","–","1","1"
"Romania","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","899","–","–","–","899","–","–","–","–","–","–","–","–","0","784","–","1","–","1,684","1,684","–","5","5"
"Saudi Arabia","–","0","9","42","–","500","500","0","0","0","0","0","97","–","–","–","0","–","–","–","0","1","–","–","0","–","0","–","–","1","502","0","80","0","1,233","1,233","–","4","4"
"Serbia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Singapore","3,870","3","14,012","1,723","–","2,678","2,678","–","0","0","0","7","223","0","–","–","1,472","88","1,814","–","3,374","1","–","–","0","–","23,147","–","–","1","275","1","227","0","45,672","49,542","12","136","148"
"South Africa","1,003","–","839","0","–","8","8","–","–","–","–","0","–","–","–","–","–","–","–","–","–","1","–","–","10","–","331","–","–","1","371","1","471","0","2,033","3,036","3","6","9"
"Spain","1,631","0","4,715","2,105","–","1,031","1,031","–","0","0","–","0","0","–","–","–","1,311","315","–","–","1,625","–","–","–","550","–","1,304","–","–","3","10,039","215","12","0","21,599","23,230","5","64","69"
"Switzerland","1,738","0","2,216","920","–","–","–","–","–","–","–","–","–","2","–","–","1,177","324","–","–","1,501","–","–","–","0","–","–","–","–","0","–","1","1","0","4,640","6,377","5","14","19"
"Taiwan","–","16","579","346","–","2","2","–","0","0","133","0","8","–","–","–","0","–","–","–","0","–","–","–","0","–","0","–","–","12","533","5","47","2","1,684","1,684","–","5","5"
"Thailand","728","0","0","10","–","–","–","–","0","0","–","0","–","–","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","9","606","13","42","3","685","1,413","2","2","4"
"Trinidad and Tobago","–","2","0","37","–","1","1","–","0","0","–","0","1","0","–","–","0","–","–","–","0","0","–","–","1","–","0","–","–","0","5","0","117","0","165","165","–","0","0"
"Turkey","–","2","2,742","267","–","0","0","–","–","–","–","0","22","–","–","–","1","–","–","–","1","0","–","–","–","–","–","–","–","0","18,430","1","71","0","21,539","21,539","–","64","64"
"United Arab Emirates","–","1","0","4","–","1,418","1,418","–","0","0","–","0","479","0","–","–","0","–","0","–","0","2","–","–","0","–","2,668","–","–","0","428","1","279","0","5,281","5,281","–","16","16"
"United Kingdom","4,653","0","4,794","321","–","12","12","0","0","0","–","1","10","–","–","–","14,184","350","–","–","14,535","–","–","–","3,679","–","1,527","–","–","3","1,591","4","47","3","26,527","31,180","14","79","93"
"Venezuela","–","1","154","8,732","–","4,325","4,325","–","938","938","3,710","–","–","–","–","–","5,038","281","275","–","5,594","0","–","–","1","–","–","–","–","0","452","0","674","0","24,582","24,582","–","73","73"
"Other","12,249","22","11,647","514","–","5,719","5,719","4","130","133","123","4","80","2","–","–","10,840","2,218","5,278","–","18,337","7","–","–","4,218","–","6,575","–","–","3","4,900","672","1,293","11","54,234","66,481","36","164","199"
"Total","176,561","67,172","327,232","76,479","–","202,292","202,292","48","44,547","44,595","14,716","9,313","22,577","2,012","–","–","337,190","37,797","23,080","–","398,066","3,270","–","–","58,388","–","97,854","–","–","1,180","194,289","6,889","26,140","426","1,552,890","1,729,450","527","4,635","5,163"
