"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Military","–","–","–","–","41","93","134","198","1,199","136","70","–","1,603","55","789","2,581"
"Kerosene","43","6","49","93","–","–","93","-5","1","-46","21","–","-29","–","-2","111"
"Distillate Fuel Oil","10,110","775","10,885","17,888","5,557","9,782","33,227","6,105","38,740","34,687","2,311","1,308","83,151","6,704","16,124","150,091"
"15 ppm sulfur and under","9,350","665","10,015","17,985","5,384","9,900","33,269","6,141","36,618","29,225","2,194","1,308","75,486","6,625","15,526","140,921"
"Greater than 15 ppm to 500 ppm sulfur","6","92","98","-150","72","1","-77","9","452","1,947","45","–","2,453","81","239","2,794"
"Greater than 500 ppm sulfur","754","18","772","53","101","-119","35","-45","1,670","3,515","72","–","5,212","-2","359","6,376"
"Residual Fuel Oil","1,507","6","1,513","1,081","370","101","1,552","241","3,029","4,221","-43","142","7,590","381","2,409","13,445"
"Less than 0.31 percent sulfur","301","6","307","–","99","–","99","181","–","795","–","–","976","252","–","1,634"
"0.31 to 1.00 percent sulfur","189","–","189","130","69","–","199","–","157","701","-43","21","836","11","793","2,028"
"Greater than 1.00 percent sulfur","1,017","–","1,017","951","202","101","1,254","60","2,872","2,725","–","121","5,778","118","1,616","9,783"
"Petrochemical Feedstocks","145","–","145","826","38","40","904","118","5,172","2,185","16","–","7,491","–","3","8,543"
"Naphtha for Petro. Feed. Use","145","–","145","596","38","–","634","126","3,602","970","16","–","4,714","–","3","5,496"
"Other Oils for Petro. Feed. Use","–","–","–","230","–","40","270","-8","1,570","1,215","–","–","2,777","–","–","3,047"
"Special Naphthas","–","23","23","33","–","13","46","77","573","–","180","–","830","–","36","935"
"Lubricants","215","194","409","–","–","257","257","29","1,819","1,595","863","–","4,306","–","97","5,069"
"Naphthenic","–","–","–","–","–","–","–","29","65","–","656","–","750","–","108","858"
"Paraffinic","215","194","409","–","–","257","257","–","1,754","1,595","207","–","3,556","–","-11","4,211"
"Waxes","–","9","9","–","–","34","34","–","35","39","33","–","107","–","–","150"
"Petroleum Coke","1,220","16","1,236","3,772","835","920","5,527","397","8,997","6,219","137","69","15,819","836","4,295","27,713"
"Marketable","522","–","522","2,805","670","737","4,212","158","6,956","4,981","124","–","12,219","588","3,276","20,817"
"Catalyst","698","16","714","967","165","183","1,315","239","2,041","1,238","13","69","3,600","248","1,019","6,896"
"Asphalt and Road Oil","871","494","1,365","2,594","680","489","3,763","204","287","740","868","-9","2,090","1,047","746","9,011"
"Still Gas","1,237","62","1,299","2,469","578","966","4,013","766","5,625","4,171","173","69","10,804","732","3,372","20,220"
"Miscellaneous Products","77","28","105","288","109","66","463","64","975","621","17","28","1,705","98","392","2,763"
"Fuel Use","–","–","–","–","–","–","–","–","–","–","–","–","–","–","68","68"
"Nonfuel Use","77","28","105","288","109","66","463","64","975","621","17","28","1,705","98","324","2,695"
"Total","19,397","2,702","22,099","41,997","10,822","16,389","69,208","12,939","96,681","80,192","5,303","2,322","197,437","15,880","43,239","347,863"
"Processing Gain(-) or Loss(+)","-1,523","19","-1,504","-4,131","-1,173","-1,233","-6,537","-859","-10,500","-7,207","-140","-67","-18,773","-957","-5,531","-33,302"
