"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"Qatar","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","9","–","9","9"
"Saudi Arabia","1,000","–","–","0","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","–","0","0","–","0","–","2","1,002"
"United Arab Emirates","26","0","–","0","–","-16","-16","–","–","–","–","–","0","–","–","–","–","–","–","–","–","0","–","–","1","–","-12","–","–","0","0","–","-1","–","-28","-1"
"Venezuela","797","0","–","-44","–","-36","-36","–","7","7","-17","–","–","–","–","–","-46","-9","–","–","-56","–","–","–","2","–","23","–","–","–","-7","5","0","–","-122","675"
"Non-OPEC","4,214","-165","-851","144","–","-671","-671","208","333","540","-12","-21","-95","46","17","–","-833","-71","-20","13","-911","-6","0","–","-44","16","-40","18","2","-1","-426","8","-50","-1","-2,502","1,712"
"Argentina","15","–","–","-6","–","-14","-14","–","–","–","1","0","–","38","–","–","-26","–","–","–","-26","–","–","–","–","–","–","–","–","0","0","0","0","0","-8","7"
"Aruba","–","–","-24","0","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","0","–","-24","-24"
"Australia","–","0","2","0","–","0","0","0","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","-8","0","0","0","-6","-6"
"Bahamas","-2","0","-1","0","–","-1","-1","–","0","0","-1","0","–","–","–","–","-9","–","-8","–","-17","0","–","–","0","–","–","–","–","–","–","0","0","–","-20","-22"
"Bahrain","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","2","2"
"Belgium","–","–","-8","27","–","–","–","–","4","4","7","0","0","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","-10","–","-11","0","8","8"
"Brazil","164","0","-18","-7","–","-39","-39","–","13","13","–","1","-40","–","–","–","-222","-2","8","–","-215","0","–","–","–","1","1","–","–","0","-17","0","-7","0","-328","-164"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","5","–","–","–","–","–","0","–","5","5"
"Canada","3,206","-163","93","-60","–","-3","-3","71","18","88","–","0","-20","2","–","–","56","-14","2","–","44","0","0","–","-41","6","4","3","2","-1","-8","17","3","0","-34","3,171"
"Chad","32","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","32"
"China","-76","0","-128","-39","–","-1","-1","–","1","1","0","0","-16","–","–","–","13","–","–","–","13","0","–","–","10","–","–","–","–","0","-29","0","-1","0","-190","-266"
"Colombia","298","0","0","-41","–","-46","-46","–","22","22","–","–","0","–","–","–","-35","10","–","10","-15","–","–","–","0","–","12","–","–","0","–","0","-1","0","-70","228"
"Denmark","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-6","–","0","–","-6","-6"
"Dominican Republic","–","–","-42","0","–","-12","-12","0","–","0","–","–","0","–","–","–","-13","–","–","–","-13","–","–","–","-17","–","–","–","–","0","-10","–","0","0","-94","-94"
"Equatorial Guinea","14","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","0","–","0","–","–","–","–","–","–","–","–","–","–","–","0","–","0","14"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","–","–","5","5","3","25","28","–","–","–","–","–","–","–","–","–","–","–","-1","–","–","-10","–","–","–","–","–","–","–","0","–","22","22"
"France","–","0","-1","2","–","1","1","20","1","21","–","0","0","–","–","–","-58","–","–","–","-58","–","–","–","–","–","–","–","0","0","-1","–","-2","0","-37","-37"
"Germany","–","–","–","0","–","–","–","1","–","1","2","0","–","5","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","0","0","8","8"
"Guatemala","9","0","–","0","–","-44","-44","–","-1","-1","–","–","–","–","–","–","-8","-17","–","–","-25","–","–","–","-3","–","-4","–","–","0","-14","–","-1","–","-91","-82"
"Honduras","–","–","-15","0","–","-17","-17","–","-2","-2","–","–","–","–","–","–","-12","-4","-3","–","-19","0","–","–","-3","–","–","–","–","–","–","–","0","–","-57","-57"
"India","–","0","–","0","–","–","–","–","23","23","0","–","-9","–","–","–","10","–","–","3","13","–","–","–","8","–","–","–","–","0","-43","0","-2","0","-10","-10"
"Italy","-22","–","–","0","–","–","–","–","19","19","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","0","18","-3"
"Japan","–","0","-93","0","–","0","0","0","0","0","–","-22","0","–","–","–","0","–","–","–","0","2","–","–","11","3","0","2","–","0","-48","0","-1","0","-147","-147"
"Korea, South","-42","0","-110","19","–","0","0","0","0","0","–","0","-3","2","–","–","0","–","–","–","0","0","–","–","117","6","–","–","–","0","-9","0","8","0","30","-12"
"Latvia","–","–","–","–","–","–","–","–","3","3","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3","3"
"Lithuania","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","0"
"Malaysia","–","–","–","19","–","–","–","–","–","–","–","–","–","–","–","–","0","–","-23","–","-23","–","–","–","1","–","–","–","–","0","0","0","0","0","-4","-4"
"Mexico","623","-1","-189","-18","–","-385","-385","0","-25","-25","-16","0","-2","0","–","–","-193","-5","0","–","-198","0","–","–","-40","–","38","11","–","0","-76","-4","-15","0","-923","-300"
"Netherlands","-32","-1","-43","-11","–","-8","-8","51","11","62","3","0","0","-1","–","–","-48","–","1","–","-47","0","–","–","-10","–","-13","1","–","0","-2","0","0","0","-70","-103"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","–","–","-11","–","–","–","–","2","36","38","–","–","–","–","–","–","-13","–","–","–","-13","-7","–","–","–","–","–","–","–","0","-2","0","0","–","5","5"
"Oman","20","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-2","–","0","–","-2","18"
"Panama","–","–","-5","0","–","-19","-19","–","–","–","–","–","–","–","–","–","-36","-9","-8","–","-53","0","–","–","-17","–","-11","–","–","–","–","-1","-1","–","-105","-105"
"Portugal","–","–","-18","–","–","9","9","–","10","10","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","1","1"
"Puerto Rico","–","0","0","0","–","0","0","–","–","–","–","0","0","–","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","0","–","0","0","–","0","0"
"Russia","–","–","–","245","–","–","–","4","65","69","–","–","–","–","–","–","10","0","14","–","23","–","–","–","–","–","81","–","–","0","–","0","0","–","419","419"
"Spain","–","–","-10","7","–","8","8","–","34","34","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-21","–","–","0","-35","–","1","–","-17","-17"
"Sweden","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-3","–","–","–","-3","–","–","–","–","–","11","–","–","–","-1","–","0","0","7","7"
"Trinidad and Tobago","12","0","–","–","–","5","5","–","1","1","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","11","–","–","–","0","–","0","–","17","29"
"United Kingdom","2","–","-9","13","–","0","0","56","39","96","0","0","0","–","–","–","-13","–","–","–","-13","–","–","–","-7","–","0","3","–","0","5","0","2","0","89","91"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","0","0","–","–","–","–","–","–","–","0","–","–","0","0","0","0"
"Virgin Islands, U.S.","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","-27","–","–","–","-27","–","–","–","–","–","-15","–","–","–","–","0","0","–","-42","-42"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","0"
"Other","-7","0","-221","-6","–","-110","-110","0","36","35","-8","0","-5","0","17","–","-206","-30","-3","0","-239","0","0","–","-43","0","-139","-2","0","0","-110","-4","-24","-1","-851","-857"
"Total","7,456","-165","-906","286","–","-766","-766","208","370","578","-29","-21","-97","68","17","–","-914","-80","-29","13","-1,010","-6","0","–","-40","18","-33","39","2","-1","-440","12","-43","-1","-2,536","4,921"
"Persian Gulf","1,669","0","–","20","–","-16","-16","–","–","–","0","–","0","–","–","–","–","–","–","–","–","0","–","–","1","2","-12","–","–","0","0","–","10","–","5","1,674"
