"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"China","–","–","–","–","–","96","96","–","571","571","–","–","–","–","–","–","798","–","–","–","798","267","–","–","4,853","–","–","–","–","–","–","–","609","–","–","–","–","7,194","7,194","–","21","21"
"Colombia","150,487","–","–","1,284","–","–","–","–","5,071","5,071","–","–","–","–","–","–","–","601","156","300","1,057","–","–","–","4","–","–","256","6,170","6,426","–","–","–","192","64","–","–","14,098","164,585","449","42","491"
"Congo (Brazzaville)","1,147","–","–","45","–","–","–","–","56","56","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","477","–","477","–","–","–","–","–","–","–","578","1,725","3","2","5"
"Denmark","627","–","–","110","–","4","4","110","77","187","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","18","18","–","–","–","–","–","–","–","319","946","2","1","3"
"Egypt","3,833","–","–","332","–","–","–","–","435","435","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","768","4,601","11","2","14"
"Equatorial Guinea","2,250","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2,250","7","–","7"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","190","–","207","207","227","6,929","7,156","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","37","6","43","–","–","–","–","–","–","–","7,596","7,596","–","23","23"
"France","–","–","–","4,487","–","332","332","6,353","1,211","7,564","–","–","–","–","–","–","–","–","50","–","50","–","–","–","–","–","–","182","58","240","–","241","–","–","–","93","–","13,007","13,007","–","39","39"
"Germany","–","–","–","783","–","–","–","154","32","186","182","–","–","341","–","–","–","–","102","–","113","–","–","–","–","–","–","–","–","–","–","–","23","–","–","151","–","1,785","1,785","–","5","5"
"Guatemala","2,434","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2,434","7","–","7"
"India","–","–","–","1,762","–","23","23","474","19,605","20,079","–","–","–","–","–","–","1,027","–","–","382","1,409","–","–","–","6,244","–","–","–","–","–","–","–","1","–","–","–","–","29,518","29,518","–","88","88"
"Italy","–","–","45","2,268","–","299","299","151","2,931","3,082","–","–","–","–","–","–","–","–","–","–","220","–","–","–","–","42","–","–","295","295","–","–","–","–","–","217","–","6,481","6,481","–","19","19"
"Korea, South","–","–","119","789","–","236","236","–","1,504","1,504","–","–","–","438","–","–","1,168","54","–","–","1,222","–","–","–","26,729","1,484","–","–","–","–","881","–","–","–","43","3,438","–","36,897","36,897","–","110","110"
"Latvia","–","–","–","–","–","–","–","–","417","417","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","417","417","–","1","1"
"Lithuania","–","–","–","–","–","20","20","–","614","614","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","634","634","–","2","2"
"Malaysia","1,657","–","–","2,676","–","–","–","–","341","341","–","–","–","–","–","–","–","–","–","–","–","–","–","–","94","–","–","–","–","–","–","–","116","–","–","–","–","3,227","4,884","5","10","15"
"Mexico","197,127","1,960","163","562","–","–","–","–","4,924","4,924","–","–","–","–","–","–","–","–","220","–","220","–","–","–","–","–","–","58","16,630","16,688","4,469","–","–","–","–","–","–","28,986","226,113","588","87","675"
"Netherlands","314","–","43","2,671","–","1,692","1,692","5,235","5,587","10,822","864","–","–","–","–","–","350","–","54","115","519","–","61","–","–","29","–","–","2,794","2,794","192","–","1","–","–","12","–","19,711","20,025","1","59","60"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","64","–","–","64","64","–","0","0"
"Norway","12,937","–","43","3,532","–","365","365","173","9,668","9,841","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","340","225","–","565","–","–","–","176","–","–","–","14,522","27,459","39","43","82"
"Oman","10,533","–","–","–","–","–","–","–","36","36","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","10,569","31","0","32"
"Portugal","–","–","–","–","–","1,102","1,102","2,669","4,591","7,260","–","–","–","–","–","–","195","–","–","–","195","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8,557","8,557","–","26","26"
"Russia","13,229","–","–","98,566","–","1","1","605","15,864","16,469","270","–","–","–","–","–","3,251","–","901","–","4,152","–","–","–","20","–","847","1,274","13,539","15,660","–","–","–","–","–","331","–","135,476","148,705","39","404","444"
"Spain","–","–","–","690","–","869","869","–","14,266","14,266","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","362","362","–","–","1","–","505","180","–","16,873","16,873","–","50","50"
"Sweden","–","–","668","1,121","–","308","308","98","545","643","–","–","–","–","–","–","–","–","674","–","874","–","–","–","–","–","–","–","724","724","–","–","–","6","–","–","–","4,344","4,344","–","13","13"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","2,565","–","78","–","–","457","457","–","1,675","1,675","–","–","–","–","–","–","–","–","481","–","481","–","–","–","–","–","–","–","3,288","3,288","–","–","–","–","–","–","–","5,979","8,544","8","18","26"
"United Kingdom","6,274","–","–","2,313","–","1,594","1,594","17,165","12,577","29,742","9","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","62","62","341","–","–","314","–","193","–","34,568","40,842","19","103","122"
"Vietnam","1,403","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,403","4","–","4"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","21","21","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","21","21","–","0","0"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","8,066","918","180","6,767","–","464","464","253","8,109","8,362","0","0","0","0","4,747","–","1,240","313","368","373","1,701","363","0","–","4,614","1,110","773","1,237","2,042","4,052","533","126","237","38","292","216","0","34,743","42,809","25","105","127"
"Total","2,639,453","3,204","49,966","197,430","–","20,748","20,748","63,160","158,957","222,117","2,856","834","862","13,829","4,747","–","32,274","1,594","13,319","1,392","48,579","631","81","–","49,746","4,763","3,769","9,071","63,261","76,101","8,792","1,812","1,630","3,261","12,327","13,116","13","737,694","3,377,147","7,879","2,202","10,081"
"Persian Gulf","577,212","–","–","2,803","–","–","–","–","–","–","262","–","–","–","–","–","325","–","328","–","653","–","–","–","364","527","–","333","498","831","380","–","–","138","–","3,756","–","9,714","586,926","1,723","29","1,752"
