Table 51. Stocks of Crude Oil and Petroleum Products by PAD District,
July 2004
(Thousand Barrels)               
--------------------------------------------------------------------------------
                                  Petroleum Administration for Defense Districts
                                 -----------------------------------------------
  Commodity                                               I        II       III
  Bulk Terminal                                       34,083    12,553     6,305                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             7,375    10,514    11,329                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  0.05 Percent Sulfur and Under                       17,419    23,603    21,978                                                                                                                                                                                                                                                                                                                                
  Refinery                                             2,019     5,275     8,893                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                       11,456     9,902     4,262                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             3,944     8,426     8,823                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Greater than 0.05 Percent Sulfur                    28,759     6,765     9,081                                                                                                                                                                                                                                                                                                                                
  Refinery                                             2,701     2,026     4,532                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                       22,627     2,651     2,043                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             3,431     2,088     2,506                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Residual Fuel Oil(d)                                  11,780     2,334    14,312                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,967     1,229     5,356                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        9,813     1,105     8,956                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Less than 0.31% Sulfur                               2,736       691       622                                                                                                                                                                                                                                                                                                                                
  Refinery                                               383         0       146                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        2,353       691       476                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  0.31 to 1.00% Sulfur                                 5,806       486     3,144                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,244       124     1,114                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        4,562       362     2,030                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Greater than 1.00% Sulfur                            3,238     1,157    10,546                                                                                                                                                                                                                                                                                                                                
  Refinery                                               340     1,105     4,096                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        2,898        52     6,450                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Naphtha for Petrochemical Feedstock Use                  327       383     1,028                                                                                                                                                                                                                                                                                                                                
  Refinery                                               327       383     1,028                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Other Oils for Petrochemical Feedstock Use                 0       146     1,064                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0       146     1,064                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Special Naphthas                                          32       267     1,062                                                                                                                                                                                                                                                                                                                                
  Refinery                                                22       197       979                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                           10        70        83                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Lubricants                                             1,202       580     4,706                                                                                                                                                                                                                                                                                                                                
  Refinery                                               523       223     4,283                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          679       357       423                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Waxes                                                    215        85       429                                                                                                                                                                                                                                                                                                                                
  Refinery                                               215        85       429                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Petroleum Coke                                           207     1,685     5,449                                                                                                                                                                                                                                                                                                                                
  Refinery                                               207     1,685     5,449                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Asphalt and Road Oil                                   5,280    12,964     4,137                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,390     6,484     2,852                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        3,890     6,480     1,285                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Miscellaneous Products                                   142       369       718                                                                                                                                                                                                                                                                                                                                
  Refinery                                                18       139       434                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          124       217       195                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0        13        89                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Total Stocks, All Oils                               171,877   225,216 1,082,237                                                                                                                                                                                                                                                                                                                                
--------------------------------------------------------------------------------
                      Petroleum Administration for Defense Districts
                     ------------------------------------------------
  Commodity                                             IV        V   U.S. Total
--------------------------------------------------------------------------------
Crude Oil                                             11,236    49,738   961,103                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,928    21,142    98,739                                                                                                                                                                                                                                                                                                                                
  Tank Farms and Pipelines                             8,448    22,759   176,012                                                                                                                                                                                                                                                                                                                                
  Leases                                                 860     1,111    15,960                                                                                                                                                                                                                                                                                                                                
  Strategic Petroleum Reserve(a)                           0         0   665,666                                                                                                                                                                                                                                                                                                                                
  Alaskan In Transit                                       0     4,726     4,726                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Total Stocks, All Oils (excluding Crude Oil)(e)       16,560    90,473   686,234                                                                                                                                                                                                                                                                                                                                
  Refinery                                             9,891    54,563   275,238                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        2,640    27,551   268,468                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             3,830     8,109   136,876                                                                                                                                                                                                                                                                                                                                
  Natural Gas Processing Plant                           199       250     5,652                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Pentanes Plus                                            200       113     9,278                                                                                                                                                                                                                                                                                                                                
  Refinery                                                18         0       679                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            2        86     5,133                                                                                                                                                                                                                                                                                                                                
  Pipeline                                               112         0     2,287                                                                                                                                                                                                                                                                                                                                
