Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
15-Apr,24347.468,23851.433,21000.71,20826.071,25026.177,24347.468,20826.071,3521.397
16-Apr,23710.188,22891.643,20136.066,20366.914,25143.994,23710.188,20136.066,3574.122
17-Apr,23163.939,22476.858,18726.542,21369.989,26285.878,23163.939,18726.542,4437.397
18-Apr,22271.281,23632.53,19630.119,22284.035,26245.795,23632.53,19630.119,4002.411
19-Apr,21121.573,22481.173,20629.07,23282.078,28934.93,23282.078,20629.07,2653.008
20-Apr,20715.983,21186.487,21435.75,23780.388,29094.077,23780.388,20715.983,3064.405
21-Apr,19444.069,21068.429,20693.32,22655.708,29030.691,22655.708,19444.069,3211.639
22-Apr,18337.131,21889.118,19327.97,22462.761,29607.871,22462.761,18337.131,4125.63
23-Apr,18207.716,20798.52,18220.57,22032.111,30094.548,22032.111,18207.716,3824.395
24-Apr,20366.778,19742.478,17795.4,21671.081,30554.741,21671.081,17795.4,3875.681
25-Apr,20523.118,19328.738,18526.01,21427.044,29802.632,21427.044,18526.01,2901.034
26-Apr,20053.025,19114.747,22392.52,22649.96,29403.142,22649.96,19114.747,3535.213
27-Apr,19704.58,20344.398,21846.18,23515.55,28519.128,23515.55,19704.58,3810.97
28-Apr,20697.084,22790.918,21991.34,21793.9,28507.536,22790.918,20697.084,2093.834
29-Apr,19310.826,20747.468,21715.84,21710.5,31119.836,21715.84,19310.826,2405.014
30-Apr,18370.934,20452.538,22704.78,20180.25,30118.153,22704.78,18370.934,4333.846
1-May,19036.474,19753.908,22430.23,18444.99,31045.205,22430.23,18444.99,3985.24
2-May,18733.207,18680.873,22024.16,17727.72,32684.442,22024.16,17727.72,4296.44
3-May,17818.277,18051.978,20618.384,17327.52,32697.767,20618.384,17327.52,3290.864
4-May,15409.977,20165.838,19336.375,16521.45,32424.933,20165.838,15409.977,4755.861
5-May,17566.967,20385.648,19039.53,14840.169,30991.575,20385.648,14840.169,5545.479
6-May,16168.987,21280.79,18047.35,14034.623,30931.278,21280.79,14034.623,7246.167
7-May,15747.297,21198.088,17941.52,14291.389,31324.982,21198.088,14291.389,6906.699
8-May,14828.74,20995.258,18113.08,14096.81,31174.456,20995.258,14096.81,6898.448
9-May,14657.54,20411.418,17523.18,14581.178,29662.702,20411.418,14581.178,5830.24
