NY,PAICD,22.24
NY,PAICP,14114
NY,PAICV,1866.9
NY,PARCB,140866
NY,PARCD,29.18
NY,PARCP,26457
NY,PARCV,4110
NY,PATCB,1342030
NY,PATCD,26.08
NY,PATCP,250292
NY,PATCV,35001.1
OH,PAACB,915200
OH,PAACD,27.63
OH,PAACP,173247
OH,PAACV,25286.6
OH,PACCB,15509
OH,PACCD,22.94
OH,PACCP,3007
OH,PACCV,355.7
OH,PAEIB,15314
OH,PAEID,6.21
OH,PAEIP,2672
OH,PAEIV,95.1
OH,PAICB,175886
OH,PAICD,25.68
OH,PAICP,30059
OH,PAICV,2943
OH,PARCB,25853
OH,PARCD,32.49
OH,PARCP,5986
OH,PARCV,840
OH,PATCB,1147762
OH,PATCD,27.17
OH,PATCP,214971
OH,PATCV,29520.4
OK,PAACB,435488
OK,PAACD,26.09
OK,PAACP,81327
OK,PAACV,11360.6
OK,PACCB,6284
OK,PACCD,23.12
OK,PACCP,1261
OK,PACCV,145.3
OK,PAEIB,127
OK,PAEID,21.15
OK,PAEIP,22
OK,PAEIV,2.7
OK,PAICB,107184
OK,PAICD,23.85
OK,PAICP,18088
OK,PAICV,1346.7
OK,PARCB,7071
OK,PARCD,27.95
OK,PARCP,1841
OK,PARCV,197.7
OK,PATCB,556153
OK,PATCD,25.82
OK,PATCP,102539
OK,PATCV,13052.9
OR,PAACB,300025
OR,PAACD,28.33
OR,PAACP,56417
OR,PAACV,8498.9
OR,PACCB,3381
OR,PACCD,22.5
OR,PACCP,687
OR,PACCV,76.1
OR,PAEIB,101
OR,PAEID,20.84
OR,PAEIP,18
OR,PAEIV,2.1
OR,PAICB,31657
OR,PAICD,23.01
OR,PAICP,5522
OR,PAICV,728.4
OR,PARCB,4270
OR,PARCD,28.13
OR,PARCP,952
OR,PARCV,120.1
OR,PATCB,339434
OR,PATCD,27.77
OR,PATCP,63596
OR,PATCV,9425.6
PA,PAACB,856341
PA,PAACD,28.66
PA,PAACP,162727
PA,PAACV,24544.4
PA,PACCB,28390
PA,PACCD,24.09
PA,PACCP,5607
PA,PACCV,683.9
PA,PAEIB,7222
PA,PAEID,22.49
PA,PAEIP,1231
PA,PAEIV,162.5
PA,PAICB,226069
PA,PAICD,26.25
PA,PAICP,40185
PA,PAICV,4112.9
PA,PARCB,112081
PA,PARCD,29
PA,PARCP,21066
PA,PARCV,3249.8
PA,PATCB,1230104
PA,PATCD,28.22
PA,PATCP,230815
PA,PATCV,32753.5
RI,PAACB,58571
RI,PAACD,28.11
RI,PAACP,11228
RI,PAACV,1646.5
RI,PACCB,5573
RI,PACCD,25.06
RI,PACCP,1000
RI,PACCV,139.7
RI,PAEIB,603
RI,PAEID,20.01
RI,PAEIP,104
RI,PAEIV,12.1
RI,PAICB,8958
RI,PAICD,21.04
RI,PAICP,1452
RI,PAICV,188.5
RI,PARCB,16959
RI,PARCD,28.78
RI,PARCP,3031
RI,PARCV,488.1
RI,PATCB,90664
RI,PATCD,27.3
RI,PATCP,16815
RI,PATCV,2474.8
SC,PAACB,441709
SC,PAACD,25.58
SC,PAACP,84307
SC,PAACV,11299.9
SC,PACCB,6109
SC,PACCD,20.76
SC,PACCP,1310
SC,PACCV,126.8
SC,PAEIB,2725
SC,PAEID,22.6
SC,PAEIP,472
SC,PAEIV,61.6
SC,PAICB,45342
SC,PAICD,20.43
SC,PAICP,7865
SC,PAICV,926.2
SC,PARCB,5011
SC,PARCD,34.15
SC,PARCP,1266
SC,PARCV,171.2
SC,PATCB,500897
SC,PATCD,25.13
SC,PATCP,95221
SC,PATCV,12585.7
SD,PAACB,92600
SD,PAACD,27.61
SD,PAACP,17351
SD,PAACV,2556.7
SD,PACCB,2043
SD,PACCD,22.79
SD,PACCP,456
SD,PACCV,46.6
SD,PAEIB,134
SD,PAEID,22.7
SD,PAEIP,23
SD,PAEIV,3
SD,PAICB,18262
SD,PAICD,22.98
SD,PAICP,3236
SD,PAICV,419.6
SD,PARCB,4684
SD,PARCD,27.71
SD,PARCP,1178
SD,PARCV,129.8
SD,PATCB,117723
SD,PATCD,26.81
SD,PATCP,22245
SD,PATCV,3155.7
TN,PAACB,600758
TN,PAACD,26.21
TN,PAACP,113610
TN,PAACV,15748.5
TN,PACCB,6875
TN,PACCD,23.33
TN,PACCP,1333
TN,PACCV,160.4
TN,PAEIB,2052
TN,PAEID,17.89
TN,PAEIP,355
TN,PAEIV,36.7
TN,PAICB,81948
TN,PAICD,25.9
TN,PAICP,13800
TN,PAICV,1619.8
TN,PARCB,7258
TN,PARCD,36.61
TN,PARCP,1854
TN,PARCV,265.7
TN,PATCB,698891
TN,PATCD,26.24
TN,PATCP,130952
TN,PATCV,17831.1
TX,PAACB,2973739
TX,PAACD,24.93
TX,PAACP,553525
TX,PAACV,74121.9
TX,PACCB,27863
TX,PACCD,22.61
TX,PACCP,5526
TX,PACCV,629.9
TX,PAEIB,1154
TX,PAEID,19.31
TX,PAEIP,200
