"State","MSN","2014"
"RI","WWCCV",1.10
"RI","WWEIB",2013.00
"RI","WWEID",2.70
"RI","WWEIV",5.40
"RI","WWICB",105.00
"RI","WWICD",1.71
"RI","WWICV",0.10
"RI","WWTCB",3919.00
"RI","WWTCD",5.08
"RI","WWTCV",16.20
"SC","WDRCB",4507.00
"SC","WDRCD",12.12
"SC","WDRCP",225.00
"SC","WDRCV",21.40
"SC","WWCCB",534.00
"SC","WWCCD",12.12
"SC","WWCCV",2.50
"SC","WWEIB",16113.00
"SC","WWEID",0.68
"SC","WWEIV",11.00
"SC","WWICB",80431.00
"SC","WWICD",3.21
"SC","WWICV",222.30
"SC","WWTCB",101584.00
"SC","WWTCD",2.94
"SC","WWTCV",257.20
"SD","WDRCB",1922.00
"SD","WDRCD",12.24
"SD","WDRCP",96.00
"SD","WDRCV",7.40
"SD","WWCCB",228.00
"SD","WWCCD",12.24
"SD","WWCCV",0.90
"SD","WWEIB",0.00
"SD","WWEID",0.00
"SD","WWEIV",0.00
"SD","WWICB",550.00
"SD","WWICD",2.41
"SD","WWICV",0.20
"SD","WWTCB",2699.00
"SD","WWTCD",11.39
"SD","WWTCV",8.50
"TN","WDRCB",8821.00
"TN","WDRCD",12.12
"TN","WDRCP",441.00
"TN","WDRCV",41.80
"TN","WWCCB",1045.00
"TN","WWCCD",12.12
"TN","WWCCV",4.90
"TN","WWEIB",904.00
"TN","WWEID",2.70
"TN","WWEIV",2.40
"TN","WWICB",51495.00
"TN","WWICD",3.18
"TN","WWICV",137.50
"TN","WWTCB",62265.00
"TN","WWTCD",3.89
"TN","WWTCV",186.70
"TX","WDRCB",14053.00
"TX","WDRCD",12.12
"TX","WDRCP",703.00
"TX","WDRCV",66.60
"TX","WWCCB",2253.00
"TX","WWCCD",7.08
"TX","WWCCV",8.80
"TX","WWEIB",10495.00
"TX","WWEID",2.70
"TX","WWEIV",28.40
"TX","WWICB",64133.00
"TX","WWICD",2.81
"TX","WWICV",161.60
"TX","WWTCB",90934.00
"TX","WWTCD",3.55
"TX","WWTCV",265.30
"US","WDRCB",580000.00
"US","WDRCD",12.30
"US","WDRCP",29000.00
"US","WDRCV",2996.00
"US","WWCCB",120368.00
"US","WWCCD",5.48
"US","WWCCV",441.20
"US","WWEIB",530143.00
