"State","MSN","2015"
"TN","LUICV",198.60
"TN","LUTCB",6484.00
"TN","LUTCD",67.28
"TN","LUTCP",1069.00
"TN","LUTCV",436.30
"TX","LUACB",9979.00
"TX","LUACD",67.28
"TX","LUACP",1645.00
"TX","LUACV",671.40
"TX","LUICB",17930.00
"TX","LUICD",67.28
"TX","LUICP",2956.00
"TX","LUICV",1206.40
"TX","LUTCB",27909.00
"TX","LUTCD",67.28
"TX","LUTCP",4602.00
"TX","LUTCV",1877.80
"US","LUACB",148122.00
"US","LUACD",67.28
"US","LUACP",24422.00
"US","LUACV",9966.10
"US","LUICB",156826.00
"US","LUICD",67.28
"US","LUICP",25858.00
"US","LUICV",10551.80
"US","LUTCB",304948.00
"US","LUTCD",67.28
"US","LUTCP",50280.00
"US","LUTCV",20517.90
"UT","LUACB",1012.00
"UT","LUACD",67.28
"UT","LUACP",167.00
"UT","LUACV",68.10
"UT","LUICB",553.00
"UT","LUICD",67.28
"UT","LUICP",91.00
"UT","LUICV",37.20
"UT","LUTCB",1565.00
"UT","LUTCD",67.28
"UT","LUTCP",258.00
"UT","LUTCV",105.30
"VA","LUACB",2769.00
"VA","LUACD",67.28
"VA","LUACP",457.00
"VA","LUACV",186.30
"VA","LUICB",2207.00
"VA","LUICD",67.28
"VA","LUICP",364.00
"VA","LUICV",148.50
"VA","LUTCB",4975.00
"VA","LUTCD",67.28
"VA","LUTCP",820.00
"VA","LUTCV",334.80
"VT","LUACB",272.00
"VT","LUACD",67.28
"VT","LUACP",45.00
"VT","LUACV",18.30
"VT","LUICB",80.00
"VT","LUICD",67.28
"VT","LUICP",13.00
"VT","LUICV",5.40
"VT","LUTCB",351.00
"VT","LUTCD",67.28
"VT","LUTCP",58.00
"VT","LUTCV",23.60
"WA","LUACB",2619.00
"WA","LUACD",67.28
"WA","LUACP",432.00
"WA","LUACV",176.20
"WA","LUICB",1054.00
"WA","LUICD",67.28
"WA","LUICP",174.00
"WA","LUICV",70.90
"WA","LUTCB",3673.00
"WA","LUTCD",67.28
"WA","LUTCP",606.00
"WA","LUTCV",247.10
"WI","LUACB",2731.00
"WI","LUACD",67.28
"WI","LUACP",450.00
"WI","LUACV",183.80
"WI","LUICB",2596.00
"WI","LUICD",67.28
"WI","LUICP",428.00
"WI","LUICV",174.60
"WI","LUTCB",5327.00
"WI","LUTCD",67.28
"WI","LUTCP",878.00
"WI","LUTCV",358.40
"WV","LUACB",1307.00
"WV","LUACD",67.28
"WV","LUACP",216.00
"WV","LUACV",87.90
"WV","LUICB",2197.00
"WV","LUICD",67.28
"WV","LUICP",362.00
"WV","LUICV",147.80
"WV","LUTCB",3504.00
"WV","LUTCD",67.28
"WV","LUTCP",578.00
"WV","LUTCV",235.80
"WY","LUACB",787.00
"WY","LUACD",67.28
"WY","LUACP",130.00
"WY","LUACV",53.00
"WY","LUICB",300.00
"WY","LUICD",67.28
"WY","LUICP",49.00
"WY","LUICV",20.20
"WY","LUTCB",1087.00
"WY","LUTCD",67.28
"WY","LUTCP",179.00
"WY","LUTCV",73.10
