"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"Italy","481","–","–","1,170","–","312","312","403","1,681","2,084","–","–","–","–","–","–","41","–","–","–","41","–","–","–","–","–","–","170","56","226","42","–","82","–","95","366","–","4,444","4,925","1","12","13"
"Korea, South","–","–","–","162","–","120","120","459","1,759","2,218","–","–","–","499","–","–","338","–","–","–","338","244","–","–","27,069","1,205","–","–","–","–","1,633","–","–","–","–","3,770","–","37,258","37,258","–","102","102"
"Latvia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","92","–","–","–","92","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","92","92","–","0","0"
"Lithuania","–","–","–","–","–","309","309","65","–","65","–","–","–","–","–","–","329","–","–","–","329","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","703","703","–","2","2"
"Malaysia","182","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","–","182","–","–","24","–","229","411","0","1","1"
"Mexico","251,102","–","425","–","–","456","456","–","713","713","–","–","–","–","–","–","–","–","277","–","277","–","–","–","–","–","180","11","17,559","17,750","5,872","–","–","–","–","–","–","25,493","276,595","688","70","758"
"Netherlands","–","–","38","7,272","–","931","931","2,754","5,785","8,539","537","–","–","–","–","–","605","–","249","–","854","–","–","–","23","72","220","528","1,360","2,108","415","–","1","–","–","14","–","20,814","20,814","–","57","57"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","3,215","–","984","5,245","–","807","807","2,168","9,243","11,411","–","–","–","–","–","–","321","–","25","–","346","–","–","–","–","–","–","–","–","–","–","–","–","133","–","–","–","18,926","22,141","9","52","61"
"Oman","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Portugal","–","–","–","–","–","313","313","1,214","6,963","8,177","–","–","–","–","–","–","–","–","3","–","3","–","–","–","–","–","–","–","–","–","5","–","–","–","–","–","–","8,498","8,498","–","23","23"
"Russia","13,990","246","–","91,424","–","512","512","904","10,944","11,848","–","–","–","–","–","–","3,175","3,712","2,552","–","9,439","–","–","–","–","–","1,139","964","5,583","7,686","57","–","–","–","–","35","–","121,257","135,247","38","332","371"
"Spain","–","–","47","1,213","–","1,634","1,634","167","18,463","18,630","–","–","–","–","–","–","–","–","30","–","30","–","–","–","–","–","–","–","150","150","49","–","–","727","522","–","–","23,002","23,002","–","63","63"
"Sweden","–","–","419","238","–","236","236","5","578","583","–","–","–","–","–","–","–","–","159","–","159","–","–","–","–","–","–","–","–","–","–","–","–","2","–","11","–","1,648","1,648","–","5","5"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","2,537","–","–","327","–","180","180","–","1,201","1,201","–","–","–","–","–","–","–","–","–","–","–","–","–","–","304","–","320","–","3,218","3,538","–","–","–","–","–","–","–","5,550","8,087","7","15","22"
"United Kingdom","4,154","–","–","2,437","–","2,852","2,852","18,311","16,152","34,463","–","–","–","–","–","–","8","–","27","–","35","–","–","–","10","–","–","107","–","107","422","56","–","137","–","155","–","40,674","44,828","11","111","123"
"Vietnam","3,320","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,320","9","–","9"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","9,173","2,920","603","8,767","–","341","341","770","7,160","7,930","20","–","0","0","4,874","–","1,127","150","275","0","1,552","548","0","–","4,611","1,824","313","1,600","1,889","3,802","829","140","362","207","678","276","0","40,311","49,484","26","111","135"
"Total","2,687,409","4,009","52,780","199,615","–","26,041","26,041","64,244","154,363","218,607","1,314","–","2,179","8,399","4,874","–","50,161","4,386","18,493","138","73,178","1,593","30","–","48,118","5,532","5,715","12,987","51,212","69,914","12,021","2,407","2,056","3,892","11,563","12,461","16","761,325","3,448,734","7,363","2,086","9,449"
"Persian Gulf","542,859","–","–","593","–","–","–","–","64","64","178","–","–","–","–","–","1,557","–","108","–","1,665","–","–","–","547","384","–","–","–","–","274","–","23","–","–","3,319","–","7,047","549,906","1,487","19","1,507"
