"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"Cameroon","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Canada","92,196","–","17,091","235","–","10,538","10,538","28,557","16,168","44,725","–","–","82","697","–","–","35,881","481","11,808","–","48,170","10","12","–","3,504","–","840","4,113","11,013","15,966","–","–","623","10","4,455","1,414","–","147,536","239,732","253","404","657"
"Chad","12,881","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","37","12,918","35","0","35"
"China","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","791","–","–","232","–","–","–","–","–","–","–","189","–","–","–","–","1,212","1,212","–","3","3"
"Colombia","27,064","–","–","–","–","–","–","–","252","252","–","–","–","–","–","–","–","–","460","–","460","–","–","–","–","–","380","–","5,849","6,229","–","–","–","–","234","–","–","7,175","34,239","74","20","94"
"Congo (Brazzaville)","3,111","–","–","4","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","50","496","–","546","–","–","–","–","–","–","–","550","3,661","9","2","10"
"Denmark","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","358","–","358","–","–","–","–","–","–","–","358","358","–","1","1"
"Egypt","–","–","–","–","–","–","–","–","96","96","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","56","–","–","–","–","152","152","–","0","0"
"Equatorial Guinea","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Estonia","–","–","–","398","–","–","–","238","–","238","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","636","636","–","2","2"
"Finland","–","–","–","–","–","97","97","632","2,580","3,212","–","–","–","–","–","–","–","–","147","–","147","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,456","3,456","–","9","9"
"France","–","–","–","619","–","1","1","5,075","2,799","7,874","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","4","4","–","–","–","–","–","61","–","8,559","8,559","–","23","23"
"Gabon","3,578","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","21","–","–","–","21","–","–","–","–","–","193","–","–","193","–","–","–","–","–","–","–","214","3,792","10","1","10"
"Germany","–","–","–","–","–","33","33","258","382","640","–","–","–","76","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8","3","–","140","–","905","905","–","2","2"
"Guatemala","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"India","–","–","–","–","–","302","302","9","14,042","14,051","–","–","–","–","–","–","1,397","–","–","–","1,397","–","–","–","3,276","–","–","–","–","–","–","–","7","–","–","–","–","19,033","19,033","–","52","52"
"Indonesia","–","–","–","–","–","–","–","–","–","–","–","–","–","526","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","526","526","–","1","1"
"Italy","–","–","–","–","–","312","312","268","1,611","1,879","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","95","59","–","2,345","2,826","1","6","8"
"Korea, South","–","–","–","–","–","–","–","315","155","470","–","–","–","1","–","–","–","–","–","–","–","244","–","–","9,108","–","–","–","–","–","–","–","–","–","–","134","–","9,957","9,957","–","27","27"
"Latvia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","92","–","–","–","92","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","92","92","–","0","0"
"Lithuania","–","–","–","–","–","309","309","65","–","65","–","–","–","–","–","–","329","–","–","–","329","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","703","703","–","2","2"
"Malaysia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","24","–","26","26","–","0","0"
"Mexico","27,807","–","–","–","–","196","196","–","303","303","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,245","1,245","–","–","–","–","–","–","–","1,744","29,551","76","5","81"
"Netherlands","–","–","–","224","–","931","931","2,609","5,659","8,268","–","–","–","–","–","–","582","–","17","–","599","–","–","–","23","–","–","268","890","1,158","4","–","1","–","–","–","–","11,208","11,208","–","31","31"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","1,051","–","984","362","–","807","807","2,168","9,243","11,411","–","–","–","–","–","–","321","–","–","–","321","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13,885","14,936","3","38","41"
"Oman","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Portugal","–","–","–","–","–","313","313","1,214","6,963","8,177","–","–","–","–","–","–","–","–","1","–","1","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8,491","8,491","–","23","23"
"Russia","–","–","–","7,825","–","288","288","632","10,581","11,213","–","–","–","–","–","–","3,175","3,712","690","–","7,577","–","–","–","–","–","–","46","2,792","2,838","50","–","–","–","–","1","–","29,793","29,793","–","82","82"
"Spain","–","–","–","144","–","1,634","1,634","167","18,015","18,182","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","30","–","–","–","443","–","–","20,433","20,433","–","56","56"
"Sweden","–","–","419","–","–","225","225","5","551","556","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,200","1,200","–","3","3"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","–","–","–","–","–","180","180","–","612","612","–","–","–","–","–","–","–","–","–","–","–","–","–","–","304","–","–","–","1,512","1,512","–","–","–","–","–","–","–","2,608","2,608","–","7","7"
"United Kingdom","–","–","–","1,210","–","2,843","2,843","17,917","12,185","30,102","–","–","–","–","–","–","–","–","–","–","–","–","–","–","10","–","–","–","–","–","4","–","–","–","–","–","–","34,169","34,169","–","94","94"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","7,634","0","0","3,247","–","341","341","290","4,648","4,938","–","–","0","0","542","–","643","150","65","–","858","548","0","–","2,270","–","313","686","757","1,756","0","–","244","0","678","9","–","15,394","22,547","19","45","64"
"Total","239,720","9","18,494","18,775","–","22,680","22,680","62,170","128,837","191,007","–","–","981","4,149","542","–","44,636","4,343","13,188","–","62,167","1,593","12","–","25,569","–","2,985","7,079","24,460","34,524","188","–","1,131","1,438","7,296","1,942","–","392,498","632,218","657","1,075","1,732"
"Persian Gulf","26,172","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,557","–","–","–","1,557","–","–","–","547","–","–","–","–","–","–","–","–","–","–","–","–","2,104","28,276","72","6","77"
