"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"Norway","9","0","3","14","–","2","2","6","25","31","–","0","0","–","–","–","-2","–","0","–","-2","–","–","–","-1","–","–","–","–","0","-3","0","0","0","44","53"
"Oman","–","–","–","0","–","–","–","–","0","0","–","–","-2","0","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","–","-1","0","0","0","-3","-3"
"Panama","–","0","-23","-1","–","-29","-29","–","-1","-1","–","0","0","0","–","–","-34","-9","-6","–","-48","0","–","–","-16","–","-32","–","–","0","-3","-1","-1","0","-154","-154"
"Portugal","–","–","-6","–","–","1","1","3","19","22","–","–","–","–","–","–","–","–","0","–","0","–","–","–","–","–","–","0","–","0","-4","–","0","–","14","14"
"Puerto Rico","–","0","0","0","–","0","0","0","0","0","0","0","-1","0","–","–","0","–","0","–","0","0","–","–","–","–","-2","–","–","0","-1","0","-1","0","-4","-4"
"Russia","38","1","0","250","–","1","1","2","30","32","–","0","–","–","–","–","9","10","7","–","26","0","–","–","–","–","21","0","–","0","0","0","0","–","332","370"
"Spain","-7","0","-11","3","–","2","2","0","51","51","–","0","0","–","–","–","-7","-1","-2","–","-9","–","–","–","0","–","0","0","–","0","-27","1","0","0","10","3"
"Sweden","–","–","0","1","–","1","1","0","2","2","–","0","–","–","–","–","0","–","0","–","0","–","–","–","–","–","-1","–","–","0","0","–","0","0","2","2"
"Trinidad and Tobago","7","0","0","1","–","0","0","0","3","3","–","0","0","0","–","–","0","–","–","–","0","0","–","–","1","–","10","–","–","0","0","0","-1","0","14","21"
"United Kingdom","11","0","-20","5","–","8","8","50","44","94","–","0","0","0","–","–","-53","0","0","–","-53","–","–","–","-6","–","-3","1","0","0","-3","0","0","0","23","34"
"Vietnam","9","0","–","-1","–","-2","-2","–","–","–","–","0","–","–","–","–","0","–","–","–","0","0","–","–","–","–","0","–","–","0","0","0","0","0","-3","6"
"Virgin Islands, U.S.","–","0","0","–","–","0","0","0","0","0","–","–","0","–","–","–","0","0","-3","–","-3","0","–","–","–","–","0","–","–","–","–","0","0","0","-3","-3"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","0"
"Other","24","7","-97","2","–","-66","-66","3","12","14","-6","0","-10","0","13","–","-267","-22","-31","0","-324","-1","0","–","-24","2","-124","4","1","2","-120","-1","-10","-1","-753","-730"
"Total","6,898","-172","-639","295","–","-405","-405","175","282","457","-33","-23","-48","17","13","–","-828","-90","-57","0","-975","-9","0","–","-36","15","-135","33","7","2","-528","13","-38","-1","-2,187","4,711"
"Persian Gulf","1,487","0","0","2","–","0","0","0","0","0","0","0","-2","0","–","–","4","–","0","–","5","0","–","–","1","1","-4","1","–","0","-5","0","8","0","7","1,494"
