"Area","Product","October_2016","November_2016","YTD_2015","YTD_2016","PctChgMonthAgo","PctChgYearAgo","PctChg_YTD"
"Maine","Midgrade",594,544,7135,6985,-5.4,-0.9,-2.4
"Maine","Conventional",86,77,"W",1295,-7.5,-24.5,"NA"
"Maine","Reformulated",508,467,"W",5690,-5.0,4.5,"NA"
"Maine","Premium",3691,3278,40455,42588,-8.2,4.7,5.0
"Maine","Conventional",1754,1507,"W",20911,-11.2,-1.5,"NA"
"Maine","Reformulated",1937,1771,"W",21677,-5.5,10.6,"NA"
"Maine","Total Distillate","W","W","W","W","W","W","W"
"Maine","No. 1 Distillate","W","W","W","W","W","W","NA"
"Maine","No. 2 Distillate",36338,39923,456163,418814,13.5,6.0,-8.5
"Maine","No. 2 Fuel Oil",17342,22185,252208,219880,32.2,10.0,-13.1
"Maine","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Maine","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Maine","Low Sulfur","-","-","-","-","-","-","-"
"Maine","High Sulfur","W","W","W","W","W","W","NA"
"Maine","No. 4 Fuel","W","W","W","W","W","W","NA"
"Maine","Aviation Gasoline","W",94,"W","W",,,"NA"
"Maine","Kerosene-Type Jet Fu",3845,2748,34229,38979,-26.1,9.7,13.5
"Maine","Kerosene",1871,2191,23349,18747,21.0,10.4,-19.9
"Maine","Propane",9805,12777,113042,113892,34.7,21.0,0.5
"Maine","Residual Fuel Oil",815,700,12606,6450,-11.2,-53.0,-49.0
"Maine","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Maine","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Massachusetts","Motor Gasoline",234598,225252,2243542,2441445,-0.8,16.2,8.5
"Massachusetts","Regular",200870,193015,1937619,2093129,-0.7,15.5,7.7
"Massachusetts","Conventional","-","-","-","-","-","-","-"
"Massachusetts","Reformulated",200870,193015,1937619,2093129,-0.7,15.5,7.7
"Massachusetts","Midgrade",4707,4556,48976,50739,0.0,10.3,3.3
"Massachusetts","Conventional","-","-","-","-","-","-","-"
"Massachusetts","Reformulated",4707,4556,48976,50739,0.0,10.3,3.3
"Massachusetts","Premium",29021,27681,256947,297577,-1.4,22.5,15.5
"Massachusetts","Conventional","-","-","-","-","-","-","-"
"Massachusetts","Reformulated",29021,27681,256947,297577,-1.4,22.5,15.5
"Massachusetts","Total Distillate","W","W","W","W","W","W","W"
"Massachusetts","No. 1 Distillate","W","W","W","W","W","W","NA"
"Massachusetts","No. 2 Distillate",58307,71673,764094,694726,27.0,19.2,-9.3
"Massachusetts","No. 2 Fuel Oil",22108,36398,377446,316210,70.1,26.6,-16.5
"Massachusetts","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Massachusetts","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Massachusetts","Low Sulfur","-","-","-","-","-","-","-"
"Massachusetts","High Sulfur","W","W","W","W","W","W","NA"
"Massachusetts","No. 4 Fuel","W","W","W","W","W","W","NA"
"Massachusetts","Aviation Gasoline",192,218,2597,2594,17.3,10.7,-0.4
"Massachusetts","Kerosene-Type Jet Fu",32030,24816,225377,357368,-19.9,24.0,58.1
"Massachusetts","Kerosene",125,190,"W","W",57.1,9.2,"NA"
"Massachusetts","Propane",8106,10949,118008,107813,39.6,12.1,-8.9
"Massachusetts","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Massachusetts","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Massachusetts","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"New Hampshire","Motor Gasoline",47786,46361,535688,524486,0.3,-3.2,-2.4
"New Hampshire","Regular",43070,41976,481990,470806,0.7,-2.9,-2.6
"New Hampshire","Conventional",9769,9029,"W",111185,-4.5,-2.5,"NA"
"New Hampshire","Reformulated",33301,32947,"W",359621,2.2,-3.0,"NA"
"New Hampshire","Midgrade",730,655,7730,8341,-7.3,5.5,7.6
"New Hampshire","Conventional",69,65,"W",849,-2.7,1.6,"NA"
"New Hampshire","Reformulated",661,590,"W",7492,-7.8,5.9,"NA"
"New Hampshire","Premium",3986,3730,45968,45339,-3.3,-7.8,-1.7
"New Hampshire","Conventional",703,607,"W",8264,-10.8,0.5,"NA"
"New Hampshire","Reformulated",3283,3123,"W",37075,-1.7,-9.3,"NA"
"New Hampshire","Total Distillate","W","W","W","W","W","W","W"
"New Hampshire","No. 1 Distillate","W","W","W","W","W","W","NA"
"New Hampshire","No. 2 Distillate",20781,25754,299660,255440,28.1,6.3,-15.0
"New Hampshire","No. 2 Fuel Oil",10407,15669,170720,141059,55.6,14.2,-17.6
"New Hampshire","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"New Hampshire","Ultra Low Sulfur",10374,10085,"W",114381,0.5,-3.9,"NA"
"New Hampshire","Low Sulfur","-","-","-","-","-","-","-"
"New Hampshire","High Sulfur","-","-","W","-","-","-","NA"
"New Hampshire","No. 4 Fuel","W","W","W","W","W","W","NA"
"New Hampshire","Aviation Gasoline",56,60,"W","W",10.7,,"NA"
"New Hampshire","Kerosene-Type Jet Fu",1369,1155,12443,14239,-12.8,23.5,14.1
"New Hampshire","Kerosene",442,617,"W","W",44.2,6.9,"NA"
"New Hampshire","Propane",9059,13673,133343,118338,56.0,26.0,-11.5
"New Hampshire","Residual Fuel Oil","W","W","W","W","W","W","NA"
"New Hampshire","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"New Hampshire","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Rhode Island","Motor Gasoline",53083,51916,516076,587055,1.1,2.6,13.4
"Rhode Island","Regular",45669,44654,445077,505316,1.0,1.9,13.2
"Rhode Island","Conventional","-","-","-","-","-","-","-"
"Rhode Island","Reformulated",45669,44654,445077,505316,1.0,1.9,13.2
"Rhode Island","Midgrade",1056,974,11349,12322,-4.7,4.1,8.2
"Rhode Island","Conventional","-","-","-","-","-","-","-"
"Rhode Island","Reformulated",1056,974,11349,12322,-4.7,4.1,8.2
"Rhode Island","Premium",6358,6288,59650,"W",2.2,7.8,"NA"
"Rhode Island","Conventional","-","-","-","-","-","-","-"
"Rhode Island","Reformulated",6358,6288,59650,"W",2.2,7.8,"NA"
"Rhode Island","Total Distillate","W","W","W","W","W","W","W"
"Rhode Island","No. 1 Distillate","W","W","W","W","W","W","NA"
"Rhode Island","No. 2 Distillate",19326,25223,"W","W",34.9,23.6,"NA"
"Rhode Island","No. 2 Fuel Oil",7826,13278,121510,"W",75.3,19.5,"NA"
"Rhode Island","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Rhode Island","Ultra Low Sulfur",11500,"W","W","W",,"W","NA"
"Rhode Island","Low Sulfur","-","-","-","-","-","-","-"
"Rhode Island","High Sulfur","-","W","W","W","W","W","NA"
"Rhode Island","No. 4 Fuel","W","W","W","W","W","W","NA"
"Rhode Island","Aviation Gasoline","W","W","W","W","W","W","NA"
"Rhode Island","Kerosene-Type Jet Fu",2050,1844,23217,23381,-7.1,-17.5,0.4
"Rhode Island","Kerosene","W","W","W","W","W","W","NA"
"Rhode Island","Propane",982,1108,11144,9701,16.6,44.6,-13.2
"Rhode Island","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Rhode Island","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Rhode Island","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Vermont","Motor Gasoline",27071,25369,281616,285593,-3.2,4.3,1.1
"Vermont","Regular",24960,23367,257173,260262,-3.3,4.1,0.9
"Vermont","Conventional",24960,23367,257173,260262,-3.3,4.1,0.9
"Vermont","Reformulated","-","-","-","-","-","-","-"
"Vermont","Midgrade",298,258,3329,3247,-10.5,-0.4,-2.8
"Vermont","Conventional",298,258,3329,3247,-10.5,-0.4,-2.8
"Vermont","Reformulated","-","-","-","-","-","-","-"
"Vermont","Premium",1813,1744,21114,22084,-0.6,8.9,4.3
"Vermont","Conventional",1813,1744,21114,22084,-0.6,8.9,4.3
"Vermont","Reformulated","-","-","-","-","-","-","-"
"Vermont","Total Distillate","W","W","W","W","W","W","W"
"Vermont","No. 1 Distillate","W","W","W","W","W","W","NA"
"Vermont","No. 2 Distillate",11615,13553,"W",138899,20.6,7.7,"NA"
"Vermont","No. 2 Fuel Oil",5462,7694,78873,72009,45.6,13.6,-9.0
"Vermont","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Vermont","Ultra Low Sulfur",6153,5859,"W",66890,-1.6,0.9,"NA"
"Vermont","Low Sulfur","-","-","-","-","-","-","-"
"Vermont","High Sulfur","-","-","-","-","-","-","-"
"Vermont","No. 4 Fuel","W","W","W","W","W","W","NA"
"Vermont","Aviation Gasoline","W","W","W","W","W","W","NA"
