"State Code","State or Country StateFrom/To","Volume Receipts/ Imports From","Volume Deliveries/ Exports To","Volume Net(a"
"OH","Michigan","0","660905","-660905"
"OH","Pennsylvania","313426","27","313399"
"OH","West Virginia","724335","0","724335"
"OH","Total","1886964","1935349","-48385"
"US",""
"US","Oklahoma"
"OK","Arkansas","0","331781","-331781"
"OK","Colorado","107003","0","107003"
"OK","Kansas","8905","1100842","-1091937"
"OK","Missouri","0","10724","-10724"
"OK","Tennessee","1","0","1"
"OK","Texas","701605","866108","-164503"
"OK","Total","817513","2309454","-1491941"
"US",""
"US","Oregon"
"OR","California","0","727526","-727526"
"OR","Idaho","0","53135","-53135"
"OR","Nevada","277368","0","277368"
"OR","Washington","712930","0","712930"
"OR","Total","990297","780662","209636"
"US",""
"US","Pennsylvania"
"PA","Delaware","0","72391","-72391"
"PA","Indiana","45","0","45"
"PA","Maryland","0","340507","-340507"
"PA","Massachusetts","0","183","-183"
"PA","New Jersey","0","1701775","-1701775"
"PA","New York","24842","1457060","-1432218"
"PA","Ohio","27","313426","-313399"
"PA","West Virginia","504787","354431","150356"
"PA","Total","529701","4239773","-3710072"
"US",""
"US","Rhode Island"
"RI","Connecticut","200407","0","200407"
"RI","Massachusetts","37972","148409","-110437"
"RI","Total","238378","148409","89970"
"US",""
"US","South Carolina"
"SC","Alabama","76","0","76"
"SC","Georgia","757441","36592","720848"
"SC","North Carolina","0","492098","-492098"
"SC","Total","757517","528691","228826"
"US",""
"US","South Dakota"
"SD","Iowa","3262","141","3122"
"SD","Minnesota","0","770432","-770432"
"SD","Nebraska","17571","0","17571"
"SD","North Dakota","816831","0","816831"
"SD","Wyoming","1153","434","718"
"SD","Total","838817","771007","67810"
"US",""
"US","Tennessee"
"TN","Alabama","2632","465025","-462393"
"TN","Colorado","0","1","-1"
"TN","Georgia","10384","27099","-16715"
"TN","Kentucky","772738","791037","-18300"
"TN","Mississippi","826444","29006","797438"
"TN","Oklahoma","0","1","-1"
"TN","Virginia","25041","225","24816"
"TN","Total","1637238","1312394","324844"
"US",""
"US","Texas"
"TX","Arkansas","0","231017","-231017"
"TX","Brazil","0","5533","-5533"
"TX","Colorado","2","0","2"
"TX","Egypt","0","2947","-2947"
"TX","Gulf of Mexico","100229","0","100229"
"TX","Kansas","13","0","13"
"TX","Louisiana","50569","2116787","-2066218"
"TX","Mexico","1122","834324","-833202"
"TX","New Mexico","216040","316749","-100709"
"TX","Norway","5992","0","5992"
"TX","Oklahoma","866108","701605","164503"
"TX","Turkey","0","3145","-3145"
"TX","Total","1240074","4212106","-2972032"
"US",""
"US","Utah"
"UT","Arizona","0","10","-10"
"UT","California","0","16","-16"
"UT","Colorado","42878","14667","28210"
"UT","Idaho","0","50117","-50117"
"UT","Nevada","0","1072889","-1072889"
"UT","New Mexico","0","9","-9"
"UT","Wyoming","1104502","144456","960045"
"UT","Total","1147379","1282164","-134784"
"US",""
"US","Vermont"
"VT","Canada","12844","0","12844"
"VT","Total","12844","0","12844"
"US",""
"US","Virginia"
"VA","District of Columbia","0","8915","-8915"
"VA","Kentucky","4364","0","4364"
"VA","Maryland","234727","67753","166974"
"VA","North Carolina","5379","57114","-51735"
"VA","Tennessee","225","25041","-24816"
"VA","West Virginia","357893","0","357893"
"VA","Total","602589","158823","443766"
"US",""
"US","Washington"
"WA","Canada","429653","5333","424320"
"WA","Idaho","652985","8793","644192"
"WA","Oregon","0","712930","-712930"
"WA","Total","1082637","727055","355582"
"US",""
"US","West Virginia"
"WV","Alabama","3","0","3"
"WV","Indiana","83","0","83"
"WV","Kentucky","121512","48094","73417"
"WV","Ohio","0","724335","-724335"
"WV","Pennsylvania","354431","504787","-150356"
"WV","Virginia","0","357893","-357893"
"WV","Total","476029","1635109","-1159080"
"US",""
"US","Wisconsin"
"WI","Illinois","316850","0","316850"
"WI","Michigan","71066","142050","-70984"
"WI","Minnesota","187549","13641","173908"
"WI","Total","575465","155691","419774"
"US",""
"US","Wyoming"
"WY","Colorado","895233","675864","219369"
"WY","Idaho","0","158","-158"
"WY","Montana","12778","61184","-48406"
"WY","Nebraska","0","653594","-653594"
"WY","Nevada","0","25","-25"
"WY","North Dakota","0","2","-2"
"WY","South Dakota","434","1153","-718"
"WY","Utah","144456","1104502","-960045"
"WY","Total","1052902","2496481","-1443579"
"US",""
"US","Total Natural Gas Movements","63328610","62337464","991146"
"US",""
"US","Movements Across U.S. Borders","2779821","1788675","991146"
"US",""
"US","U.S. Interstate Movements","60548789","60548789","0"
