State Code,Exit Point,Volume,Price,Volume,Price,Volume,Price,Volume,Price,Volume,Price
MX,"Laredo, TX",0,--,0,--,0,--,0,--,1,17.06
MX,"Nogales, AZ",0,--,34,9.68,93,11.34,93,13.95,106,11.61
MX,"Otay Mesa, CA",236,9.31,119,8.92,35,9.51,88,10.95,88,8.95
MX,Total,236,9.31,153,9.09,2852,13.33,181,12.5,195,10.44
US,,,,,,,,,,,
US,LNG (Portugal),,,,,,,,,,
PT,"Sabine Pass, LA",0,--,2618,11.27,0,--,0,--,0,--
PT,Total,0,--,2618,11.27,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (South Korea),,,,,,,,,,
KR,"Freeport, TX",6242,10.89,0,--,0,--,0,--,0,--
KR,"Sabine Pass, LA",2901,8.03,0,--,0,--,0,--,0,--
KR,Total,9143,9.98,0,--,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (Spain),,,,,,,,,,
ES,"Cameron, LA",2911,7.58,0,--,0,--,0,--,0,--
ES,"Sabine Pass, LA",3007,7.96,0,--,0,--,0,--,0,--
ES,Total,5918,7.77,0,--,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (Tawain),,,,,,,,,,
TW,"Kenai, Ak                                     ",0,--,0,--,0,--,0,--,8257,7.49
TW,Total,0,--,0,--,0,--,0,--,8257,7.49
US,,,,,,,,,,,
US,LNG (Turkey),,,,,,,,,,
TU,"Freeport, TX",0,--,0,--,0,--,0,--,3145,15.99
TU,Total,0,--,0,--,0,--,0,--,3145,15.99
US,,,,,,,,,,,
US,LNG (United Kingdom),,,,,,,,,,
UK,"Sabine Pass, LA",2862,7.66,0,--,0,--,0,--,0,--
UK,Total,2862,7.66,0,--,0,--,0,--,0,--
US,,,,,,,,,,,
US,Total LNG,70001,10.54,28298,12.82,2924,13.36,16255,15.66,28381,10.92
US,,,,,,,,,,,
US,LNG (by exit),,,,,,,,,,
US,"Babb, MT",0,--,0,--,0,--,0,--,5,12.95
US,"Buffalo, NY",0,--,0,--,0,--,0,--,3,7.67
US,"Cameron, LA",5653,7.31,0,--,0,--,0,--,0,--
US,"Crosby, ND",0,--,0,--,0,--,0,--,1,6.81
US,"Freeport, TX",14816,10.31,11146,11.16,2725,13.45,2664,15.51,11625,15.79
US,"Kenai, AK",16398,12.88,9342,15.71,0,--,13310,15.74,16519,7.49
US,"Laredo, TX",0,--,0,--,0,--,0,--,1,17.06
US,"Nogales, AZ",0,--,34,9.68,93,11.34,93,13.95,106,11.61
US,"Otay Mesa, CA",236,9.31,119,8.92,35,9.51,88,10.95,88,8.95
US,"Port Huron, MI",0,--,0,--,1,9.48,10,10.16,4,9.66
US,"Portal, ND",0,--,0,--,0,--,0,--,2,10.18
US,"Sabine Pass, LA",32899,10.03,7655,11.8,0,--,0,--,0,--
US,"Sweetgrass, MT               ",0,--,2,13.29,71,14.38,89,14.95,27,13.48
US,,,,,,,,,,,
US,CNG (Canada),,,,,,,,,,
CN,"Calais, ME",0,--,0,--,115,6.2,217,12.4,212,5.69
US,,,,,,,,,,,
US,Total CNG,0,--,0,--,115,6.2,217,12.4,214,5.73
US,,,,,,,,,,,
US,Total Exports,1505650,4.64,1618828,3.25,1572413,4.08,1514242,5.51,1783512,3.07
