VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
ZBATCHRG,Imputation Flag for BATCHRG,3,159,Numeric
ZCOMPUTER,Imputation Flag for COMPUTER,3,160,Numeric
ZMULTPC,Imputation Flag for MULTPC,3,161,Numeric
ZNUMPC,Imputation Flag for NUMPC,3,162,Numeric
ZLAPTOPPC,Imputation Flag for LAPTOPPC,3,163,Numeric
ZPCTYPE1,Imputation Flag for PCTYPE1,3,164,Numeric
ZMONITOR1,Imputation Flag for MONITOR1,3,165,Numeric
ZTIMEON1,Imputation Flag for TIMEON1,3,166,Numeric
ZPCONOFF1,Imputation Flag for PCONOFF1,3,167,Numeric
ZPCSLEEP1,Imputation Flag for PCSLEEP1,3,168,Numeric
ZPCSCREEN1,Imputation Flag for PCSCREEN1,3,169,Numeric
ZPCTYPE2,Imputation Flag for PCTYPE2,3,170,Numeric
ZMONITOR2,Imputation Flag for MONITOR2,3,171,Numeric
ZTIMEON2,Imputation Flag for TIMEON2,3,172,Numeric
ZPCONOFF2,Imputation Flag for PCONOFF2,3,173,Numeric
ZPCSLEEP2,Imputation Flag for PCSLEEP2,3,174,Numeric
ZPCSCREEN2,Imputation Flag for PCSCREEN2,3,175,Numeric
ZPCTYPE3,Imputation Flag for PCTYPE3,3,176,Numeric
ZMONITOR3,Imputation Flag for MONITOR3,3,177,Numeric
ZTIMEON3,Imputation Flag for TIMEON3,3,178,Numeric
ZPCONOFF3,Imputation Flag for PCONOFF3,3,179,Numeric
ZPCSLEEP3,Imputation Flag for PCSLEEP3,3,180,Numeric
ZPCSCREEN3,Imputation Flag for PCSCREEN3,3,181,Numeric
ZINTERNET,Imputation Flag for INTERNET,3,182,Numeric
ZINDIALUP,Imputation Flag for INDIALUP,3,183,Numeric
ZINDSL,Imputation Flag for INDSL,3,184,Numeric
ZINCABLE,Imputation Flag for INCABLE,3,185,Numeric
ZINDSLOFF,Imputation Flag for INDSLOFF,3,186,Numeric
ZINCABLEOFF,Imputation Flag for INCABLEOFF,3,187,Numeric
ZINWIRELESS,Imputation Flag for INWIRELESS,3,188,Numeric
ZINWIRELESSOFF,Imputation Flag for INWIRELESSOFF,3,189,Numeric
ZHOWPCUSED,Imputation Flag for HOWPCUSED,3,190,Numeric
ZTELLDAYS,Imputation Flag for TELLDAYS,3,191,Numeric
ZPCPRINT,Imputation Flag for PCPRINT,3,192,Numeric
ZFXCOPIER,Imputation Flag for FXCOPIER,3,193,Numeric
ZFAX,Imputation Flag for FAX,3,194,Numeric
ZCOPIER,Imputation Flag for COPIER,3,195,Numeric
