VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
LGT4EE,Energy efficient bulbs on 4-12 hours per day,5,42,Numeric
LGT1,Lights on between 1 hours and 4 hours per day,5,43,Numeric
LGT1EE,Energy efficient bulbs on 1-4 hours per day,5,44,Numeric
NOUTLGTNT,Number of outdoor lights on all night,5,45,Numeric
NGASLIGHT,Number of natural gas lights on all night,5,46,Numeric
SLDDRS,Sliding glass door go from heated area to outside,5,47,Numeric
DOOR1SUM,Number of sliding glass doors,5,48,Numeric
WINDOWS,Number of windows,5,49,Numeric
TYPEGLASS,Type of window glass,5,50,Numeric
NEWGLASS,Any of the windows been replaced,5,51,Numeric
ADQINSUL,Respondent perception of home insulation,5,52,Numeric
DRAFTY,How often find your home too drafty during winter,5,53,Numeric
HIGHCEIL,Any cielings over 8 feet high,5,54,Numeric
CATHCEIL,Any cathederal cielings,5,55,Numeric
ZNUMH2OHTRS,Imputation Flag for NUMH2OHTRS,5,56,Numeric
ZFUELH2O,Imputation Flag for FUELH2O,5,57,Numeric
ZWHEATOTH,Imputation Flag for WHEATOTH,5,58,Numeric
ZWHEATSIZ,Imputation Flag for WHEATSIZ,5,59,Numeric
ZWHEATAGE,Imputation Flag for WHEATAGE,5,60,Numeric
ZFUELH2O2,Imputation Flag for FUELH2O2,5,61,Numeric
ZWHEATSIZ2,Imputation Flag for WHEATSIZ2,5,62,Numeric
ZWHEATAGE2,Imputation Flag for WHEATAGE2,5,63,Numeric
ZWATERWAIT,Imputation Flag for WATERWAIT,5,64,Numeric
ZAIRCOND,Imputation Flag for AIRCOND,5,65,Numeric
ZCOOLTYPE,Imputation Flag for COOLTYPE,5,66,Numeric
ZDUCTS,Imputation Flag for DUCTS,5,67,Numeric
ZACHOUSE,Imputation Flag for ACHOUSE,5,68,Numeric
ZACROOMS,Imputation Flag for ACROOMS,5,69,Numeric
ZCENACHP,Imputation Flag for CENACHP,5,70,Numeric
ZAGECENAC,Imputation Flag for AGECENAC,5,71,Numeric
ZUSECENAC,Imputation Flag for USECENAC,5,72,Numeric
ZACOTHERS,Imputation Flag for ACOTHERS,5,73,Numeric
ZTHERMAINAC,Imputation Flag for THERMAINAC,5,74,Numeric
ZPROTHERMAC,Imputation Flag for PROTHERMAC,5,75,Numeric
ZAUTOCOOLNITE,Imputation Flag for AUTOCOOLNITE,5,76,Numeric
ZAUTOCOOLDAY,Imputation Flag for AUTOCOOLDAY,5,77,Numeric
ZTEMPHOMEAC,Imputation Flag for TEMPHOMEAC,5,78,Numeric
ZTEMPGONEAC,Imputation Flag for TEMPGONEAC,5,79,Numeric
ZTEMPNITEAC,Imputation Flag for TEMPNITEAC,5,80,Numeric
ZNUMBERAC,Imputation Flag for NUMBERAC,5,81,Numeric
ZWWACAGE,Imputation Flag for WWACAGE,5,82,Numeric
ZESWWAC,Imputation Flag for ESWWAC,5,83,Numeric
ZUSEWWAC,Imputation Flag for USEWWAC,5,84,Numeric
ZTREESHAD,Imputation Flag for TREESHAD,5,85,Numeric
ZLGT12,Imputation Flag for LGT12,5,86,Numeric
ZLGT12EE,Imputation Flag for LGT12EE,5,87,Numeric
ZLGT4,Imputation Flag for LGT4,5,88,Numeric
ZLGT4EE,Imputation Flag for LGT4EE,5,89,Numeric
ZLGT1,Imputation Flag for LGT1,5,90,Numeric
ZLGT1EE,Imputation Flag for LGT1EE,5,91,Numeric
ZNOUTLGTNT,Imputation Flag for NOUTLGTNT,5,92,Numeric
ZNGASLIGHT,Imputation Flag for NGASLIGHT,5,93,Numeric
ZSLDDRS,Imputation Flag for SLDDRS,5,94,Numeric
ZDOOR1SUM,Imputation Flag for DOOR1SUM,5,95,Numeric
ZWINDOWS,Imputation Flag for WINDOWS,5,96,Numeric
ZTYPEGLASS,Imputation Flag for TYPEGLASS,5,97,Numeric
ZNEWGLASS,Imputation Flag for NEWGLASS,5,98,Numeric
ZADQINSUL,Imputation Flag for ADQINSUL,5,99,Numeric
ZDRAFTY,Imputation Flag for DRAFTY,5,100,Numeric
ZHIGHCEIL,Imputation Flag for HIGHCEIL,5,101,Numeric
ZCATHCEIL,Imputation Flag for CATHCEIL,5,102,Numeric
FUELH2O,Fuel used for heating water  washing or bathing,5,103,Numeric
FUELH2O2,Fuel used for second water heater,5,104,Numeric
